@relation Derrick_Favors
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300014,0,0,11,6,7,3,2571,1610612760,1610612762,1,5,1,2,6,5,15
21300030,0,0,12,6,2,2,2239,1610612756,1610612762,4,4,0,0,4,3,14
21300038,0,0,7,3,8,6,1980,1610612745,1610612762,2,0,2,2,2,2,12
21300052,0,0,8,2,2,2,1469,1610612751,1610612762,1,0,1,0,1,3,6
21300064,0,0,10,4,5,2,2055,1610612738,1610612762,3,1,0,3,3,4,10
21300079,1,0,10,3,6,4,2010,1610612741,1610612762,5,3,1,1,4,5,10
21300085,0,0,14,6,8,5,1881,1610612761,1610612762,4,1,2,2,2,5,17
21300104,0,0,15,8,8,5,2085,1610612743,1610612762,2,1,0,3,1,5,21
21300119,0,0,7,5,8,2,1904,1610612740,1610612762,5,2,5,2,3,4,12
21300133,0,0,19,10,0,0,2192,1610612759,1610612762,6,2,3,3,2,4,20
21300145,0,0,12,8,2,1,2046,1610612744,1610612762,2,1,1,1,2,3,17
21300154,0,0,11,4,2,2,1909,1610612744,1610612762,0,3,1,3,0,4,10
21300169,0,0,9,4,6,5,2445,1610612740,1610612762,3,1,0,0,3,3,13
21300184,0,0,8,5,6,3,2010,1610612742,1610612762,3,0,3,0,3,3,13
21300200,0,0,7,3,4,2,1334,1610612760,1610612762,4,0,1,0,2,2,8
21300209,0,0,8,3,5,4,1584,1610612741,1610612762,3,0,3,1,2,6,10
21300239,0,0,8,6,4,3,1509,1610612756,1610612762,1,2,0,0,2,0,15
21300246,0,0,7,5,5,4,1653,1610612756,1610612762,5,0,1,1,2,5,14
21300259,0,0,6,6,2,2,2115,1610612745,1610612762,4,2,0,0,0,1,14
21300274,0,0,18,9,4,4,2248,1610612754,1610612762,4,0,1,0,0,5,22
21300288,0,0,8,4,2,1,1281,1610612757,1610612762,2,1,1,1,1,0,9
21300325,0,0,9,6,5,5,1477,1610612758,1610612762,4,0,0,3,2,5,17
21300339,0,0,13,9,2,1,2189,1610612743,1610612762,1,3,1,4,3,3,19
21300349,0,0,8,3,0,0,1860,1610612759,1610612762,1,0,0,2,2,4,6
21300360,0,0,12,8,3,1,1708,1610612748,1610612762,2,1,1,2,1,1,17
21300370,0,0,16,5,5,4,2191,1610612753,1610612762,4,0,1,5,1,5,14
21300384,0,0,7,3,0,0,1235,1610612737,1610612762,1,2,0,0,1,2,6
21300394,0,0,11,5,4,4,2132,1610612766,1610612762,3,2,1,0,1,2,14
21300413,0,0,11,8,0,0,2071,1610612763,1610612762,1,3,2,0,2,4,16
21300433,0,0,15,9,0,0,1989,1610612747,1610612762,4,1,1,0,0,2,18
21300447,0,0,5,1,2,2,1330,1610612746,1610612762,4,1,0,2,3,6,4
21300458,0,0,10,6,2,1,2063,1610612766,1610612762,2,2,2,3,6,4,13
21300479,0,0,16,9,3,3,1723,1610612749,1610612762,3,0,4,0,0,1,21
21300488,0,0,9,5,2,1,1686,1610612747,1610612762,3,0,0,1,0,4,11
21300518,0,0,9,6,4,3,2191,1610612760,1610612762,0,0,0,3,2,4,15
21300539,0,0,11,5,4,2,1710,1610612739,1610612762,2,0,0,1,1,1,12
21300561,0,0,12,7,9,5,2120,1610612743,1610612762,1,1,1,0,2,5,19
21300573,0,0,16,8,5,3,1902,1610612759,1610612762,2,0,0,0,1,2,19
