@relation Derrick_Williams
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300027,1,0,6,4,2,2,1623,1610612760,1610612750,0,0,1,2,2,2,10
21300045,2,1,5,2,2,1,1239,1610612752,1610612750,0,0,0,0,0,0,6
21300047,1,0,9,5,4,3,1344,1610612739,1610612750,0,0,1,0,0,0,13
21300067,3,0,6,0,0,0,1138,1610612744,1610612750,0,0,1,0,0,1,0
21300097,0,0,1,0,0,0,192,1610612747,1610612750,0,0,0,0,1,0,0
21300106,3,0,5,2,2,2,678,1610612746,1610612750,0,0,0,0,0,1,6
21300115,2,1,7,3,2,2,1305,1610612739,1610612750,0,0,0,2,2,2,9
21300142,0,0,2,0,0,0,177,1610612738,1610612750,0,1,0,0,0,0,0
21300168,1,0,4,0,4,4,641,1610612746,1610612750,1,0,0,0,0,1,4
21300182,1,0,7,3,0,0,901,1610612751,1610612750,2,0,1,0,0,1,6
21300192,1,0,2,0,0,0,484,1610612745,1610612750,0,0,0,0,1,1,0
21300240,2,0,13,6,1,0,1941,1610612746,1610612758,0,4,0,0,1,3,12
21300251,1,0,3,1,2,2,1279,1610612744,1610612758,0,0,1,0,2,2,4
21300267,2,0,10,5,4,3,1596,1610612760,1610612758,0,0,1,0,1,1,13
21300289,0,0,5,2,6,5,1509,1610612747,1610612758,3,2,0,0,2,2,9
21300297,0,0,6,2,5,4,1595,1610612762,1610612758,1,1,1,0,0,4,8
21300309,5,3,16,12,6,4,2113,1610612742,1610612758,1,0,5,0,2,2,31
21300325,2,0,11,6,2,1,1933,1610612762,1610612758,1,1,0,1,2,1,13
21300340,3,2,10,4,4,4,1829,1610612756,1610612758,1,1,1,0,1,3,14
21300350,3,1,10,3,6,4,1414,1610612745,1610612758,2,0,1,1,0,0,11
21300364,1,0,4,2,1,1,1321,1610612766,1610612758,0,1,1,0,1,3,5
21300372,4,2,8,3,4,4,1522,1610612737,1610612758,0,3,0,0,1,0,12
21300387,1,0,5,3,5,1,1647,1610612748,1610612758,0,3,3,0,0,2,7
21300395,0,0,1,0,2,1,714,1610612753,1610612758,0,0,0,0,0,1,1
21300417,0,0,3,2,3,3,1465,1610612740,1610612758,0,1,1,0,0,1,7
21300434,1,0,4,1,0,0,1657,1610612748,1610612758,0,0,0,0,1,1,2
21300451,0,0,3,1,2,1,799,1610612759,1610612758,2,0,0,0,0,3,3
21300464,0,0,1,0,0,0,1110,1610612745,1610612758,0,2,1,1,2,0,0
21300481,1,0,7,4,4,3,1509,1610612755,1610612758,2,0,0,3,2,3,11
21300497,1,1,4,2,0,0,1069,1610612766,1610612758,1,0,2,1,0,2,5
21300519,1,0,7,4,10,6,1847,1610612757,1610612758,0,0,1,0,0,2,14
21300540,1,0,11,7,0,0,1943,1610612753,1610612758,2,0,0,0,1,2,14
21300552,3,2,6,4,5,3,1101,1610612739,1610612758,1,0,0,0,2,1,13
