@relation Dionte_Christmas
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,1,6,3,2,2,890,1610612762,1610612756,1,0,0,0,1,1,9
2,1,2,1,2,1,350,1610612760,1610612756,1,0,1,0,0,0,4
0,0,2,1,0,0,890,1610612759,1610612756,0,0,1,0,1,0,2
2,0,4,1,0,0,655,1610612743,1610612756,0,1,0,0,0,2,2
0,0,0,0,0,0,326,1610612740,1610612756,0,0,0,0,0,2,0
0,0,1,0,0,0,170,1610612757,1610612756,0,0,0,0,0,1,0
0,0,0,0,0,0,277,1610612758,1610612756,0,0,0,0,0,0,0
5,2,6,3,0,0,750,1610612758,1610612756,1,0,0,0,1,2,8
0,0,2,1,0,0,386,1610612748,1610612756,0,0,0,0,0,0,2
0,0,1,0,0,0,414,1610612757,1610612756,0,0,0,0,0,1,0
0,0,0,0,0,0,119,1610612762,1610612756,0,0,0,0,0,0,0
0,0,0,0,0,0,225,1610612762,1610612756,0,0,0,0,0,0,0
2,0,3,0,0,0,241,1610612763,1610612756,1,0,0,0,0,0,0
0,0,0,0,0,0,71,1610612742,1610612756,0,0,0,0,0,0,0
1,0,2,1,0,0,304,1610612747,1610612756,0,1,0,1,0,0,2
3,0,4,1,4,3,1039,1610612744,1610612756,1,0,0,1,0,2,5
2,1,4,3,0,0,339,1610612746,1610612756,0,0,0,0,0,0,7
1,0,1,0,0,0,158,1610612763,1610612756,0,0,0,0,0,0,0
1,0,2,1,0,0,191,1610612749,1610612756,0,0,0,0,0,0,2
1,0,2,0,2,2,429,1610612741,1610612756,0,2,0,1,0,1,2
0,0,0,0,0,0,354,1610612752,1610612756,2,0,0,0,0,1,0
1,1,1,1,2,2,327,1610612754,1610612756,1,1,0,0,0,1,5
1,0,2,0,4,4,506,1610612766,1610612756,0,0,0,0,1,2,4
0,0,0,0,0,0,62,1610612745,1610612756,0,0,0,0,0,0,0
1,0,1,0,0,0,156,1610612759,1610612756,0,0,0,0,0,0,0
2,1,4,2,2,2,1121,1610612762,1610612756,2,3,0,0,0,1,7
1,0,3,0,4,2,193,1610612751,1610612756,2,0,0,0,0,0,2
0,0,2,1,0,0,92,1610612753,1610612756,0,0,0,0,0,0,2
1,1,2,1,0,0,298,1610612752,1610612756,0,0,0,0,2,1,3
0,0,1,0,0,0,90,1610612747,1610612756,0,0,0,0,0,0,0
2,1,4,1,2,0,449,1610612758,1610612756,1,0,0,0,0,1,3
