@relation Eric_Gordon
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,3,19,8,9,6,2009,1610612754,1610612740,1,1,2,0,1,0,25
2,1,11,4,6,3,1699,1610612753,1610612740,1,2,1,0,0,2,12
3,1,7,3,0,0,1266,1610612766,1610612740,0,2,1,2,3,3,7
5,3,17,7,3,3,2053,1610612756,1610612740,1,5,3,0,2,3,20
4,1,14,6,6,6,2038,1610612763,1610612740,2,2,2,1,1,0,19
2,1,11,5,6,5,1869,1610612747,1610612740,0,2,2,0,0,1,16
4,2,14,5,2,2,1940,1610612756,1610612740,2,5,2,0,3,1,14
3,0,13,5,7,7,1923,1610612747,1610612740,0,3,3,0,2,1,17
6,3,13,5,4,3,2001,1610612762,1610612740,0,4,5,0,2,4,16
7,3,12,7,3,2,1550,1610612755,1610612740,0,3,2,0,3,2,19
4,0,13,3,4,3,1683,1610612762,1610612740,0,0,0,0,1,1,9
5,1,16,7,4,4,2134,1610612739,1610612740,1,2,0,0,4,1,19
2,0,9,2,0,0,1156,1610612759,1610612740,0,2,0,0,4,1,4
5,2,12,6,4,2,2157,1610612744,1610612740,0,7,2,1,3,2,16
5,2,16,11,2,2,2385,1610612755,1610612740,0,7,2,0,1,2,26
3,1,10,4,2,1,2017,1610612752,1610612740,0,2,3,0,2,1,10
6,2,23,7,8,7,2701,1610612741,1610612740,2,3,3,0,2,0,23
5,2,14,6,2,1,2140,1610612742,1610612740,1,2,0,0,3,3,15
1,1,14,7,3,1,2028,1610612760,1610612740,0,3,1,1,3,4,16
5,2,9,5,2,2,2175,1610612765,1610612740,0,6,0,0,3,0,14
3,3,12,10,2,2,2161,1610612763,1610612740,0,4,1,1,2,0,25
4,1,11,4,1,1,1765,1610612743,1610612740,0,6,0,0,0,2,10
3,1,9,1,2,2,1452,1610612744,1610612740,0,1,1,0,2,1,5
1,0,11,4,2,1,1826,1610612746,1610612740,1,2,1,0,0,3,9
2,1,14,7,4,3,1906,1610612757,1610612740,0,4,0,0,1,3,18
4,2,13,6,4,3,1239,1610612758,1610612740,2,0,0,0,3,1,17
4,0,12,5,2,2,1751,1610612750,1610612740,1,3,2,0,4,2,12
0,0,7,3,6,6,1980,1610612738,1610612740,1,3,0,0,2,2,12
5,3,16,9,0,0,2323,1610612754,1610612740,2,2,0,0,4,0,21
4,2,13,6,1,1,1774,1610612748,1610612740,0,3,1,0,0,0,15
5,1,18,9,5,4,2268,1610612764,1610612740,0,4,1,1,0,2,23
3,2,13,9,7,7,2102,1610612742,1610612740,0,3,1,0,2,3,27
6,3,14,7,4,3,2267,1610612742,1610612740,2,3,2,0,8,6,20
1,1,14,4,5,3,1930,1610612759,1610612740,0,3,2,0,1,3,12
9,6,17,11,8,7,2508,1610612745,1610612740,0,6,1,0,2,2,35
6,0,17,3,2,2,1958,1610612744,1610612740,2,6,2,0,3,3,8
2,1,10,4,4,3,2107,1610612763,1610612740,1,3,1,0,1,4,12
2,1,6,2,4,2,1625,1610612758,1610612740,0,1,1,0,3,2,7
4,2,10,5,4,3,1954,1610612765,1610612740,0,3,2,0,7,2,15
5,1,17,6,2,1,2196,1610612753,1610612740,0,5,3,0,2,1,14
5,1,17,8,5,3,2135,1610612739,1610612740,0,9,1,0,0,0,20
5,1,17,5,5,3,2115,1610612750,1610612740,1,1,1,1,0,3,14
3,1,15,4,0,0,1888,1610612741,1610612740,0,4,1,0,1,1,9
5,3,13,6,4,4,1946,1610612759,1610612740,0,4,1,1,2,2,19
5,1,17,7,3,3,2015,1610612737,1610612740,1,1,0,0,1,2,18
4,2,15,8,3,2,2232,1610612750,1610612740,0,4,3,1,2,0,20
3,0,12,3,4,1,1661,1610612751,1610612740,0,2,0,0,3,2,7
1,0,12,5,0,0,1584,1610612761,1610612740,0,2,0,1,1,1,10
5,2,13,7,6,5,2049,1610612749,1610612740,1,6,2,0,1,1,21
9,3,17,9,8,7,2092,1610612752,1610612740,0,1,0,0,0,3,28
4,2,11,5,4,2,1861,1610612766,1610612740,0,2,0,0,1,1,14
3,1,10,3,3,3,1756,1610612764,1610612740,0,2,0,0,4,1,10
4,2,6,4,0,0,1381,1610612746,1610612740,0,1,0,0,1,3,10
5,3,11,7,4,2,2041,1610612742,1610612740,0,2,1,0,5,0,19
4,3,10,7,4,4,2287,1610612756,1610612740,0,5,2,0,2,2,21
3,0,13,1,0,0,1932,1610612746,1610612740,2,4,1,0,3,1,2
4,2,9,4,0,0,1480,1610612758,1610612740,0,2,2,0,1,6,10
5,4,13,9,6,6,2265,1610612747,1610612740,0,6,2,0,2,0,28
7,2,10,5,0,0,1756,1610612749,1610612740,0,5,0,0,1,3,12
2,1,12,4,2,1,2146,1610612743,1610612740,0,1,0,0,4,2,10
5,2,15,6,4,2,2159,1610612757,1610612740,1,6,0,0,3,1,16
6,1,16,6,6,6,2428,1610612738,1610612740,1,8,1,1,2,1,19
6,2,10,4,6,5,1751,1610612761,1610612740,0,2,0,0,4,4,15
0,0,2,1,0,0,461,1610612737,1610612740,0,0,0,0,0,0,2
2,1,8,3,3,1,1891,1610612753,1610612740,0,0,2,2,3,1,8
1,0,6,0,0,0,2054,1610612742,1610612740,0,1,0,0,4,2,0
5,0,14,4,4,3,2236,1610612763,1610612740,2,0,2,0,1,5,11
3,0,6,0,4,4,1697,1610612766,1610612740,0,2,2,0,2,3,4
6,2,13,6,0,0,2256,1610612759,1610612740,1,3,2,0,0,3,14
4,1,11,4,3,1,1912,1610612739,1610612740,2,1,1,0,0,3,10
3,0,8,2,3,3,2130,1610612747,1610612740,0,5,0,1,2,4,7
2,2,4,4,1,1,1231,1610612750,1610612740,0,2,1,0,0,4,11
2,2,6,4,2,1,2077,1610612757,1610612740,0,1,1,0,1,3,11
6,3,13,7,0,0,2237,1610612758,1610612740,0,4,1,0,3,1,17
5,3,12,5,0,0,1825,1610612743,1610612740,0,3,2,0,0,2,13
2,0,7,4,0,0,783,1610612762,1610612740,0,2,0,0,1,0,8
4,0,8,2,2,2,1972,1610612764,1610612740,0,5,0,0,2,3,6
7,3,13,5,2,1,2339,1610612766,1610612740,0,4,1,2,2,3,14
4,3,7,5,0,0,1595,1610612763,1610612740,0,3,1,0,2,2,13
5,3,12,7,4,4,2155,1610612738,1610612740,2,3,1,0,4,4,21
4,2,11,5,0,0,2010,1610612765,1610612740,2,5,1,0,4,3,12
5,2,16,5,6,4,2054,1610612755,1610612740,1,3,1,0,2,1,16
5,1,15,6,1,1,2173,1610612761,1610612740,0,5,1,0,5,3,14
6,2,15,7,4,4,2213,1610612752,1610612740,0,5,0,0,2,4,20
4,1,13,7,2,2,2317,1610612747,1610612740,0,10,1,0,1,2,17
3,2,13,8,2,2,2097,1610612750,1610612740,0,5,1,0,2,4,20
4,3,7,3,0,0,2031,1610612742,1610612740,0,5,0,0,1,3,9
5,2,9,5,1,1,1482,1610612755,1610612740,0,5,1,0,1,1,13
6,2,15,4,2,1,2508,1610612743,1610612740,1,6,0,1,2,3,11
7,5,20,10,3,3,2300,1610612746,1610612740,0,7,1,0,3,0,28
6,4,11,7,2,2,1701,1610612737,1610612740,0,7,0,1,1,4,20
5,1,12,3,0,0,2188,1610612760,1610612740,1,7,1,0,2,5,7
2,2,9,3,0,0,1601,1610612760,1610612740,0,3,1,0,3,5,8
2,1,10,1,0,0,1491,1610612741,1610612740,1,4,0,0,1,1,3
8,7,14,9,6,6,2344,1610612762,1610612740,1,3,2,0,6,2,31
5,2,10,2,0,0,1429,1610612754,1610612740,0,2,1,0,2,1,6
5,3,8,4,0,0,2230,1610612753,1610612740,0,4,0,0,3,3,11
11,6,18,7,4,4,2401,1610612748,1610612740,1,6,1,0,1,0,24
9,3,14,4,0,0,2462,1610612761,1610612740,0,4,2,1,5,0,11
6,4,15,7,2,2,2212,1610612748,1610612740,0,8,0,0,1,3,20
10,3,14,6,5,3,1924,1610612743,1610612740,1,2,1,0,2,3,18
7,4,11,4,6,6,2246,1610612742,1610612740,1,4,1,1,1,3,18
3,1,5,1,2,1,1892,1610612765,1610612740,0,2,1,2,3,4,4
9,4,15,7,2,2,2235,1610612738,1610612740,0,2,1,0,1,1,20
5,3,6,4,5,5,2106,1610612763,1610612740,0,6,1,0,4,0,16
4,3,11,6,2,1,1816,1610612749,1610612740,1,3,2,0,4,2,16
6,3,14,6,2,1,1852,1610612751,1610612740,1,7,0,0,2,1,16
11,4,18,5,2,2,2536,1610612743,1610612740,2,1,0,1,1,4,16
6,2,9,3,2,1,2076,1610612749,1610612740,0,7,2,1,2,3,9
6,2,16,6,2,0,2378,1610612756,1610612740,0,5,0,0,2,1,14
6,2,12,4,2,2,1433,1610612744,1610612740,1,2,0,0,3,2,12
8,5,13,7,4,4,2246,1610612746,1610612740,0,5,1,0,2,1,23
3,0,5,0,8,6,2512,1610612745,1610612740,0,3,0,0,1,2,6
3,0,6,2,0,0,1178,1610612758,1610612740,0,4,0,0,2,3,4
3,1,8,5,2,1,1815,1610612750,1610612740,0,7,1,0,4,2,12
3,2,5,2,6,4,1668,1610612747,1610612740,0,5,0,0,2,3,10
8,4,16,6,6,5,1882,1610612758,1610612740,0,2,1,0,1,1,21
6,4,16,9,0,0,2136,1610612757,1610612740,1,1,1,0,0,1,22
5,1,13,4,0,0,1647,1610612763,1610612740,1,3,1,0,1,0,9
