@relation Evan_Turner
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300005,4,0,19,10,6,6,2233,1610612748,1610612755,0,5,1,0,3,3,26
21300022,2,0,18,10,4,3,2085,1610612764,1610612755,2,4,2,0,4,3,23
21300034,0,0,16,7,7,6,2331,1610612741,1610612755,2,3,1,0,2,1,20
21300048,1,0,12,7,5,4,1505,1610612744,1610612755,2,1,3,0,5,0,18
21300063,2,1,13,9,6,5,2302,1610612764,1610612755,2,4,1,0,1,1,24
21300076,0,0,18,10,2,2,2219,1610612739,1610612755,2,5,1,0,6,4,22
21300088,8,2,23,9,13,11,2798,1610612739,1610612755,1,1,0,0,4,2,31
21300100,4,1,21,9,2,1,2056,1610612759,1610612755,1,2,0,0,1,1,20
21300112,4,0,23,9,5,5,2763,1610612745,1610612755,0,5,1,0,3,2,23
21300127,1,0,19,10,8,7,2207,1610612737,1610612755,1,4,0,0,7,1,27
21300143,2,0,11,2,0,0,1585,1610612740,1610612755,0,3,0,0,2,4,4
21300153,4,2,22,10,6,4,2178,1610612742,1610612755,2,7,0,0,4,3,26
21300165,2,0,13,4,6,5,2296,1610612761,1610612755,0,5,3,0,3,4,13
21300177,1,0,18,10,8,7,2327,1610612749,1610612755,1,3,1,0,5,4,27
21300188,4,0,26,8,7,5,2335,1610612754,1610612755,2,2,1,0,6,5,21
21300216,4,1,14,7,2,2,2529,1610612753,1610612755,0,8,0,0,3,2,17
21300237,3,3,15,9,1,1,2085,1610612740,1610612755,1,4,1,0,2,5,22
21300250,3,2,12,7,4,4,1883,1610612765,1610612755,0,3,3,0,4,3,20
21300261,1,0,16,7,13,10,2494,1610612753,1610612755,2,5,2,0,8,6,24
21300280,6,2,18,7,1,0,2400,1610612766,1610612755,1,2,0,0,2,1,16
21300290,1,0,12,3,0,0,2271,1610612743,1610612755,0,5,2,0,1,1,6
21300305,2,1,23,11,3,2,2374,1610612746,1610612755,2,5,1,0,3,4,25
21300322,4,1,16,6,0,0,2303,1610612750,1610612755,0,4,0,0,9,2,13
21300331,4,3,18,7,4,4,2345,1610612761,1610612755,3,4,2,0,2,2,21
21300347,1,1,7,1,0,0,1304,1610612757,1610612755,0,4,0,0,0,1,3
21300359,4,2,11,3,2,1,1502,1610612751,1610612755,1,5,0,0,2,1,9
21300383,4,1,22,13,3,2,2833,1610612751,1610612755,0,5,1,0,4,5,29
