@relation George_Hill
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,0,8,2,4,3,1744,1610612753,1610612754,0,0,0,0,1,0,7
7,4,13,6,4,3,2143,1610612740,1610612754,0,4,1,0,3,4,19
4,3,8,4,3,3,1165,1610612761,1610612754,1,2,0,0,1,1,14
2,0,6,1,5,4,1869,1610612751,1610612754,0,7,0,0,1,1,6
0,0,9,6,1,1,1487,1610612763,1610612754,0,2,1,1,1,0,13
3,1,13,4,0,0,1969,1610612749,1610612754,1,5,0,2,1,2,9
2,1,7,3,5,4,2084,1610612741,1610612754,0,5,1,1,2,2,11
10,4,18,7,8,5,2605,1610612752,1610612754,2,3,0,1,2,1,23
5,2,8,3,0,0,2256,1610612738,1610612754,0,1,2,0,3,2,8
4,1,10,4,2,2,2170,1610612755,1610612754,1,5,1,1,3,3,11
4,3,13,9,6,5,2342,1610612750,1610612754,0,7,5,1,2,4,26
5,1,10,2,2,2,1697,1610612766,1610612754,2,4,1,2,1,3,7
8,2,16,5,1,1,1797,1610612764,1610612754,1,3,1,0,2,0,13
4,1,5,2,6,6,2132,1610612746,1610612754,0,6,1,0,3,3,11
2,1,8,1,4,3,2433,1610612757,1610612754,1,11,3,0,2,5,6
2,0,9,5,0,0,1794,1610612762,1610612754,0,3,0,0,1,1,10
4,2,8,5,0,0,1597,1610612759,1610612754,1,1,0,0,0,1,12
3,0,8,2,0,0,1842,1610612760,1610612754,0,2,3,1,3,1,4
2,1,4,2,2,0,1827,1610612748,1610612754,2,6,2,0,1,1,5
5,3,7,4,2,2,2053,1610612766,1610612754,1,3,1,3,0,2,13
2,1,6,2,2,2,1934,1610612765,1610612754,0,1,1,0,0,5,7
3,1,8,2,2,2,1854,1610612748,1610612754,2,1,0,0,1,1,7
4,2,8,5,0,0,1543,1610612745,1610612754,0,5,0,0,1,2,12
3,1,8,3,0,0,1611,1610612738,1610612754,0,0,0,0,3,1,7
2,0,7,2,6,6,1410,1610612751,1610612754,0,3,1,0,0,4,10
5,3,10,6,7,6,1973,1610612751,1610612754,1,4,1,0,0,1,21
6,3,9,5,0,0,2077,1610612739,1610612754,1,2,2,0,0,2,13
4,2,6,2,0,0,1866,1610612761,1610612754,0,2,0,0,2,4,6
6,2,9,4,0,0,1870,1610612740,1610612754,0,1,0,1,0,3,10
4,2,5,3,0,0,1552,1610612739,1610612754,0,0,1,0,0,0,8
3,0,9,4,3,3,2006,1610612761,1610612754,0,2,0,0,1,3,11
8,2,12,4,0,0,1971,1610612737,1610612754,1,3,1,0,0,2,10
2,1,5,2,2,0,1724,1610612764,1610612754,0,4,1,0,3,3,5
2,1,9,4,0,0,1603,1610612758,1610612754,4,3,0,0,0,0,9
1,0,2,1,1,1,1325,1610612752,1610612754,0,5,1,0,0,2,3
0,0,5,2,2,2,1694,1610612746,1610612754,0,3,0,0,0,1,6
4,3,8,5,2,2,1963,1610612744,1610612754,1,2,2,0,2,2,15
1,1,4,4,8,7,1819,1610612756,1610612754,1,1,2,0,2,4,16
6,1,9,3,3,3,2392,1610612758,1610612754,1,8,3,0,3,3,10
2,2,6,4,0,0,1960,1610612743,1610612754,0,4,1,0,1,2,10
2,1,9,6,0,0,1738,1610612747,1610612754,1,3,1,0,0,0,13
1,0,8,7,4,3,2037,1610612756,1610612754,1,0,1,1,1,3,17
5,1,8,3,4,3,2010,1610612751,1610612754,1,2,0,0,1,5,10
6,0,8,1,0,0,1161,1610612753,1610612754,1,3,1,0,0,1,2
3,1,4,2,0,0,2227,1610612737,1610612754,1,7,0,0,1,1,5
4,2,19,12,12,11,2299,1610612757,1610612754,2,8,2,1,1,4,37
5,2,11,5,0,0,1794,1610612753,1610612754,0,7,0,0,1,3,12
3,0,6,3,5,4,1499,1610612743,1610612754,0,5,2,0,3,0,10
8,3,11,5,2,1,2012,1610612742,1610612754,0,5,1,0,3,2,14
1,1,4,4,0,0,1486,1610612737,1610612754,0,7,1,0,0,3,9
3,2,8,4,4,3,1901,1610612750,1610612754,0,1,1,1,2,3,13
1,0,3,0,0,0,1851,1610612749,1610612754,0,1,2,0,2,2,0
2,1,9,6,1,1,1443,1610612747,1610612754,0,3,2,1,0,1,14
1,1,4,3,2,2,1743,1610612749,1610612754,1,3,0,0,4,2,9
2,0,9,3,2,2,2116,1610612744,1610612754,0,3,0,0,1,3,8
5,3,10,6,3,2,1878,1610612766,1610612754,0,1,0,0,0,2,17
1,0,5,2,0,0,1667,1610612745,1610612754,0,3,0,0,1,2,4
5,2,16,7,6,4,2304,1610612742,1610612754,2,3,2,0,1,3,20
6,2,11,4,2,2,2139,1610612738,1610612754,1,4,1,1,1,1,12
8,3,11,4,4,3,2348,1610612755,1610612754,1,9,2,0,2,2,14
3,0,7,1,0,0,2042,1610612765,1610612754,0,3,2,0,1,4,2
7,3,11,4,0,0,2162,1610612755,1610612754,3,3,2,1,1,2,11
4,1,7,3,0,0,2412,1610612752,1610612754,0,4,0,1,2,2,7
4,0,10,3,4,4,2147,1610612741,1610612754,1,3,1,0,1,4,10
1,0,7,2,0,0,2120,1610612763,1610612754,0,5,0,1,0,2,4
3,2,10,6,3,3,2348,1610612741,1610612754,0,4,1,0,0,0,17
1,0,4,1,2,0,2467,1610612748,1610612754,2,4,0,0,2,2,2
0,0,6,3,2,2,2254,1610612764,1610612754,1,6,2,0,1,2,8
3,1,9,3,4,2,2181,1610612739,1610612754,2,6,2,0,2,1,9
1,1,6,3,0,0,2197,1610612759,1610612754,0,0,0,1,0,0,7
3,0,9,4,5,4,2323,1610612765,1610612754,0,2,1,0,0,3,12
3,1,5,2,4,3,2106,1610612761,1610612754,0,5,1,0,1,1,8
5,2,10,3,6,4,2237,1610612737,1610612754,5,0,2,0,2,4,12
0,0,0,0,0,0,1964,1610612748,1610612754,0,4,0,0,2,1,0
2,0,3,1,2,1,1391,1610612760,1610612754,0,2,0,0,0,4,3
2,1,5,2,0,0,865,1610612753,1610612754,2,2,2,0,0,1,5
3,2,8,5,4,3,1275,1610612740,1610612754,0,3,1,0,2,2,15
8,3,12,5,0,0,1618,1610612765,1610612754,1,2,0,0,2,2,13
4,2,9,5,0,0,1394,1610612751,1610612754,2,5,0,0,2,1,12
3,1,11,4,2,2,1449,1610612741,1610612754,0,1,1,0,0,3,11
4,2,14,7,4,4,1885,1610612748,1610612754,1,1,0,1,1,4,20
2,0,10,5,4,3,1178,1610612748,1610612754,0,2,1,0,0,1,13
6,1,15,7,3,2,1217,1610612753,1610612754,1,3,1,1,0,1,17
5,2,14,5,2,1,1204,1610612761,1610612754,1,3,1,0,1,1,13
1,0,5,2,4,4,737,1610612752,1610612754,0,3,0,0,1,0,8
8,2,15,6,0,0,1326,1610612758,1610612754,0,4,1,0,2,2,14
2,1,12,8,8,3,1531,1610612765,1610612754,0,6,0,1,1,2,20
3,2,8,3,15,12,1584,1610612739,1610612754,2,7,1,1,4,2,20
4,1,10,4,2,2,1620,1610612766,1610612754,0,3,2,0,2,5,11
2,1,7,3,0,0,1727,1610612759,1610612754,0,5,0,1,0,1,7
5,4,11,6,1,1,1730,1610612740,1610612754,0,9,2,0,1,1,17
1,0,8,2,4,3,1378,1610612755,1610612754,0,4,0,0,2,1,7
3,2,13,4,3,2,1811,1610612744,1610612754,1,2,0,0,1,5,12
5,1,12,5,2,2,1763,1610612760,1610612754,0,8,3,0,1,2,13
5,0,15,4,8,7,2057,1610612739,1610612754,1,12,2,1,2,4,15
5,1,16,8,2,0,1935,1610612755,1610612754,1,4,2,0,2,1,17
5,3,13,8,2,2,1636,1610612752,1610612754,0,6,1,0,1,1,21
2,1,9,3,0,0,1454,1610612741,1610612754,2,6,1,1,1,5,7
5,1,11,4,6,6,1715,1610612752,1610612754,2,3,1,0,1,4,15
8,2,14,5,2,1,1521,1610612753,1610612754,0,6,1,0,1,3,13
7,2,16,6,4,3,1883,1610612749,1610612754,0,5,2,0,4,5,17
7,2,18,11,6,6,2086,1610612738,1610612754,1,8,1,0,3,3,30
3,1,15,9,5,4,2015,1610612761,1610612754,0,2,1,0,1,5,23
8,4,15,9,2,2,1962,1610612739,1610612754,1,3,0,0,2,2,24
2,0,15,8,3,2,1937,1610612751,1610612754,1,9,0,0,1,6,18
6,2,15,9,1,0,2143,1610612745,1610612754,1,3,3,3,1,4,20
4,0,24,12,5,5,2559,1610612764,1610612754,2,9,1,1,4,3,29
10,6,12,7,5,4,2021,1610612749,1610612754,1,5,1,0,5,4,24
5,2,12,6,0,0,2183,1610612742,1610612754,0,5,0,1,1,0,14
8,4,17,10,5,4,1915,1610612751,1610612754,0,3,0,0,0,1,28
4,3,11,9,0,0,2162,1610612738,1610612754,0,6,0,0,1,4,21
1,0,11,2,0,0,1717,1610612766,1610612754,0,10,3,0,2,3,4
2,0,5,0,4,3,1543,1610612748,1610612754,1,5,2,0,0,2,3
2,1,11,7,6,5,1599,1610612752,1610612754,0,5,3,0,2,1,20
2,1,6,2,8,8,2183,1610612765,1610612754,0,9,1,0,1,3,13
10,2,25,11,0,0,2883,1610612764,1610612754,1,10,0,1,3,1,24
6,2,16,9,0,0,2297,1610612763,1610612754,1,6,2,1,3,4,20
7,5,10,6,3,2,2261,1610612761,1610612754,0,2,2,1,2,5,19
8,3,15,6,6,5,2326,1610612763,1610612754,0,4,1,0,5,2,20
5,3,9,5,5,4,2242,1610612762,1610612754,2,1,2,0,7,3,17
6,2,12,5,0,0,2179,1610612765,1610612754,1,6,4,1,0,1,12
4,1,10,2,8,5,2043,1610612738,1610612754,0,4,3,0,3,2,10
4,3,6,3,5,3,2398,1610612748,1610612754,0,4,0,0,0,3,12
5,0,16,6,2,2,2397,1610612739,1610612754,1,5,0,0,0,2,14
3,1,8,3,0,0,2198,1610612738,1610612754,0,5,0,0,1,5,7
5,2,7,2,0,0,1946,1610612750,1610612754,1,4,2,0,2,1,6
5,2,11,5,2,2,1949,1610612764,1610612754,2,5,1,0,2,1,14
2,0,8,3,1,0,1905,1610612741,1610612754,2,3,1,1,1,1,6
4,1,11,4,3,2,1990,1610612747,1610612754,0,3,2,0,2,3,11
