@relation Gerald_Green
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300015,1,0,3,2,2,1,1018,1610612757,1610612756,0,0,0,0,0,0,5
21300030,2,1,4,2,2,2,728,1610612762,1610612756,1,0,0,0,1,3,7
21300044,10,5,14,7,2,2,1994,1610612760,1610612756,1,2,1,0,4,4,21
21300055,10,6,12,6,0,0,1855,1610612740,1610612756,0,3,0,3,2,2,18
21300068,8,3,13,6,0,0,2125,1610612759,1610612756,0,1,0,1,5,3,15
21300083,3,1,12,5,2,1,1803,1610612743,1610612756,2,0,2,1,1,3,12
21300096,5,1,12,6,2,2,1499,1610612740,1610612756,2,2,1,0,2,2,15
21300120,4,2,13,7,2,1,1554,1610612757,1610612756,2,0,0,0,1,3,17
21300132,5,1,7,3,3,1,1077,1610612751,1610612756,0,0,0,0,1,4,8
21300160,8,4,13,6,8,7,2117,1610612758,1610612756,0,4,1,2,2,2,23
21300171,8,6,13,8,2,1,2180,1610612758,1610612756,0,0,0,0,3,6,23
21300176,8,0,15,5,4,4,2127,1610612766,1610612756,0,3,1,0,3,3,14
21300199,9,4,15,8,0,0,2086,1610612753,1610612756,1,2,2,0,3,2,20
21300205,9,2,13,5,0,0,1945,1610612748,1610612756,0,4,1,0,3,5,12
21300226,9,2,14,3,2,2,2044,1610612757,1610612756,1,0,1,0,1,1,10
21300239,8,3,11,5,0,0,1741,1610612762,1610612756,0,1,0,0,1,0,13
21300246,8,4,9,5,0,0,1557,1610612762,1610612756,0,1,2,0,0,6,14
21300265,7,1,8,1,3,3,1431,1610612763,1610612756,0,3,0,0,0,1,6
21300271,4,0,8,1,2,2,1054,1610612745,1610612756,0,0,0,1,3,3,4
21300287,6,2,9,4,0,0,1313,1610612761,1610612756,0,2,0,0,0,2,10
21300317,2,1,2,1,0,0,1029,1610612747,1610612756,0,0,0,0,3,4,3
21300340,5,2,9,3,3,2,1493,1610612758,1610612756,1,3,0,1,1,3,10
21300355,3,1,7,3,4,3,1230,1610612744,1610612756,1,1,0,2,0,3,10
21300378,4,1,8,2,0,0,1017,1610612759,1610612756,0,2,1,2,1,2,5
21300390,12,6,12,6,2,1,1700,1610612743,1610612756,0,2,0,1,4,2,19
21300400,8,4,10,6,6,6,1707,1610612742,1610612756,0,2,1,1,1,4,22
21300416,11,6,13,7,2,2,1662,1610612747,1610612756,0,0,1,0,0,2,22
21300435,5,1,9,3,0,0,1620,1610612744,1610612756,0,2,1,0,1,3,7
21300445,7,3,9,3,0,0,1404,1610612755,1610612756,1,3,0,2,1,2,9
21300459,10,5,14,8,0,0,1656,1610612746,1610612756,0,0,2,2,0,2,21
21300478,7,1,10,4,0,0,1925,1610612763,1610612756,0,3,4,0,0,3,9
21300495,7,4,14,9,2,2,1983,1610612749,1610612756,0,1,5,0,1,2,24
21300513,10,3,16,6,0,0,2099,1610612741,1610612756,0,1,1,0,2,2,15
21300524,6,2,12,5,2,2,1490,1610612750,1610612756,0,0,0,1,0,4,14
21300534,6,2,10,5,0,0,1503,1610612763,1610612756,0,1,0,0,1,5,12
21300545,7,1,17,5,5,4,1998,1610612765,1610612756,0,1,0,2,0,3,15
21300557,7,0,16,2,0,0,2530,1610612752,1610612756,1,3,1,0,2,3,4
21300574,5,2,18,12,2,2,1967,1610612747,1610612756,2,2,2,1,1,3,28
21300591,3,1,13,4,3,3,1961,1610612742,1610612756,1,2,2,1,3,2,12
21300605,2,1,8,4,0,0,1303,1610612743,1610612756,0,2,1,1,1,2,9
21300629,5,3,13,6,10,8,1789,1610612754,1610612756,0,2,1,0,0,2,23
21300643,4,0,8,3,2,2,1843,1610612764,1610612756,0,1,1,1,2,5,8
21300657,8,2,14,4,2,2,2044,1610612739,1610612756,0,5,1,0,1,2,12
21300662,5,4,12,10,7,6,1670,1610612755,1610612756,0,2,1,3,4,4,30
21300679,6,4,13,7,5,5,1797,1610612749,1610612756,1,3,2,0,2,5,23
21300686,3,2,15,6,2,2,1826,1610612754,1610612756,0,2,0,1,3,1,16
21300706,2,1,6,2,0,0,1286,1610612766,1610612756,0,2,1,0,1,4,5
21300723,5,1,13,2,0,0,1533,1610612741,1610612756,1,5,0,1,3,2,5
21300729,7,2,14,5,2,1,1883,1610612745,1610612756,2,1,1,0,2,4,13
21300754,4,2,15,10,5,3,1870,1610612744,1610612756,2,0,1,0,2,3,25
21300774,8,5,14,9,3,3,2062,1610612748,1610612756,0,2,1,1,2,5,26
21300799,14,6,22,11,8,8,1785,1610612743,1610612756,2,0,0,0,1,4,36
21300807,5,2,14,6,4,3,2041,1610612738,1610612756,1,1,0,0,5,3,17
21300822,5,0,14,5,5,3,1580,1610612759,1610612756,2,1,1,0,1,0,13
21300838,4,2,18,8,7,5,1990,1610612745,1610612756,1,1,2,0,3,0,23
21300851,5,1,15,7,4,4,1941,1610612750,1610612756,3,1,0,1,4,4,19
21300860,5,1,15,6,4,4,1907,1610612762,1610612756,1,0,2,0,2,2,17
21300873,5,1,13,4,3,3,2091,1610612740,1610612756,0,4,1,0,2,3,12
21300889,8,5,14,9,10,10,1827,1610612737,1610612756,1,1,0,1,2,2,33
21300902,8,4,19,6,1,1,2188,1610612746,1610612756,4,5,3,0,4,3,17
21300915,13,8,22,12,11,9,2444,1610612760,1610612756,0,2,3,1,3,3,41
21300942,5,3,18,9,4,4,2547,1610612744,1610612756,2,1,1,0,3,0,25
21300949,7,3,14,6,2,1,2040,1610612746,1610612756,1,3,0,1,3,3,16
21300966,6,0,14,4,0,0,1875,1610612739,1610612756,0,1,2,1,2,6,8
21300975,5,0,9,2,0,0,1240,1610612738,1610612756,0,0,0,0,2,0,4
21300988,8,5,18,9,6,5,1603,1610612761,1610612756,0,2,0,0,3,4,28
21300998,6,3,11,6,3,2,1843,1610612751,1610612756,0,0,2,0,1,2,17
21301016,6,4,10,5,1,0,1524,1610612753,1610612756,0,1,1,0,4,3,14
21301029,5,1,12,4,4,3,1338,1610612765,1610612756,0,1,1,0,1,2,12
21301041,5,2,7,3,6,6,1536,1610612750,1610612756,0,2,1,0,3,4,14
21301048,1,1,6,4,4,4,1081,1610612737,1610612756,0,1,0,0,1,4,13
21301062,7,3,13,5,6,5,1802,1610612764,1610612756,0,1,0,0,0,3,18
21301085,5,2,8,2,0,0,1042,1610612752,1610612756,0,0,1,1,2,0,6
21301100,9,3,19,8,3,3,1935,1610612747,1610612756,1,2,0,0,0,1,22
21301125,6,2,11,5,4,3,1376,1610612746,1610612756,1,0,0,2,0,3,15
21301140,7,4,20,12,5,4,1736,1610612757,1610612756,1,2,0,1,1,2,32
21301156,7,5,11,7,7,5,2006,1610612760,1610612756,1,0,0,0,2,4,24
21301170,7,4,14,8,2,1,1453,1610612740,1610612756,1,1,0,0,3,2,21
21301186,10,4,19,9,5,5,2141,1610612759,1610612756,0,3,2,1,1,3,27
21301195,3,1,9,2,4,4,1639,1610612742,1610612756,1,0,2,0,3,1,9
21301212,2,1,4,2,2,2,1112,1610612763,1610612756,1,1,1,0,2,1,7
21301229,5,2,11,5,0,0,1001,1610612758,1610612756,0,0,0,0,0,0,12
21400013,3,0,8,2,0,0,1320,1610612747,1610612756,0,2,1,0,3,2,4
21400024,4,1,7,3,4,3,1133,1610612759,1610612756,0,0,0,0,0,2,10
21400037,8,2,18,6,2,2,1821,1610612762,1610612756,0,0,5,0,0,1,16
21400056,4,2,19,11,3,2,1398,1610612747,1610612756,1,1,0,0,1,5,26
