@relation Giannis_Antetokounmpo
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300008,0,0,0,0,2,1,283,1610612752,1610612749,0,0,0,0,1,2,1
21300024,1,0,5,2,2,1,747,1610612738,1610612749,0,0,0,0,0,3,5
21300037,0,0,2,1,2,0,1017,1610612761,1610612749,0,0,1,0,0,1,2
21300107,5,3,8,4,0,0,1295,1610612748,1610612749,2,0,0,0,3,1,11
21300111,1,0,2,1,4,4,1167,1610612753,1610612749,1,1,2,0,1,0,6
21300125,1,1,2,2,0,0,706,1610612754,1610612749,1,0,0,1,1,4,5
21300144,1,0,3,1,0,0,910,1610612760,1610612749,1,1,0,2,2,1,2
21300193,0,0,7,3,0,0,720,1610612766,1610612749,1,0,2,0,1,2,6
21300204,0,0,6,2,2,2,720,1610612765,1610612749,1,0,0,0,0,2,6
21300228,1,0,3,2,1,0,805,1610612766,1610612749,0,1,1,1,0,3,4
21300247,3,2,6,4,2,0,1665,1610612738,1610612749,1,4,0,1,2,0,10
21300262,0,0,4,2,0,0,926,1610612738,1610612749,1,1,0,1,2,1,4
21300272,2,0,5,3,1,0,1659,1610612765,1610612749,0,4,1,3,0,3,6
21300281,2,0,6,3,1,0,1175,1610612764,1610612749,2,1,0,1,1,2,6
21300295,2,0,3,1,2,1,848,1610612751,1610612749,0,1,1,1,1,1,3
21300316,0,0,1,0,2,1,599,1610612741,1610612749,0,0,0,0,2,0,1
21300321,1,0,8,5,8,5,1992,1610612759,1610612749,3,1,2,1,1,3,15
21300337,0,0,4,2,4,4,1431,1610612741,1610612749,4,1,0,0,0,2,8
21300348,1,0,9,3,8,7,2086,1610612742,1610612749,2,4,0,1,0,2,13
21300375,0,0,3,2,7,6,2506,1610612752,1610612749,1,2,2,1,3,6,10
21300385,2,1,4,2,2,1,1379,1610612739,1610612749,0,1,0,0,1,4,6
21300398,0,0,7,3,6,6,2084,1610612755,1610612749,2,3,0,2,2,0,12
21300407,4,2,8,4,2,2,2142,1610612766,1610612749,2,2,0,0,0,1,12
21300429,5,1,12,5,6,5,2025,1610612751,1610612749,2,1,0,3,1,3,16
21300444,1,0,6,3,0,0,1870,1610612750,1610612749,4,4,4,2,4,1,6
21300467,0,0,7,3,2,2,2250,1610612747,1610612749,4,1,0,0,1,3,8
21300479,2,1,6,3,4,3,2019,1610612762,1610612749,1,5,0,1,2,4,10
21300495,0,0,2,0,0,0,814,1610612756,1610612749,0,0,0,0,4,3,0
21300515,0,0,3,1,0,0,1468,1610612744,1610612749,0,5,2,0,1,3,2
21300538,1,0,5,0,0,0,702,1610612741,1610612749,0,1,0,0,3,3,0
21300548,3,0,12,5,4,3,2289,1610612760,1610612749,4,5,2,2,4,2,13
21300555,1,0,10,5,4,1,1979,1610612761,1610612749,3,4,2,1,4,5,11
21300570,2,0,4,2,2,2,1338,1610612763,1610612749,0,1,0,0,2,4,6
21300597,4,2,10,4,0,0,1276,1610612745,1610612749,0,3,1,1,3,4,10
21300604,6,3,10,4,0,0,1805,1610612759,1610612749,1,1,0,0,2,2,11
21300628,2,0,3,1,2,2,1542,1610612765,1610612749,0,3,1,1,2,1,4
21300638,3,2,5,3,2,2,1583,1610612739,1610612749,1,2,1,2,3,2,10
21300650,2,0,6,2,2,1,1521,1610612737,1610612749,0,2,1,1,4,5,5
21300665,1,0,7,3,4,2,2226,1610612746,1610612749,1,3,0,1,1,4,8
21300679,0,0,7,2,2,2,1508,1610612756,1610612749,0,4,1,0,0,4,6
21300689,4,2,7,4,9,5,1729,1610612753,1610612749,1,3,1,0,2,1,15
21300702,2,1,3,1,0,0,1225,1610612763,1610612749,0,1,1,0,2,1,3
21300714,0,0,9,5,8,5,1707,1610612752,1610612749,1,2,1,0,1,3,15
21300734,1,0,4,1,6,3,1988,1610612743,1610612749,0,1,1,1,4,4,5
21300753,1,0,8,0,2,1,1496,1610612745,1610612749,1,0,1,1,1,2,1
21300767,2,1,5,1,2,1,1573,1610612738,1610612749,0,0,0,0,1,1,4
21300785,0,0,3,1,2,1,1203,1610612740,1610612749,0,1,1,1,2,1,3
21300797,1,1,3,2,6,3,1607,1610612753,1610612749,2,4,2,1,0,2,8
21300812,3,1,7,3,5,4,1940,1610612743,1610612749,3,4,2,3,0,1,11
21300829,2,0,6,2,4,4,1457,1610612754,1610612749,2,1,1,0,1,3,8
21300841,2,1,8,5,2,2,1744,1610612755,1610612749,4,4,0,4,5,4,13
21300863,1,1,4,2,0,0,1279,1610612754,1610612749,0,3,1,0,2,1,5
21300878,2,1,7,3,9,5,1650,1610612751,1610612749,1,3,3,1,2,1,12
21300894,3,1,9,3,1,1,1599,1610612762,1610612749,1,3,0,1,0,1,8
21300910,3,1,5,2,0,0,1063,1610612758,1610612749,0,3,0,1,0,4,5
21300923,3,0,5,1,0,0,1225,1610612740,1610612749,0,3,0,0,1,1,2
21300931,1,0,4,1,2,2,1311,1610612764,1610612749,1,1,0,0,2,1,4
21300947,2,1,4,2,2,1,1666,1610612753,1610612749,0,1,0,2,2,2,6
21300954,1,0,5,0,4,4,1320,1610612750,1610612749,1,4,0,0,2,2,4
21300969,4,1,4,1,4,2,1546,1610612737,1610612749,1,5,1,0,0,1,5
21300981,1,1,5,2,2,2,1593,1610612752,1610612749,2,1,2,1,0,4,7
21300987,1,0,4,0,2,2,1316,1610612766,1610612749,0,1,2,2,2,2,2
21301005,1,0,6,2,0,0,1176,1610612757,1610612749,0,0,0,0,1,2,4
21301021,2,0,6,3,6,5,1830,1610612744,1610612749,0,4,1,0,1,1,11
21301043,2,1,7,3,2,2,1375,1610612758,1610612749,1,2,0,0,2,4,9
21301056,0,0,4,4,3,1,1684,1610612746,1610612749,1,1,0,1,0,4,9
21301073,1,1,6,4,2,1,1514,1610612747,1610612749,2,0,3,1,5,3,10
21301091,1,0,5,0,2,1,1300,1610612748,1610612749,1,2,0,1,2,2,1
21301104,2,2,6,4,5,4,1828,1610612765,1610612749,0,2,1,1,1,0,14
21301121,1,1,5,2,0,0,1305,1610612748,1610612749,1,1,0,1,1,1,5
21301137,0,0,6,1,4,2,1968,1610612741,1610612749,1,5,3,2,3,6,4
21301148,1,0,6,1,2,2,1489,1610612761,1610612749,1,2,0,0,1,1,4
21301168,1,0,4,1,0,0,1279,1610612754,1610612749,0,1,1,0,2,2,2
21301185,1,0,3,0,6,3,1173,1610612739,1610612749,0,0,0,2,0,0,3
21301191,1,1,5,3,4,1,2587,1610612764,1610612749,2,2,3,1,4,1,8
21301205,1,1,3,1,2,2,1412,1610612761,1610612749,0,3,1,0,1,1,5
21301217,3,2,6,4,0,0,1575,1610612737,1610612749,1,3,0,1,1,5,10
21400004,1,1,6,3,3,3,1440,1610612766,1610612749,0,1,0,1,0,1,10
