@relation Gordon_Hayward
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300014,6,2,13,4,4,2,1654,1610612760,1610612762,1,5,3,0,4,4,12
21300030,5,3,17,6,4,3,2368,1610612756,1610612762,3,8,1,0,3,1,18
21300038,5,1,16,7,2,0,2290,1610612745,1610612762,2,2,0,0,1,3,15
21300052,3,1,16,8,5,5,1887,1610612751,1610612762,1,4,0,0,2,0,22
21300064,2,1,20,12,4,3,2376,1610612738,1610612762,2,5,1,0,2,3,28
21300079,2,1,15,5,5,4,2241,1610612741,1610612762,1,5,0,0,2,1,15
21300085,5,0,18,10,4,4,2181,1610612761,1610612762,1,4,4,0,2,2,24
21300104,5,1,16,8,6,5,2421,1610612743,1610612762,0,2,1,2,7,1,22
21300119,5,3,12,6,14,12,2518,1610612740,1610612762,2,10,2,1,5,1,27
21300133,7,1,23,5,6,4,2593,1610612759,1610612762,1,3,1,1,3,1,15
21300145,3,2,12,5,4,2,2105,1610612744,1610612762,0,2,1,0,3,2,14
21300154,4,2,14,6,4,4,2102,1610612744,1610612762,0,3,3,0,6,4,18
21300169,8,0,17,1,4,4,2348,1610612740,1610612762,1,11,1,2,1,4,6
21300184,3,1,12,5,2,2,2075,1610612742,1610612762,1,5,3,2,5,4,13
21300200,2,1,9,2,0,0,1516,1610612760,1610612762,0,1,1,0,6,3,5
21300209,0,0,15,5,7,5,2819,1610612741,1610612762,1,12,1,1,1,3,15
