@relation Isaiah_Canaan
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,0,0,0,23,1610612759,1610612745,0,0,0,0,0,0,0
2,0,3,1,2,2,449,1610612760,1610612745,0,0,0,0,0,0,4
0,0,0,0,0,0,92,1610612747,1610612745,0,0,0,0,0,0,0
1,0,1,0,0,0,559,1610612740,1610612745,0,0,0,0,0,3,0
0,0,0,0,2,2,54,1610612749,1610612745,0,0,0,0,0,0,2
1,0,3,1,1,1,455,1610612758,1610612745,1,0,0,0,1,0,3
0,0,0,0,0,0,92,1610612753,1610612745,0,1,0,0,0,0,0
1,1,1,1,2,2,332,1610612754,1610612745,0,0,1,0,1,1,5
2,0,5,1,2,2,492,1610612741,1610612745,2,1,0,0,0,1,4
2,1,4,1,0,0,499,1610612762,1610612745,0,2,2,0,1,0,3
2,1,3,2,0,0,191,1610612750,1610612745,0,0,0,0,0,1,5
1,0,1,0,4,3,320,1610612739,1610612745,0,0,0,0,1,1,3
3,1,6,2,0,0,829,1610612755,1610612745,0,0,1,1,3,2,5
4,2,5,3,8,6,1229,1610612746,1610612745,0,3,0,0,4,2,14
4,0,8,1,0,0,1390,1610612751,1610612745,0,0,0,0,2,1,2
5,2,8,2,2,1,1058,1610612761,1610612745,1,1,1,0,0,2,7
3,2,5,2,0,0,1080,1610612760,1610612745,0,1,0,0,2,2,6
7,4,8,5,2,1,1116,1610612743,1610612745,1,2,0,1,0,2,15
4,3,8,6,0,0,1612,1610612747,1610612745,0,1,0,0,2,1,15
8,1,10,2,2,1,1449,1610612743,1610612745,2,6,2,2,4,3,6
2,0,2,0,0,0,262,1610612750,1610612745,0,0,0,0,0,1,0
3,0,6,1,2,0,1551,1610612740,1610612745,0,4,1,0,0,2,2
1,0,1,0,2,2,427,1610612747,1610612745,0,0,0,0,1,0,2
1,1,3,1,0,0,490,1610612762,1610612745,1,0,0,0,0,0,3
9,3,11,3,2,0,2085,1610612738,1610612745,2,2,2,0,2,1,9
6,3,11,5,0,0,1776,1610612755,1610612745,1,6,2,0,3,5,13
2,2,3,3,0,0,840,1610612748,1610612745,0,0,1,0,0,1,8
4,2,10,5,0,0,1582,1610612759,1610612745,1,1,1,0,0,3,12
7,3,12,7,4,4,2330,1610612744,1610612745,0,1,1,0,5,2,21
3,0,7,2,2,1,1572,1610612750,1610612745,0,1,0,0,3,2,5
6,3,8,3,0,0,1572,1610612755,1610612745,1,3,0,0,1,2,9
5,1,9,3,1,1,1252,1610612763,1610612745,0,3,1,0,1,2,8
0,0,0,0,0,0,167,1610612742,1610612745,0,0,1,0,2,0,0
5,1,8,2,2,2,1579,1610612752,1610612745,0,3,1,0,1,4,7
10,6,16,9,0,0,1919,1610612758,1610612745,3,4,4,0,1,1,24
6,3,8,4,3,2,895,1610612746,1610612745,0,0,0,0,0,1,13
1,0,2,0,0,0,392,1610612743,1610612745,0,0,0,0,0,1,0
1,0,3,2,0,0,639,1610612740,1610612745,0,1,0,0,1,0,4
1,0,1,0,0,0,237,1610612757,1610612745,0,0,0,0,0,0,0
2,0,2,0,0,0,149,1610612766,1610612745,1,0,0,0,0,0,0
3,1,3,1,2,2,720,1610612740,1610612745,0,2,0,0,1,0,5
3,2,4,2,3,2,446,1610612748,1610612745,1,1,0,0,0,0,8
0,0,0,0,0,0,16,1610612739,1610612745,0,0,0,0,0,0,0
2,1,2,1,0,0,395,1610612752,1610612745,0,1,0,0,1,1,3
0,0,0,0,0,0,80,1610612762,1610612745,0,0,0,0,0,0,0
5,0,6,0,0,0,449,1610612765,1610612745,0,0,0,0,0,2,0
1,0,1,0,0,0,130,1610612746,1610612745,0,0,0,0,0,0,0
9,4,12,5,0,0,1761,1610612753,1610612755,2,3,0,1,3,5,14
7,3,9,4,0,0,1777,1610612748,1610612755,1,3,0,0,3,3,11
5,1,10,3,5,4,1957,1610612749,1610612755,1,6,1,0,5,4,11
6,1,11,3,1,1,1293,1610612764,1610612755,1,1,0,0,1,2,8
5,1,8,2,0,0,1344,1610612754,1610612755,0,1,2,1,0,3,5
8,4,12,5,0,0,1512,1610612761,1610612755,0,3,0,0,0,2,14
13,8,16,10,3,3,2496,1610612760,1610612755,0,6,1,0,3,1,31
9,4,15,6,0,0,1693,1610612762,1610612755,0,4,0,0,1,2,16
9,2,13,2,8,6,2196,1610612737,1610612755,0,8,1,0,1,4,12
8,4,15,7,2,2,1780,1610612741,1610612755,0,0,0,0,2,0,20
7,1,9,3,0,0,1380,1610612758,1610612755,0,5,0,0,2,3,7
8,1,13,6,0,0,1755,1610612751,1610612755,1,3,0,0,0,2,13
7,2,11,4,2,1,1681,1610612738,1610612755,0,2,0,1,3,4,11
8,4,11,4,0,0,1175,1610612752,1610612755,0,2,1,0,1,0,12
