@relation JJ_Redick
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300003,5,2,12,5,1,1,2029,1610612747,1610612746,1,3,0,0,1,0,13
21300019,7,3,11,5,4,4,1687,1610612744,1610612746,1,2,0,0,0,4,17
21300031,4,1,8,5,2,2,1681,1610612758,1610612746,0,1,1,0,1,2,13
21300050,7,2,15,8,8,8,1670,1610612745,1610612746,3,3,2,1,0,5,26
21300062,5,2,15,7,1,1,1930,1610612753,1610612746,1,4,0,0,1,0,17
21300070,6,2,11,4,6,5,1849,1610612748,1610612746,1,1,0,0,1,5,15
21300090,7,3,15,8,3,3,2141,1610612745,1610612746,0,2,4,1,3,3,22
21300106,4,1,7,3,0,0,1442,1610612750,1610612746,0,3,0,0,1,3,7
21300122,5,2,13,5,3,3,1544,1610612760,1610612746,0,2,1,0,1,4,15
21300146,7,5,14,9,4,3,1777,1610612751,1610612746,0,1,1,0,1,1,26
21300155,7,1,13,3,5,5,1643,1610612763,1610612746,0,2,0,0,1,2,12
21300168,5,2,14,5,4,3,1944,1610612750,1610612746,0,5,1,0,1,3,15
21300174,6,1,11,3,1,1,1614,1610612760,1610612746,0,0,2,0,0,1,8
21300187,3,1,11,5,5,4,1881,1610612758,1610612746,0,1,0,1,3,1,15
21300198,3,1,11,8,2,2,1486,1610612741,1610612746,0,2,2,0,0,0,19
21300227,7,3,10,5,2,2,1410,1610612752,1610612746,0,0,0,0,1,1,15
21300240,4,1,9,4,4,4,1019,1610612758,1610612746,0,2,1,0,1,2,13
21300542,4,1,15,8,2,2,1375,1610612747,1610612746,0,2,0,0,0,0,19
21300577,9,7,14,10,7,6,1879,1610612742,1610612746,1,5,2,0,1,3,33
21300581,6,1,11,3,5,5,1997,1610612752,1610612746,0,1,2,0,0,2,12
21300594,7,0,17,4,0,0,1705,1610612754,1610612746,0,4,0,0,2,1,8
21300607,5,3,9,5,9,7,2189,1610612765,1610612746,0,6,0,0,2,2,20
21300621,6,1,14,7,0,0,2151,1610612766,1610612746,0,1,1,0,4,2,15
21300641,7,4,11,5,4,4,2013,1610612741,1610612746,0,5,1,0,1,2,18
21300647,3,2,13,7,2,2,1392,1610612761,1610612746,0,0,0,0,0,1,18
21300665,4,3,8,4,3,3,1447,1610612749,1610612746,0,2,0,0,1,0,14
21300685,5,3,11,7,4,3,2170,1610612764,1610612746,0,1,1,0,4,2,20
21300688,6,4,11,4,0,0,1830,1610612744,1610612746,0,1,1,0,3,0,12
21300708,1,0,6,1,2,2,1110,1610612762,1610612746,1,0,1,0,1,3,4
21300718,4,1,11,4,0,0,1799,1610612743,1610612746,0,4,1,0,0,2,9
21301128,6,2,10,3,4,4,1416,1610612742,1610612746,0,1,0,0,0,0,12
21301150,3,1,11,7,0,0,1410,1610612747,1610612746,0,1,0,0,3,2,15
21301173,7,1,7,1,1,1,1640,1610612760,1610612746,0,8,1,0,3,1,4
21301189,4,2,9,4,4,3,1922,1610612758,1610612746,0,1,0,0,0,2,13
21301215,6,4,10,5,4,4,1049,1610612743,1610612746,0,1,2,0,0,3,18
21400020,7,1,10,1,2,2,1774,1610612760,1610612746,0,0,0,0,2,2,5
21400026,6,1,9,3,8,8,2004,1610612747,1610612746,0,3,2,0,1,1,15
21400039,10,2,14,4,2,2,1952,1610612758,1610612746,0,1,1,0,1,1,12
21400048,5,2,6,2,2,1,908,1610612762,1610612746,0,2,0,0,2,1,7
21400068,2,1,6,3,5,5,1409,1610612744,1610612746,0,0,0,0,2,1,12
21400082,3,2,13,11,8,6,2245,1610612757,1610612746,0,1,1,0,1,2,30
21400102,6,2,10,4,3,3,2160,1610612759,1610612746,1,4,0,0,2,0,13
21400141,4,2,8,3,7,6,2065,1610612756,1610612746,0,3,0,0,2,3,14
21400154,3,1,10,2,0,0,1421,1610612741,1610612746,0,1,0,1,0,1,5
21400161,2,1,6,1,0,0,1263,1610612753,1610612746,0,1,0,0,1,1,3
21400170,8,4,11,5,0,0,1404,1610612748,1610612746,1,2,0,0,1,3,14
21400193,6,3,10,5,2,2,1570,1610612763,1610612746,0,1,0,0,0,2,15
21400198,9,4,12,5,3,3,2104,1610612766,1610612746,0,1,0,0,0,4,17
21400216,3,1,6,3,4,3,1520,1610612765,1610612746,0,0,0,0,3,2,10
21400228,9,3,13,6,0,0,1441,1610612745,1610612746,0,1,0,0,4,0,15
21400239,5,1,9,4,5,4,1882,1610612762,1610612746,0,3,1,0,0,4,13
21400252,5,4,11,7,6,5,1368,1610612750,1610612746,0,2,0,0,1,2,23
21400272,7,4,11,7,2,2,1692,1610612753,1610612746,0,0,0,1,0,3,20
