@relation James_Anderson
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,2,8,3,0,0,2124,1610612748,1610612755,0,1,2,0,3,3,8
5,1,5,1,1,0,2061,1610612764,1610612755,0,6,2,1,1,0,3
1,0,4,0,2,1,1775,1610612741,1610612755,0,2,0,0,0,1,1
3,1,7,3,0,0,1530,1610612744,1610612755,2,1,0,1,0,1,7
4,2,10,5,1,1,1961,1610612764,1610612755,0,0,0,0,1,2,13
3,1,7,5,0,0,1917,1610612739,1610612755,1,2,0,0,2,1,11
4,1,5,2,0,0,2665,1610612739,1610612755,0,3,2,0,3,2,5
2,1,6,3,0,0,1444,1610612759,1610612755,0,1,0,0,1,1,7
8,6,16,12,6,6,2662,1610612745,1610612755,1,0,3,0,0,5,36
4,0,6,1,0,0,2330,1610612737,1610612755,0,5,2,2,2,1,2
4,1,9,5,0,0,1544,1610612740,1610612755,0,1,0,0,1,1,11
7,3,13,5,2,1,2491,1610612742,1610612755,3,3,3,1,0,1,14
6,3,11,5,0,0,1969,1610612761,1610612755,1,1,1,0,2,3,13
6,2,9,5,2,0,2144,1610612749,1610612755,0,3,0,1,3,2,12
10,1,18,4,4,4,2200,1610612754,1610612755,1,1,3,1,1,1,13
4,0,9,2,0,0,2064,1610612753,1610612755,1,6,1,1,3,4,4
5,1,9,3,0,0,1295,1610612740,1610612755,1,1,1,0,2,2,7
4,2,8,4,1,1,1310,1610612765,1610612755,0,0,0,1,3,1,11
4,2,10,6,9,5,1756,1610612753,1610612755,2,0,0,0,2,2,19
4,0,8,2,0,0,1224,1610612766,1610612755,0,1,0,0,0,0,4
