@relation James_Michael_McAdoo
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400615,0,0,5,4,5,3,757,1610612743,1610612744,2,0,0,1,0,2,11
21400651,0,0,2,1,2,1,335,1610612758,1610612744,0,0,1,0,0,1,3
21400679,0,0,0,0,0,0,79,1610612741,1610612744,0,0,0,0,0,0,0
21400749,0,0,0,0,0,0,1,1610612737,1610612744,0,0,0,0,0,0,0
21400973,0,0,10,6,6,4,1664,1610612743,1610612744,4,1,1,1,1,5,16
21400999,0,0,0,0,0,0,321,1610612747,1610612744,0,0,0,1,0,0,0
21401030,0,0,2,0,0,0,305,1610612740,1610612744,2,0,1,0,1,2,0
21401082,0,0,2,1,1,0,171,1610612763,1610612744,2,0,1,0,0,0,2
21401089,0,0,8,5,2,2,1365,1610612749,1610612744,1,0,0,3,2,1,12
21401111,0,0,1,0,0,0,126,1610612746,1610612744,0,0,0,0,0,1,0
21401126,0,0,5,3,5,2,1320,1610612756,1610612744,2,0,1,1,0,3,8
21401150,0,0,2,1,0,0,553,1610612759,1610612744,0,0,0,0,0,0,2
21401174,0,0,0,0,0,0,4,1610612757,1610612744,0,0,0,0,0,0,0
21401229,0,0,4,3,4,2,951,1610612743,1610612744,0,1,0,1,1,4,8
41400221,0,0,1,0,0,0,35,1610612763,1610612744,0,0,0,0,0,0,0
41400224,0,0,0,0,0,0,116,1610612763,1610612744,0,0,0,1,1,0,0
41400225,0,0,2,2,0,0,164,1610612763,1610612744,0,0,0,0,0,0,4
41400404,0,0,0,0,0,0,72,1610612739,1610612744,0,0,0,0,0,0,0
21500003,0,0,0,0,2,2,151,1610612740,1610612744,0,0,1,0,2,4,2
21500030,0,0,2,1,2,1,444,1610612745,1610612744,0,1,0,0,1,3,3
21500035,0,0,0,0,0,0,212,1610612740,1610612744,0,0,0,0,0,0,0
21500051,0,0,6,4,7,1,988,1610612763,1610612744,1,1,0,0,0,1,9
21500069,0,0,0,0,0,0,10,1610612746,1610612744,0,0,0,0,0,0,0
21500083,0,0,4,1,4,1,594,1610612743,1610612744,2,1,1,0,0,0,3
21500120,0,0,0,0,0,0,241,1610612763,1610612744,0,1,0,0,0,0,0
21500125,0,0,0,0,0,0,145,1610612750,1610612744,0,0,0,0,0,0,0
21500177,0,0,0,0,0,0,36,1610612746,1610612744,0,0,0,0,0,0,0
21500187,0,0,1,1,2,2,401,1610612741,1610612744,0,0,0,0,1,0,4
21500200,0,0,3,2,2,1,296,1610612743,1610612744,3,0,1,0,1,0,5
