@relation Jared_Sullinger
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300024,0,0,6,2,7,6,623,1610612749,1610612738,3,0,0,0,1,4,10
21300041,2,0,6,1,2,2,846,1610612765,1610612738,0,0,0,1,0,1,4
21300049,3,2,11,7,0,0,1242,1610612763,1610612738,1,0,0,0,0,4,16
21300064,2,0,11,6,0,0,1412,1610612762,1610612738,0,0,0,1,2,2,12
21300075,1,0,8,2,8,7,1169,1610612753,1610612738,3,4,0,2,1,2,11
21300089,1,0,9,5,2,2,1454,1610612748,1610612738,3,1,1,0,3,4,12
21300101,1,0,9,7,1,0,1528,1610612753,1610612738,1,3,1,2,1,1,14
21300128,4,2,18,11,2,2,2165,1610612757,1610612738,0,2,1,0,4,2,26
21300142,2,0,6,1,2,1,822,1610612750,1610612738,3,1,0,0,1,2,3
21300159,2,1,10,4,2,1,1309,1610612745,1610612738,4,2,0,0,2,2,10
21300170,5,1,17,8,2,2,1884,1610612759,1610612738,4,0,0,0,2,4,19
21300179,2,0,12,6,2,1,1888,1610612754,1610612738,1,2,1,0,1,3,13
21300190,3,1,12,6,4,2,1952,1610612737,1610612738,2,1,1,2,1,2,15
21300202,3,0,9,2,2,1,1709,1610612766,1610612738,2,2,1,1,2,3,5
21300217,3,2,18,10,1,1,2100,1610612763,1610612738,5,3,0,0,4,5,23
21300232,5,4,9,4,0,0,1515,1610612739,1610612738,1,3,1,1,2,4,12
21300247,5,1,18,10,1,0,1978,1610612749,1610612738,2,0,0,0,3,5,21
21300262,1,0,15,5,2,2,2086,1610612749,1610612738,5,2,2,1,3,3,12
21300283,3,0,13,4,2,0,1203,1610612743,1610612738,0,1,0,1,0,4,8
21300299,3,2,13,9,1,1,1619,1610612752,1610612738,1,2,1,0,2,3,21
21300314,6,2,16,6,1,1,2124,1610612751,1610612738,3,3,0,0,0,3,15
21300319,3,0,13,5,0,0,1885,1610612746,1610612738,4,1,0,0,1,5,10
21300333,1,0,9,6,7,7,1875,1610612752,1610612738,2,3,0,1,2,4,19
21300358,2,1,14,7,11,9,2161,1610612750,1610612738,3,5,0,0,1,4,24
21300373,4,2,14,7,4,3,1964,1610612765,1610612738,3,4,1,0,2,4,19
21300393,4,1,18,9,4,3,1832,1610612764,1610612738,5,1,1,0,1,3,22
21300404,1,0,9,3,1,0,979,1610612754,1610612738,0,0,0,2,2,3,6
21300436,3,0,14,4,0,0,1841,1610612739,1610612738,2,2,0,1,1,4,8
21300460,0,0,6,1,0,0,1191,1610612737,1610612738,2,3,0,1,0,3,2
21300475,2,0,12,5,1,1,1873,1610612741,1610612738,6,1,1,0,3,4,11
