@relation Jarrett_Jack
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300004,1,1,6,3,6,5,1350,1610612751,1610612739,0,3,1,0,1,1,12
21300020,3,1,13,7,0,0,1660,1610612766,1610612739,0,3,0,0,3,0,15
21300033,2,0,8,4,0,0,1468,1610612754,1610612739,0,3,2,0,4,3,8
21300047,2,0,7,1,0,0,1609,1610612750,1610612739,0,5,0,1,3,3,2
21300066,1,0,8,3,0,0,1134,1610612749,1610612739,0,2,0,0,2,3,6
21300076,4,3,10,3,4,4,1509,1610612755,1610612739,1,3,2,0,3,1,13
21300088,6,3,14,7,4,3,2196,1610612755,1610612739,1,5,3,3,3,1,20
21300102,1,0,6,0,2,2,1512,1610612741,1610612739,0,1,1,0,1,1,2
21300115,1,0,9,3,0,0,1410,1610612750,1610612739,0,5,0,0,1,1,6
21300129,1,0,9,5,2,1,1429,1610612766,1610612739,0,3,2,1,2,0,11
21300138,4,1,13,5,2,2,2019,1610612764,1610612739,1,4,1,0,5,1,13
21300162,4,2,10,6,0,0,1703,1610612764,1610612739,0,6,1,0,1,0,14
21300183,3,1,13,9,0,0,1962,1610612740,1610612739,0,4,0,0,3,1,19
21300194,0,0,3,0,0,0,1042,1610612759,1610612739,0,5,0,0,0,1,0
21300219,4,2,6,3,0,0,2233,1610612748,1610612739,1,6,1,1,5,1,8
21300232,2,0,9,4,1,1,1318,1610612738,1610612739,0,2,0,0,1,2,9
21300242,2,1,6,2,0,0,1430,1610612741,1610612739,0,3,0,0,1,2,5
