@relation Jarvis_Varnado
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300820,0,0,0,0,0,0,123,1610612743,1610612741,0,0,0,0,0,1,0
21300875,0,0,0,0,0,0,175,1610612764,1610612755,0,0,0,0,0,0,0
21300886,0,0,0,0,4,2,878,1610612753,1610612755,0,0,0,3,0,3,2
21300901,0,0,7,3,1,0,1067,1610612760,1610612755,4,0,1,0,1,1,6
21300929,0,0,2,1,0,0,854,1610612762,1610612755,1,1,0,0,0,5,2
21300946,0,0,2,1,4,2,884,1610612752,1610612755,2,0,0,0,1,1,4
21300959,0,0,2,1,2,2,576,1610612758,1610612755,1,1,1,0,0,5,4
21300973,0,0,0,0,2,1,360,1610612754,1610612755,0,0,0,0,0,0,1
21300985,0,0,1,1,4,2,671,1610612763,1610612755,1,0,0,1,0,3,4
21300997,0,0,2,1,0,0,518,1610612754,1610612755,0,1,0,0,1,2,2
21301008,0,0,3,3,2,1,944,1610612741,1610612755,1,0,0,4,0,2,7
21301023,0,0,1,1,2,1,1008,1610612752,1610612755,0,0,0,0,0,3,3
21301034,0,0,5,3,0,0,871,1610612741,1610612755,3,0,0,1,0,4,6
21301054,0,0,0,0,2,0,660,1610612759,1610612755,1,1,2,1,1,2,0
21301072,0,0,2,2,2,1,1319,1610612745,1610612755,2,2,1,2,2,3,5
21301087,0,0,8,4,1,1,1256,1610612765,1610612755,2,1,0,6,0,5,9
21301103,0,0,3,2,7,1,1239,1610612737,1610612755,1,0,0,3,2,1,5
21301117,0,0,5,2,0,0,948,1610612766,1610612755,0,4,0,1,1,5,4
21301133,0,0,2,2,3,3,822,1610612738,1610612755,0,0,1,2,0,1,7
21301147,0,0,3,1,2,2,1186,1610612751,1610612755,0,0,1,1,0,2,4
21301164,0,0,3,2,4,2,1037,1610612761,1610612755,0,0,1,2,0,2,6
21301182,0,0,3,2,2,2,1075,1610612763,1610612755,0,1,0,0,1,5,6
21301204,0,0,1,1,6,2,952,1610612738,1610612755,0,1,0,2,0,2,4
21301225,0,0,5,3,2,2,938,1610612748,1610612755,0,0,2,0,0,4,8
