@relation Jason_Terry
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300004,9,4,10,5,0,0,1143,1610612739,1610612751,0,1,1,0,1,3,14
21300028,4,2,4,2,0,0,1168,1610612748,1610612751,0,2,0,0,1,1,6
21300043,2,2,5,3,0,0,1311,1610612753,1610612751,1,1,0,0,1,1,8
21300052,0,0,0,0,0,0,631,1610612762,1610612751,0,2,0,0,0,2,0
21300077,6,2,9,4,1,1,1252,1610612764,1610612751,0,2,0,0,1,0,11
21300087,3,0,4,0,0,0,962,1610612754,1610612751,0,0,0,0,1,1,0
21300121,1,0,4,1,0,0,1012,1610612758,1610612751,0,1,0,0,1,3,2
21300132,1,0,3,1,2,1,1093,1610612756,1610612751,0,1,1,0,1,2,3
21300146,4,1,7,3,2,2,1513,1610612746,1610612751,0,5,0,0,0,2,9
21300150,4,1,7,2,0,0,1087,1610612757,1610612751,0,1,0,0,0,1,5
21300161,0,0,1,0,0,0,265,1610612766,1610612751,0,1,1,0,0,2,0
21300410,6,3,7,4,1,0,908,1610612754,1610612751,0,0,0,0,1,1,11
21300418,2,0,2,0,2,1,1412,1610612741,1610612751,0,1,0,0,1,1,1
21300429,5,4,7,4,0,0,1147,1610612749,1610612751,0,1,0,0,0,0,12
21300437,1,0,4,1,1,1,1089,1610612754,1610612751,0,1,0,0,1,3,3
21300465,0,0,0,0,0,0,292,1610612759,1610612751,0,0,0,0,1,3,0
21300476,1,0,1,0,0,0,274,1610612760,1610612751,0,0,0,0,0,0,0
21300491,1,1,1,1,0,0,42,1610612739,1610612751,0,0,0,0,0,0,3
21300506,4,0,5,0,0,0,632,1610612737,1610612751,1,2,0,0,0,1,0
21300523,3,1,5,1,0,0,962,1610612744,1610612751,0,2,0,0,2,2,3
21300537,1,0,3,1,0,0,1083,1610612748,1610612751,0,1,0,0,0,3,2
21300543,2,1,4,2,0,0,950,1610612761,1610612751,0,1,0,0,1,1,5
21300579,5,1,7,2,0,0,1555,1610612737,1610612751,0,7,1,0,0,1,5
21300610,3,1,3,1,0,0,1267,1610612752,1610612751,0,1,1,0,1,3,3
21300616,1,1,2,1,2,2,1303,1610612753,1610612751,1,0,1,0,0,1,5
21300637,5,2,6,3,0,0,1134,1610612742,1610612751,0,2,3,0,4,3,8
21300658,3,1,3,1,0,0,980,1610612738,1610612751,0,3,0,0,1,0,3
21300663,0,0,1,0,0,0,383,1610612761,1610612751,0,0,0,0,0,0,0
21300692,5,3,6,4,0,0,1161,1610612760,1610612751,0,2,0,0,1,2,11
21300697,2,0,4,0,2,1,761,1610612754,1610612751,0,2,0,0,1,1,1
21300712,2,1,5,1,0,0,749,1610612755,1610612751,0,2,0,0,2,1,3
21300744,9,6,11,6,0,0,1499,1610612765,1610612751,0,2,2,0,0,2,18
21300759,5,0,5,0,2,1,1273,1610612740,1610612751,0,5,2,0,1,0,1
21300781,3,1,4,1,0,0,1204,1610612766,1610612751,0,3,0,0,2,1,3
21300790,0,0,2,0,0,0,722,1610612741,1610612751,1,1,0,0,0,0,0
21400003,3,2,5,3,0,0,1283,1610612747,1610612745,0,1,0,0,1,0,8
21400012,3,2,5,3,0,0,1276,1610612762,1610612745,0,0,0,0,2,1,8
21400034,5,2,5,2,1,1,1376,1610612738,1610612745,0,1,1,2,1,1,7
21400043,5,2,8,3,0,0,1360,1610612755,1610612745,0,0,1,0,0,1,8
21400050,3,1,4,1,0,0,1119,1610612748,1610612745,1,1,1,0,0,2,3
21400069,5,4,5,4,4,4,1243,1610612759,1610612745,0,2,2,0,1,0,16
21400087,6,2,8,3,3,3,1759,1610612744,1610612745,0,1,2,0,3,2,11
21400117,3,3,3,3,0,0,1391,1610612750,1610612745,0,3,1,1,1,4,9
21400127,6,2,7,2,0,0,1325,1610612755,1610612745,0,0,3,1,1,1,6
21400144,2,0,2,0,0,0,1152,1610612760,1610612745,1,1,0,0,0,3,0
21400151,5,2,5,2,3,2,1055,1610612763,1610612745,0,2,1,0,3,0,8
21400169,4,1,7,2,0,0,1208,1610612747,1610612745,0,2,0,1,2,1,5
21400188,6,1,10,3,0,0,1501,1610612742,1610612745,2,5,0,0,2,0,7
21400202,5,2,7,3,0,0,1301,1610612752,1610612745,0,1,1,0,1,0,8
21400217,4,1,5,2,0,0,961,1610612758,1610612745,0,1,1,0,1,2,5
21400228,3,0,6,1,0,0,1327,1610612746,1610612745,0,2,2,1,0,3,2
21400240,8,4,15,7,0,0,2087,1610612749,1610612745,2,5,0,0,0,2,18
21400268,7,3,10,5,5,3,1865,1610612763,1610612745,0,5,4,0,2,2,16
21400283,8,3,16,7,3,2,2578,1610612750,1610612745,0,6,1,0,0,2,19
21400290,3,3,9,5,0,0,2325,1610612756,1610612745,0,2,2,0,2,3,13
21400324,5,0,7,1,0,0,1699,1610612744,1610612745,0,1,1,0,2,1,2
21400327,10,3,12,4,2,2,2102,1610612758,1610612745,0,0,0,0,1,2,13
21400346,8,2,9,3,0,0,1525,1610612743,1610612745,0,0,1,0,3,1,8
21400396,10,4,13,5,0,0,1307,1610612737,1610612745,0,0,1,0,3,0,14
21400411,3,1,4,2,0,0,867,1610612757,1610612745,0,2,0,0,2,2,5
21400436,6,3,6,3,0,0,1113,1610612763,1610612745,0,3,0,0,1,1,9
21400454,4,0,4,0,0,0,1003,1610612759,1610612745,0,3,2,0,0,0,0
21400463,0,0,5,3,0,0,1167,1610612764,1610612745,0,4,1,0,0,0,6
21400478,1,1,4,2,0,0,1141,1610612766,1610612745,0,2,1,1,0,3,5
21400488,5,1,7,3,0,0,936,1610612740,1610612745,0,3,2,0,2,2,7
21400497,4,2,5,2,0,0,1182,1610612748,1610612745,0,3,0,0,0,0,6
21400512,2,2,3,3,1,0,997,1610612741,1610612745,0,3,0,0,2,2,8
21400523,3,2,3,2,0,0,1457,1610612739,1610612745,0,4,1,0,2,3,6
21400536,5,3,7,5,1,1,1332,1610612752,1610612745,0,2,1,0,0,0,14
21400555,1,0,1,0,0,0,1135,1610612762,1610612745,0,4,1,0,0,3,0
21400564,7,3,7,3,0,0,1181,1610612751,1610612745,0,2,0,0,2,2,9
21400584,2,0,2,0,0,0,868,1610612760,1610612745,1,1,1,0,1,0,0
21400603,3,0,3,0,2,2,792,1610612744,1610612745,0,0,0,0,0,2,2
21400617,3,1,5,3,1,0,1112,1610612754,1610612745,0,3,1,0,2,2,7
21400636,6,4,8,4,2,2,1208,1610612744,1610612745,0,1,1,1,2,3,14
21400650,1,1,1,1,0,0,884,1610612756,1610612745,0,0,0,0,1,0,3
21400667,7,2,9,4,2,1,1245,1610612747,1610612745,0,4,1,0,1,1,11
21400685,1,1,3,1,2,2,1026,1610612742,1610612745,2,3,2,2,2,2,5
21400698,2,0,2,0,0,0,892,1610612738,1610612745,2,4,0,0,0,1,0
21400709,1,0,1,0,0,0,381,1610612765,1610612745,0,0,0,0,0,0,0
21400735,3,1,4,2,0,0,1117,1610612741,1610612745,0,2,0,0,0,0,5
21400753,3,0,4,0,1,1,721,1610612749,1610612745,0,1,0,0,1,0,1
21400771,5,2,6,2,0,0,1219,1610612757,1610612745,0,2,1,1,0,2,6
21400784,4,2,4,2,0,0,1111,1610612756,1610612745,1,1,1,0,0,1,6
21400799,1,1,1,1,0,0,864,1610612746,1610612745,0,2,0,1,0,2,3
21400819,1,0,1,0,4,3,1128,1610612761,1610612745,0,2,0,1,0,3,3
21400832,8,3,8,3,0,0,1688,1610612750,1610612745,0,2,1,0,2,4,9
21400846,7,2,10,3,0,0,1899,1610612746,1610612745,1,2,4,0,0,2,8
21400863,1,1,1,1,2,2,662,1610612751,1610612745,0,1,0,0,1,2,5
