@relation Jeff_Ayres
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300013,0,0,1,1,0,0,681,1610612763,1610612759,0,2,0,1,2,4,2
21300032,0,0,3,0,0,0,789,1610612747,1610612759,1,1,0,0,3,3,0
21300039,0,0,2,2,1,0,508,1610612757,1610612759,2,0,0,0,0,2,4
21300057,0,0,0,0,2,1,347,1610612743,1610612759,0,0,1,0,0,0,1
21300068,0,0,0,0,0,0,161,1610612756,1610612759,0,1,0,0,2,1,0
21300082,0,0,1,0,2,2,389,1610612744,1610612759,0,2,0,0,2,1,2
21300094,0,0,3,0,0,0,815,1610612752,1610612759,2,1,1,1,0,2,0
21300100,0,0,9,3,0,0,1460,1610612755,1610612759,2,2,0,0,0,4,6
21300117,0,0,3,3,0,0,960,1610612764,1610612759,0,1,0,1,0,1,6
21300133,0,0,0,0,2,2,465,1610612762,1610612759,0,0,0,0,0,2,2
21300170,0,0,1,0,0,0,486,1610612738,1610612759,0,0,0,0,0,1,0
21300181,0,0,4,3,0,0,953,1610612763,1610612759,0,0,0,0,1,3,6
21300194,0,0,6,3,0,0,1689,1610612739,1610612759,1,2,3,0,4,3,6
21300208,0,0,2,1,2,0,831,1610612740,1610612759,0,1,0,0,1,2,2
21300224,0,0,0,0,0,0,703,1610612760,1610612759,2,1,0,0,1,2,0
21300229,0,0,5,2,0,0,652,1610612753,1610612759,1,0,0,0,0,0,4
21300258,0,0,0,0,2,1,434,1610612737,1610612759,0,0,0,1,0,1,1
21300275,0,0,4,3,2,1,1219,1610612750,1610612759,3,0,1,1,0,2,7
21300296,0,0,2,0,0,0,558,1610612754,1610612759,1,0,0,0,2,3,0
21300312,0,0,2,2,0,0,550,1610612761,1610612759,0,0,0,0,1,3,4
21300321,0,0,0,0,0,0,1512,1610612749,1610612759,3,1,0,0,0,1,0
21300338,0,0,3,1,0,0,1224,1610612750,1610612759,2,0,0,2,0,4,2
21300349,0,0,4,0,0,0,714,1610612762,1610612759,3,1,0,0,1,2,0
21300363,0,0,2,1,0,0,550,1610612746,1610612759,0,0,1,0,1,1,2
21300378,0,0,2,2,0,0,704,1610612756,1610612759,0,0,1,0,1,1,4
21300382,0,0,2,2,0,0,649,1610612744,1610612759,2,0,0,0,1,1,4
21300414,0,0,2,1,2,2,581,1610612761,1610612759,2,4,1,1,0,0,4
21300421,0,0,1,0,2,2,452,1610612745,1610612759,1,0,0,0,0,1,2
21300425,0,0,3,1,2,2,484,1610612742,1610612759,0,0,0,0,0,3,4
21300465,0,0,3,1,2,2,1283,1610612751,1610612759,3,2,0,1,0,2,4
21300477,0,0,2,1,0,0,585,1610612752,1610612759,1,0,0,0,0,2,2
21300494,0,0,5,3,0,0,904,1610612746,1610612759,2,3,0,0,2,3,6
21300514,0,0,1,1,0,0,1343,1610612763,1610612759,2,1,0,1,1,3,2
21300520,0,0,2,2,0,0,677,1610612742,1610612759,3,0,0,0,0,3,4
21300554,0,0,7,4,0,0,1170,1610612750,1610612759,2,2,0,1,2,4,8
21300559,0,0,1,1,2,1,991,1610612740,1610612759,1,0,0,1,0,2,3
21300573,0,0,6,5,0,0,1718,1610612762,1610612759,1,2,0,0,2,4,10
21300589,0,0,2,1,0,0,942,1610612757,1610612759,1,0,0,0,1,1,2
21300604,0,0,6,5,3,3,883,1610612749,1610612759,2,0,0,0,1,2,13
21300630,0,0,3,1,2,1,1330,1610612760,1610612759,1,4,0,0,1,2,3
21300635,0,0,3,2,2,2,722,1610612737,1610612759,2,0,0,0,0,3,6
21300654,0,0,3,3,2,1,909,1610612748,1610612759,1,2,0,0,1,1,7
21300671,0,0,0,0,0,0,477,1610612745,1610612759,1,2,0,0,0,1,0
21300683,0,0,1,0,0,0,939,1610612741,1610612759,1,2,0,0,2,4,0
21300704,0,0,2,1,0,0,819,1610612758,1610612759,1,1,0,0,2,3,2
21300727,0,0,0,0,2,1,374,1610612764,1610612759,0,2,0,0,1,1,1
21300737,0,0,1,0,2,1,868,1610612751,1610612759,2,1,0,1,2,2,1
21300749,0,0,4,3,2,2,1337,1610612766,1610612759,1,4,1,2,0,1,8
21300766,0,0,4,4,0,0,1037,1610612765,1610612759,0,0,1,0,2,5,8
21300780,0,0,1,0,0,0,634,1610612738,1610612759,1,0,0,0,0,1,0
21300800,0,0,1,1,0,0,876,1610612746,1610612759,1,0,0,0,2,1,2
21300809,0,0,2,1,0,0,861,1610612757,1610612759,1,0,0,0,1,5,2
21300822,0,0,1,0,0,0,626,1610612756,1610612759,1,0,0,0,1,2,0
21300859,0,0,1,1,0,0,720,1610612765,1610612759,2,0,1,0,0,1,2
21300871,0,0,1,0,0,0,126,1610612766,1610612759,0,0,0,0,0,0,0
21300898,0,0,0,0,0,0,618,1610612739,1610612759,2,1,0,1,2,0,0
21300952,0,0,1,1,0,0,439,1610612741,1610612759,2,0,0,0,0,2,2
21300965,0,0,0,0,0,0,126,1610612757,1610612759,0,0,0,0,0,0,0
21300978,0,0,6,4,4,2,845,1610612747,1610612759,2,1,0,0,2,3,10
21300993,0,0,1,1,0,0,160,1610612762,1610612759,1,0,0,0,0,0,2
21301030,0,0,1,0,0,0,108,1610612758,1610612759,0,0,0,0,0,0,0
21301038,0,0,1,1,0,0,419,1610612744,1610612759,2,0,0,1,3,2,2
21301054,0,0,3,2,2,1,1181,1610612755,1610612759,3,0,0,0,2,4,5
21301084,0,0,0,0,0,0,1196,1610612743,1610612759,0,0,0,2,2,3,0
21301092,0,0,6,4,2,1,1025,1610612740,1610612759,2,2,0,1,1,3,9
21301102,0,0,2,2,3,2,217,1610612754,1610612759,2,0,1,0,0,1,6
21301123,0,0,5,4,1,1,821,1610612744,1610612759,1,2,0,0,1,2,9
21301127,0,0,2,1,0,0,809,1610612760,1610612759,2,2,0,0,0,2,2
21301154,0,0,2,1,2,2,806,1610612763,1610612759,1,0,0,2,1,4,4
21301174,0,0,0,0,0,0,32,1610612742,1610612759,0,0,0,0,0,0,0
21301186,0,0,3,2,0,0,1195,1610612756,1610612759,5,1,0,2,1,2,4
21301209,0,0,7,5,3,2,1165,1610612745,1610612759,0,1,0,0,0,2,12
21301221,0,0,4,1,0,0,1300,1610612747,1610612759,2,2,0,1,1,3,2
21400024,0,0,1,1,0,0,329,1610612756,1610612759,0,0,0,0,1,2,2
21400064,0,0,1,0,0,0,762,1610612737,1610612759,2,1,0,1,1,2,0
21400069,0,0,7,2,2,2,1357,1610612745,1610612759,2,0,0,0,1,3,6
21400089,0,0,0,0,0,0,61,1610612740,1610612759,1,0,0,0,0,0,0
21400108,0,0,0,0,0,0,53,1610612744,1610612759,0,0,0,0,0,0,0
21400131,0,0,1,1,0,0,411,1610612747,1610612759,0,1,0,0,1,3,2
21400139,0,0,1,0,0,0,195,1610612758,1610612759,2,0,0,0,1,2,0
21400152,0,0,4,1,2,2,1010,1610612755,1610612759,0,1,1,1,1,1,4
21400177,0,0,4,2,0,0,720,1610612750,1610612759,2,2,0,1,1,2,4
21400191,0,0,0,0,0,0,150,1610612751,1610612759,0,0,0,0,0,1,0
21400231,0,0,0,0,0,0,74,1610612758,1610612759,0,0,0,0,0,1,0
21400241,0,0,1,1,0,0,259,1610612738,1610612759,0,0,0,0,0,0,2
21400249,0,0,5,1,2,2,736,1610612755,1610612759,2,1,0,1,2,5,4
21400291,0,0,4,3,0,0,558,1610612750,1610612759,1,1,0,0,1,1,6
21400322,0,0,5,5,2,1,1153,1610612752,1610612759,3,0,1,0,1,2,11
21400361,0,0,2,2,0,0,944,1610612757,1610612759,0,1,1,0,1,0,4
21400397,0,0,3,1,1,1,1022,1610612742,1610612759,3,0,0,0,0,3,3
21400414,0,0,0,0,0,0,176,1610612746,1610612759,0,0,0,0,0,0,0
21400428,0,0,0,0,0,0,7,1610612760,1610612759,0,0,0,0,0,0,0
21400437,0,0,0,0,0,0,9,1610612740,1610612759,0,0,0,0,0,0,0
21400468,0,0,1,1,0,0,798,1610612763,1610612759,0,0,0,0,0,2,2
21400521,0,0,8,5,7,6,1015,1610612765,1610612759,2,0,0,1,0,3,16
21400545,0,0,3,1,4,3,853,1610612756,1610612759,1,1,2,0,0,1,5
21400569,0,0,5,4,1,1,1066,1610612764,1610612759,0,0,1,0,0,1,9
21400610,0,0,0,0,0,0,347,1610612762,1610612759,0,0,0,0,0,1,0
21400624,0,0,0,0,0,0,11,1610612743,1610612759,0,0,0,0,0,0,0
21400637,0,0,1,0,0,0,537,1610612741,1610612759,0,0,0,0,0,2,0
21400648,0,0,0,0,0,0,211,1610612747,1610612759,0,1,0,0,0,1,0
21400689,0,0,0,0,0,0,164,1610612766,1610612759,0,0,0,0,0,1,0
21400714,0,0,1,1,2,1,280,1610612746,1610612759,0,1,0,0,0,0,3
21400790,0,0,1,1,0,0,113,1610612765,1610612759,0,0,0,0,0,1,2
21400836,0,0,2,1,0,0,296,1610612762,1610612759,1,0,0,0,0,0,2
21400875,0,0,0,0,0,0,439,1610612756,1610612759,0,0,0,0,3,1,0
