@relation Jodie_Meeks
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
6,3,8,4,2,2,1535,1610612746,1610612747,0,2,1,0,2,2,13
3,1,8,4,6,5,1336,1610612744,1610612747,1,0,0,0,2,0,14
3,1,9,5,3,3,1655,1610612759,1610612747,0,0,1,0,1,0,14
2,1,5,2,0,0,1018,1610612737,1610612747,0,2,1,0,0,0,5
5,2,10,4,2,1,1318,1610612742,1610612747,0,0,1,0,1,0,11
7,5,9,6,1,1,1567,1610612745,1610612747,0,2,0,0,1,4,18
5,2,10,4,2,1,2495,1610612740,1610612747,1,0,1,0,0,3,11
6,2,10,6,2,2,1752,1610612750,1610612747,0,2,1,1,1,2,16
5,3,7,5,2,2,1552,1610612740,1610612747,0,0,1,0,1,3,15
3,1,5,1,2,0,1622,1610612743,1610612747,0,0,0,0,0,2,3
9,5,16,10,1,0,2276,1610612763,1610612747,0,0,1,0,2,2,25
7,4,11,6,3,3,1692,1610612765,1610612747,1,0,1,0,2,2,19
5,2,10,3,0,0,1674,1610612744,1610612747,0,0,1,0,1,1,8
4,1,10,6,1,1,1622,1610612758,1610612747,0,0,2,0,0,0,14
3,2,5,3,2,2,1682,1610612764,1610612747,1,1,0,0,2,0,10
4,1,10,3,4,4,1879,1610612751,1610612747,1,3,0,0,1,2,11
2,0,8,3,4,4,1599,1610612765,1610612747,1,0,3,0,0,1,10
8,3,14,6,6,5,2078,1610612757,1610612747,0,3,0,0,1,2,20
6,5,11,7,0,0,2007,1610612758,1610612747,2,1,0,0,0,1,19
5,2,12,6,0,0,2120,1610612761,1610612747,0,3,2,0,3,3,14
5,1,10,5,3,2,1960,1610612756,1610612747,1,1,1,0,0,0,13
7,2,16,3,2,1,2161,1610612760,1610612747,1,1,0,0,5,2,9
1,0,4,1,0,0,1376,1610612766,1610612747,1,0,1,0,0,1,2
3,0,8,1,0,0,1479,1610612737,1610612747,1,2,1,0,2,0,2
8,3,10,5,0,0,2025,1610612763,1610612747,0,0,2,0,1,1,13
5,1,10,6,4,4,2540,1610612750,1610612747,0,4,1,0,2,2,17
3,1,11,4,5,4,2006,1610612744,1610612747,1,4,3,0,4,0,13
5,2,15,6,7,4,2383,1610612756,1610612747,1,4,3,0,1,3,18
10,4,12,6,2,1,2253,1610612748,1610612747,1,3,2,0,3,3,17
9,3,15,4,2,2,2430,1610612762,1610612747,1,1,3,0,0,2,13
8,4,12,5,1,1,1975,1610612755,1610612747,1,2,1,0,1,3,15
4,0,9,2,0,0,2542,1610612749,1610612747,0,1,2,0,1,4,4
10,3,14,6,3,3,2046,1610612762,1610612747,1,6,1,0,2,3,18
3,0,15,8,7,7,1976,1610612743,1610612747,0,1,2,0,3,2,23
11,4,16,6,9,8,2479,1610612742,1610612747,1,6,4,0,2,2,24
5,2,13,5,10,9,2085,1610612745,1610612747,0,2,2,0,4,3,21
2,0,10,2,8,7,1933,1610612746,1610612747,0,0,1,0,5,4,11
10,6,14,9,4,2,2480,1610612739,1610612747,0,4,0,0,0,1,26
4,1,9,5,3,3,2588,1610612756,1610612747,0,3,1,0,3,2,14
4,2,13,6,5,3,2535,1610612738,1610612747,1,3,1,0,3,2,17
5,1,10,4,3,2,2438,1610612761,1610612747,0,3,4,0,2,2,11
4,2,10,4,6,6,2614,1610612741,1610612747,0,7,2,0,2,2,16
6,4,13,7,4,4,2139,1610612748,1610612747,0,1,2,0,1,1,22
5,3,12,7,1,0,2195,1610612753,1610612747,0,1,2,0,2,1,17
8,6,13,8,2,2,2600,1610612752,1610612747,0,1,2,0,2,2,24
8,2,16,7,5,5,1960,1610612754,1610612747,0,1,2,0,2,1,21
10,3,15,5,6,6,2230,1610612766,1610612747,0,1,2,0,0,4,19
2,0,2,0,0,0,86,1610612750,1610612747,0,0,0,0,0,0,0
