@relation Joey_Dorsey
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400034,0,0,1,0,0,0,219,1610612738,1610612745,0,0,0,0,0,1,0
21400043,0,0,0,0,0,0,86,1610612755,1610612745,0,0,0,0,1,0,0
21400050,0,0,1,1,0,0,479,1610612748,1610612745,0,0,1,1,1,3,2
21400069,0,0,1,0,0,0,189,1610612759,1610612745,0,0,0,0,1,1,0
21400117,0,0,1,0,2,0,180,1610612750,1610612745,1,0,0,0,0,1,0
21400151,0,0,1,1,0,0,600,1610612763,1610612745,1,1,0,0,1,1,2
21400169,0,0,3,0,2,1,541,1610612747,1610612745,2,1,0,1,0,3,1
21400188,0,0,1,1,0,0,353,1610612742,1610612745,1,0,0,0,0,1,2
21400202,0,0,2,0,4,1,778,1610612752,1610612745,2,0,1,0,0,3,1
21400217,0,0,1,0,4,0,922,1610612758,1610612745,0,0,1,1,0,4,0
21400228,0,0,4,2,0,0,948,1610612746,1610612745,3,0,0,1,2,3,4
21400240,0,0,2,2,0,0,751,1610612749,1610612745,2,0,0,3,1,3,4
21400268,0,0,3,3,2,1,1319,1610612763,1610612745,2,1,1,3,1,3,7
21400283,0,0,2,0,0,0,861,1610612750,1610612745,3,1,0,2,1,4,0
21400290,0,0,2,2,0,0,570,1610612756,1610612745,1,0,0,0,0,2,4
21400324,0,0,2,1,1,1,727,1610612744,1610612745,2,0,1,0,1,3,3
21400327,0,0,2,0,4,0,1978,1610612758,1610612745,2,2,5,1,3,5,0
21400346,0,0,0,0,0,0,917,1610612743,1610612745,3,0,0,1,1,2,0
