@relation Jordan_Adams
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,0,0,0,45,1610612740,1610612763,0,0,0,0,0,0,0
0,0,2,0,2,1,600,1610612745,1610612763,0,1,1,0,0,1,1
2,1,2,1,0,0,1034,1610612761,1610612763,0,2,2,0,1,3,3
0,0,2,0,2,2,751,1610612738,1610612763,0,2,0,1,1,0,2
1,0,3,2,0,0,320,1610612739,1610612763,0,0,0,0,0,1,4
1,1,2,2,0,0,618,1610612762,1610612763,0,0,0,1,0,2,5
0,0,0,0,0,0,17,1610612759,1610612763,0,0,0,0,0,0,0
1,1,6,5,2,1,383,1610612743,1610612763,0,0,0,0,1,0,12
2,0,5,0,4,1,592,1610612752,1610612763,1,1,1,0,0,1,1
0,0,0,0,0,0,145,1610612751,1610612763,0,0,0,0,0,1,0
1,0,1,0,0,0,112,1610612742,1610612763,0,0,0,0,0,0,0
1,1,3,2,0,0,623,1610612742,1610612763,0,0,1,0,1,2,5
1,0,3,0,0,0,720,1610612743,1610612763,1,1,1,2,2,1,0
0,0,0,0,0,0,67,1610612760,1610612763,0,0,0,0,0,0,0
0,0,0,0,0,0,322,1610612760,1610612763,0,0,1,0,1,1,0
0,0,1,0,0,0,101,1610612746,1610612763,0,0,0,0,0,0,0
2,0,5,1,2,2,1216,1610612764,1610612763,0,1,3,0,2,5,4
0,0,0,0,0,0,32,1610612758,1610612763,0,0,0,0,0,0,0
0,0,0,0,0,0,53,1610612742,1610612763,0,0,0,0,0,0,0
0,0,1,0,0,0,153,1610612752,1610612763,0,0,0,0,0,0,0
2,1,5,2,0,0,873,1610612739,1610612763,1,1,1,0,0,0,5
1,1,1,1,3,1,171,1610612744,1610612763,0,1,0,0,0,0,4
0,0,1,0,0,0,42,1610612759,1610612763,0,0,0,0,0,0,0
2,0,8,3,1,1,788,1610612764,1610612763,1,1,0,1,0,1,7
1,1,2,1,0,0,427,1610612740,1610612763,0,1,1,1,1,0,3
1,0,2,0,0,0,249,1610612762,1610612763,0,0,0,0,2,0,0
0,0,1,0,0,0,394,1610612746,1610612763,1,0,0,0,0,1,0
5,2,15,6,7,5,1273,1610612744,1610612763,2,2,2,0,1,2,19
0,0,7,3,0,0,1400,1610612754,1610612763,2,2,1,0,0,1,6
0,0,0,0,0,0,83,1610612757,1610612763,0,0,1,0,0,0,0
1,1,1,1,0,0,35,1610612744,1610612763,0,0,0,0,0,0,3
0,0,1,0,2,1,116,1610612744,1610612763,0,0,0,0,0,0,1
0,0,1,1,2,1,351,1610612744,1610612763,0,0,0,0,0,0,3
1,0,4,1,2,1,424,1610612739,1610612763,0,0,2,0,1,0,3
0,0,2,1,3,2,456,1610612744,1610612763,0,3,1,0,1,2,4
