@relation Jordan_Hill
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300003,0,0,8,6,0,0,1082,1610612746,1610612747,7,2,1,1,1,2,12
21300017,0,0,2,1,0,0,769,1610612744,1610612747,2,1,0,0,0,2,2
21300032,0,0,3,2,2,1,698,1610612759,1610612747,3,1,0,0,1,2,5
21300046,0,0,2,2,2,2,816,1610612737,1610612747,1,1,0,1,1,2,6
21300056,0,0,5,3,2,2,927,1610612742,1610612747,2,0,0,0,0,0,8
21300072,0,0,6,3,2,0,961,1610612745,1610612747,1,3,0,2,2,4,6
21300081,0,0,4,2,6,0,1337,1610612740,1610612747,2,1,1,1,0,0,4
21300097,0,0,5,3,3,1,1123,1610612750,1610612747,6,1,1,0,2,1,7
21300110,0,0,12,7,8,7,1578,1610612740,1610612747,2,2,2,1,2,4,21
21300118,0,0,11,6,6,6,1824,1610612743,1610612747,8,0,1,3,0,5,18
21300134,0,0,8,5,3,2,1812,1610612763,1610612747,1,2,0,3,1,6,12
21300149,0,0,16,11,2,2,2144,1610612765,1610612747,5,1,0,0,2,3,24
21300186,0,0,10,5,0,0,1977,1610612744,1610612747,3,3,0,1,3,5,10
21300201,0,0,12,5,0,0,1897,1610612758,1610612747,5,0,0,1,1,3,10
21300212,0,0,10,5,0,0,1807,1610612764,1610612747,5,0,0,2,3,1,10
21300218,0,0,9,1,0,0,1234,1610612751,1610612747,4,1,0,0,1,4,2
21300233,0,0,1,1,0,0,830,1610612765,1610612747,0,0,0,1,2,1,2
21300255,0,0,2,0,2,2,959,1610612757,1610612747,1,1,1,0,0,1,2
21300289,0,0,5,3,3,1,888,1610612758,1610612747,4,1,0,2,0,3,7
21300303,0,0,5,3,5,5,1200,1610612761,1610612747,3,1,0,1,1,2,11
21300317,0,0,6,5,4,3,1155,1610612756,1610612747,3,2,0,0,0,2,13
21300336,0,0,4,3,2,0,737,1610612760,1610612747,3,1,0,0,0,1,6
21300342,0,0,7,5,6,5,1859,1610612766,1610612747,4,1,0,0,1,0,15
21300357,0,0,8,8,6,5,1693,1610612737,1610612747,4,0,0,1,0,1,21
21300366,0,0,2,1,0,0,451,1610612763,1610612747,0,0,0,0,1,4,2
21300391,0,0,2,2,0,0,822,1610612750,1610612747,0,0,0,1,0,3,4
21300402,0,0,11,6,2,2,1200,1610612744,1610612747,5,0,0,0,2,3,14
21300416,0,0,7,3,2,1,846,1610612756,1610612747,3,0,0,0,1,2,7
21300420,0,0,6,2,9,5,1456,1610612748,1610612747,4,1,3,3,1,1,9
21300433,0,0,6,5,8,6,1379,1610612762,1610612747,3,2,0,0,2,2,16
21300452,1,0,14,6,9,6,1607,1610612755,1610612747,6,1,1,1,1,3,18
21300467,0,0,5,2,0,0,693,1610612749,1610612747,2,0,0,0,1,2,4
21300488,0,0,7,1,0,0,644,1610612762,1610612747,3,0,0,0,0,3,2
21300504,0,0,4,2,7,5,722,1610612743,1610612747,2,1,0,0,0,2,9
