@relation Jusuf_Nurkic
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400011,0,0,4,2,2,1,778,1610612765,1610612743,1,0,0,0,1,3,5
21400036,0,0,2,1,0,0,336,1610612760,1610612743,0,1,0,1,1,3,2
21400047,0,0,5,1,2,1,465,1610612758,1610612743,3,0,0,1,3,3,3
21400067,0,0,4,2,3,2,754,1610612758,1610612743,1,2,0,2,2,6,6
21400081,0,0,6,5,2,0,995,1610612739,1610612743,3,0,1,0,2,3,10
21400115,0,0,4,1,4,4,398,1610612757,1610612743,2,1,0,0,1,1,6
21400122,0,0,2,0,0,0,307,1610612754,1610612743,0,0,0,0,0,1,0
21400181,0,0,1,0,0,0,222,1610612740,1610612743,0,0,0,1,0,2,0
21400232,0,0,2,0,0,0,356,1610612756,1610612743,0,1,1,1,1,0,0
21400325,0,0,2,0,2,1,313,1610612748,1610612743,1,0,0,0,1,2,1
21400346,0,0,9,3,6,3,1103,1610612745,1610612743,2,1,2,3,0,6,9
21400354,0,0,7,3,5,4,1088,1610612759,1610612743,3,1,1,1,3,4,10
21400378,0,0,6,3,0,0,993,1610612745,1610612743,2,0,2,0,0,5,6
