@relation Kawhi_Leonard
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,2,9,5,2,2,1815,1610612763,1610612759,1,1,0,2,4,2,14
4,0,15,6,3,3,1894,1610612747,1610612759,2,0,1,0,0,3,15
0,0,9,4,1,1,1586,1610612757,1610612759,0,1,2,0,1,2,9
2,0,14,7,0,0,2031,1610612743,1610612759,0,2,2,0,2,3,14
2,0,9,4,0,0,1635,1610612756,1610612759,1,1,1,0,3,3,8
2,1,8,6,1,0,1852,1610612744,1610612759,2,2,4,0,0,1,13
3,1,10,7,4,3,1399,1610612752,1610612759,0,0,1,1,0,3,18
4,1,12,6,0,0,1454,1610612755,1610612759,1,3,2,0,2,1,13
4,2,7,5,2,1,1447,1610612764,1610612759,0,2,2,0,0,0,13
2,0,8,3,0,0,1764,1610612762,1610612759,1,1,2,0,2,5,6
5,1,14,7,2,1,1905,1610612738,1610612759,2,2,5,1,0,2,16
1,0,11,6,0,0,1977,1610612763,1610612759,5,3,3,0,2,2,12
1,1,4,3,2,2,781,1610612739,1610612759,0,0,0,1,0,1,9
