@relation Kevin_Seraphin
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,1,1,0,0,257,1610612765,1610612764,0,0,0,0,1,1,2
0,0,8,4,0,0,681,1610612755,1610612764,1,0,0,0,1,2,8
0,0,5,4,1,1,900,1610612748,1610612764,0,0,0,2,2,4,9
0,0,4,1,0,0,496,1610612755,1610612764,1,1,0,0,1,2,2
0,0,5,3,0,0,663,1610612751,1610612764,2,0,0,1,2,3,6
0,0,3,1,0,0,788,1610612760,1610612764,1,1,1,0,0,3,2
0,0,0,0,0,0,165,1610612742,1610612764,0,0,0,0,0,3,0
0,0,3,1,0,0,304,1610612759,1610612764,2,0,0,0,0,1,2
0,0,5,1,0,0,508,1610612739,1610612764,2,0,0,0,3,1,2
0,0,3,1,2,2,430,1610612761,1610612764,1,0,0,0,0,4,4
0,0,2,1,0,0,421,1610612749,1610612764,0,0,0,0,0,1,2
0,0,7,3,3,3,727,1610612754,1610612764,1,1,0,0,1,0,9
0,0,3,1,0,0,265,1610612737,1610612764,0,0,0,0,0,1,2
0,0,1,0,0,0,180,1610612753,1610612764,0,0,0,0,0,1,0
0,0,1,0,0,0,277,1610612743,1610612764,1,0,0,0,0,0,0
0,0,3,1,0,0,360,1610612737,1610612764,2,0,0,1,2,3,2
0,0,12,7,2,2,1205,1610612746,1610612764,1,1,0,0,0,3,16
0,0,2,1,0,0,335,1610612752,1610612764,0,0,0,1,1,3,2
0,0,6,3,5,4,1111,1610612751,1610612764,3,1,0,2,1,4,10
0,0,9,6,2,1,1470,1610612738,1610612764,3,1,0,1,3,3,13
0,0,4,3,0,0,656,1610612765,1610612764,1,1,0,0,2,3,6
0,0,5,1,0,0,876,1610612742,1610612764,1,0,0,1,2,2,2
0,0,6,2,0,0,777,1610612761,1610612764,4,0,0,0,2,0,4
0,0,3,1,0,0,208,1610612754,1610612764,0,0,0,1,0,1,2
0,0,13,8,3,2,1360,1610612745,1610612764,3,1,0,1,2,4,18
0,0,0,0,0,0,54,1610612748,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,28,1610612741,1610612764,0,0,0,1,0,0,0
0,0,10,6,4,4,1404,1610612755,1610612764,0,1,0,1,2,5,16
0,0,3,2,0,0,447,1610612738,1610612764,0,0,0,0,0,1,4
0,0,1,0,0,0,292,1610612756,1610612764,0,0,0,1,2,2,0
0,0,5,3,0,0,778,1610612762,1610612764,2,1,0,0,1,3,6
0,0,8,5,0,0,1726,1610612746,1610612764,1,1,0,1,2,4,10
0,0,2,2,0,0,568,1610612760,1610612764,1,0,0,0,0,1,4
