@relation Khris_Middleton
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300008,1,0,4,1,0,0,1155,1610612752,1610612749,0,1,0,0,3,3,2
21300024,1,0,8,5,3,3,1619,1610612738,1610612749,0,2,2,0,0,4,13
21300037,1,0,9,4,2,0,1138,1610612761,1610612749,0,0,2,1,0,4,8
21300066,3,1,5,2,2,2,1221,1610612739,1610612749,0,1,0,0,2,2,7
21300092,2,2,6,2,0,0,1052,1610612742,1610612749,1,0,0,0,0,3,6
21300107,3,1,9,3,0,0,1384,1610612748,1610612749,2,1,1,1,2,3,7
21300111,3,1,11,6,6,6,2584,1610612753,1610612749,0,4,3,0,3,4,19
21300125,3,1,13,5,0,0,1851,1610612754,1610612749,2,1,1,1,3,2,11
21300144,4,2,14,5,2,2,1898,1610612760,1610612749,0,1,1,0,0,3,14
21300167,0,0,4,4,0,0,1193,1610612757,1610612749,0,0,0,0,2,3,8
21300177,2,0,3,1,0,0,1010,1610612755,1610612749,0,1,1,0,1,2,2
21300193,2,2,13,8,3,2,1696,1610612766,1610612749,1,2,1,0,0,3,20
21300204,4,2,9,5,2,2,1239,1610612765,1610612749,0,2,0,0,1,1,14
21300222,2,1,11,6,0,0,1979,1610612764,1610612749,0,2,1,0,3,3,13
21300228,3,1,9,3,2,2,1827,1610612766,1610612749,0,3,3,2,1,1,9
21300247,1,0,6,2,2,2,1052,1610612738,1610612749,0,2,0,0,1,1,6
21300262,3,3,10,5,2,1,1954,1610612738,1610612749,1,3,1,0,1,3,14
21300272,5,4,6,5,0,0,1221,1610612765,1610612749,0,2,0,0,2,4,14
21300281,7,4,22,11,3,3,2834,1610612764,1610612749,2,2,2,1,1,4,29
21300295,4,1,9,3,2,2,2249,1610612751,1610612749,0,2,0,0,1,1,9
21300316,2,1,6,2,3,3,1968,1610612741,1610612749,0,0,1,1,0,2,8
21300321,1,0,7,1,0,0,888,1610612759,1610612749,1,1,0,0,2,2,2
21300337,0,0,9,5,0,0,1422,1610612741,1610612749,1,2,0,1,0,2,10
21300348,4,2,7,3,2,2,1787,1610612742,1610612749,0,2,0,0,1,3,10
21300375,4,2,22,8,4,2,3098,1610612752,1610612749,3,2,1,0,2,6,20
21300385,7,4,15,5,0,0,2978,1610612739,1610612749,0,1,0,0,1,4,14
21300398,5,1,15,11,4,4,2165,1610612755,1610612749,1,4,2,1,0,4,27
21300407,8,3,14,7,2,2,2431,1610612766,1610612749,2,3,3,0,1,4,19
21300429,6,2,11,3,7,7,1995,1610612751,1610612749,3,3,1,1,3,6,15
21300444,7,3,20,10,0,0,2455,1610612750,1610612749,1,4,1,2,3,3,23
21300467,2,1,7,2,0,0,1046,1610612747,1610612749,0,1,1,0,0,0,5
21300479,2,0,5,1,0,0,1187,1610612762,1610612749,1,1,1,0,1,2,2
21300495,1,0,6,3,2,1,1345,1610612756,1610612749,0,0,0,0,2,2,7
21300515,1,0,7,4,2,2,1840,1610612744,1610612749,1,1,1,0,0,2,10
21300538,1,1,7,1,0,0,1760,1610612741,1610612749,1,2,0,0,1,3,3
21300548,3,1,14,3,3,1,2151,1610612760,1610612749,4,3,1,0,1,3,8
21300555,2,0,8,1,0,0,2096,1610612761,1610612749,0,5,2,0,2,3,2
21300570,1,0,6,1,0,0,727,1610612763,1610612749,1,0,0,0,0,1,2
21300597,4,0,9,3,0,0,1688,1610612745,1610612749,0,3,2,2,0,2,6
21300604,2,0,7,4,2,0,1587,1610612759,1610612749,0,2,4,0,0,1,8
21300628,3,2,6,3,2,2,1801,1610612765,1610612749,0,4,4,2,2,3,10
21300638,5,3,7,5,1,0,1698,1610612739,1610612749,0,0,2,0,3,3,13
21300650,3,0,9,5,2,1,1885,1610612737,1610612749,1,1,1,0,2,4,11
21300665,3,0,15,7,0,0,2259,1610612746,1610612749,0,3,2,0,2,1,14
21300679,5,2,13,6,4,3,2031,1610612756,1610612749,2,2,0,0,3,2,17
21300689,1,0,11,5,0,0,1522,1610612753,1610612749,1,2,1,0,3,1,10
21300702,4,2,8,3,4,4,1912,1610612763,1610612749,1,1,2,0,3,2,12
21300714,6,5,9,6,2,2,1488,1610612752,1610612749,0,3,0,0,1,3,19
21300734,8,5,21,10,0,0,2622,1610612743,1610612749,2,3,2,0,4,5,25
21300753,5,3,13,7,3,3,2102,1610612745,1610612749,0,8,1,0,2,5,20
21300767,3,1,6,2,4,3,1599,1610612738,1610612749,0,1,1,0,2,4,8
21300785,2,1,9,5,0,0,1792,1610612740,1610612749,2,4,0,0,3,3,11
21300797,3,2,10,5,0,0,1339,1610612753,1610612749,0,2,0,0,0,1,12
21300812,5,0,9,2,2,2,1664,1610612743,1610612749,0,1,0,0,0,3,6
21300829,7,3,11,5,0,0,1450,1610612754,1610612749,0,2,0,0,2,2,13
21300841,3,2,6,4,6,5,940,1610612755,1610612749,0,2,1,0,2,3,15
21300863,4,3,15,9,1,1,1571,1610612754,1610612749,1,1,3,0,1,5,22
21300878,1,0,12,8,0,0,2169,1610612751,1610612749,0,3,2,0,1,3,16
21300894,1,1,6,4,0,0,1281,1610612762,1610612749,0,2,1,0,3,2,9
21300910,4,2,14,4,2,1,1765,1610612758,1610612749,0,1,2,1,0,3,11
21300923,8,3,17,10,2,2,2272,1610612740,1610612749,2,4,0,1,2,4,25
21300931,2,1,12,7,0,0,1973,1610612764,1610612749,3,2,1,0,2,5,15
21300947,8,5,13,5,6,6,2054,1610612753,1610612749,2,7,2,1,1,2,21
21300954,4,1,9,4,2,2,1750,1610612750,1610612749,2,2,1,0,3,4,11
21300969,4,0,15,4,0,0,2061,1610612737,1610612749,0,4,3,0,1,1,8
21300981,3,0,10,3,0,0,1608,1610612752,1610612749,0,2,0,0,1,3,6
21300987,7,2,12,3,0,0,1911,1610612766,1610612749,1,0,0,0,1,1,8
21301005,7,4,17,7,0,0,2374,1610612757,1610612749,0,5,0,0,0,6,18
