@relation Kostas_Papanikolaou
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,0,6,2,0,0,1192,1610612747,1610612745,1,4,2,0,2,5,4
6,4,7,4,0,0,1334,1610612762,1610612745,0,4,1,1,0,0,12
3,1,4,1,0,0,1391,1610612738,1610612745,1,4,2,0,6,1,3
4,1,4,1,0,0,1174,1610612755,1610612745,1,1,1,0,1,1,3
8,2,10,3,0,0,2206,1610612748,1610612745,1,5,0,2,0,2,8
1,0,2,0,0,0,1578,1610612759,1610612745,2,3,0,0,2,2,0
5,0,9,1,0,0,1768,1610612744,1610612745,7,1,3,0,5,4,2
4,4,8,4,3,2,1441,1610612750,1610612745,0,4,0,0,1,5,14
4,0,4,0,0,0,1013,1610612755,1610612745,2,2,2,0,2,2,0
3,0,6,0,0,0,901,1610612760,1610612745,2,0,0,2,1,0,0
2,0,7,4,0,0,1419,1610612763,1610612745,1,5,0,2,4,0,8
7,4,10,6,3,3,2020,1610612747,1610612745,0,2,1,0,2,3,19
6,2,11,2,2,2,2275,1610612742,1610612745,2,2,2,0,0,4,8
