@relation Kyrie_Irving
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,0,16,4,9,7,1855,1610612751,1610612739,0,9,2,0,2,4,15
3,0,17,7,5,2,1853,1610612766,1610612739,2,7,0,0,3,3,16
3,1,17,6,4,2,2030,1610612754,1610612739,0,5,0,0,1,3,15
3,1,15,7,0,0,1968,1610612750,1610612739,0,6,1,2,9,4,15
6,4,20,10,5,5,2125,1610612749,1610612739,1,8,0,0,2,2,29
6,1,17,4,2,1,2018,1610612755,1610612739,3,9,1,0,1,1,10
12,5,33,15,5,4,2895,1610612755,1610612739,1,12,0,0,3,1,39
5,2,19,5,5,4,2465,1610612741,1610612739,0,4,0,0,3,3,16
5,1,17,8,3,3,1643,1610612750,1610612739,0,2,1,1,3,2,20
5,1,16,5,7,7,2289,1610612766,1610612739,0,10,2,0,6,4,18
7,4,28,14,9,9,2503,1610612764,1610612739,0,5,2,0,6,2,41
4,3,14,9,7,7,1778,1610612764,1610612739,0,6,1,0,3,3,28
6,1,22,9,5,3,1969,1610612740,1610612739,2,2,3,1,4,1,22
1,0,17,7,2,1,1594,1610612759,1610612739,0,4,1,0,1,1,15
5,0,19,6,4,4,2050,1610612748,1610612739,2,3,1,0,4,3,16
4,0,16,7,6,3,2173,1610612738,1610612739,0,3,0,0,4,2,17
5,1,21,7,5,4,2318,1610612741,1610612739,2,6,2,0,0,3,19
5,2,20,9,3,3,2229,1610612743,1610612739,1,4,1,0,3,2,23
3,0,9,0,3,0,1228,1610612737,1610612739,0,4,0,0,0,1,0
2,1,15,6,8,7,2409,1610612746,1610612739,0,6,0,1,7,4,20
7,4,23,14,6,5,2170,1610612752,1610612739,0,11,1,0,1,0,37
6,2,24,12,5,5,2146,1610612753,1610612739,1,5,2,0,2,1,31
9,3,16,6,4,4,1850,1610612748,1610612739,0,3,4,0,3,4,19
7,3,22,9,4,4,2022,1610612757,1610612739,0,10,1,0,0,3,25
7,2,25,13,12,11,2533,1610612749,1610612739,0,6,0,4,4,2,39
5,1,16,5,3,3,2110,1610612741,1610612739,0,5,0,0,2,2,14
6,3,14,7,4,4,1765,1610612765,1610612739,2,7,1,0,4,1,21
8,3,33,17,4,3,2705,1610612737,1610612739,0,9,4,1,6,3,40
6,4,22,13,2,2,2474,1610612738,1610612739,0,3,1,0,2,1,32
3,3,19,9,6,6,2429,1610612744,1610612739,0,9,1,0,1,2,27
2,0,9,3,4,4,2109,1610612754,1610612739,1,5,2,1,2,0,10
4,2,9,6,2,2,1801,1610612755,1610612739,0,8,0,3,1,3,16
