@relation Lance_Stephenson
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,2,12,8,2,1,2138,1610612753,1610612754,2,5,0,1,1,2,19
4,2,12,7,0,0,2480,1610612740,1610612754,2,4,0,0,2,1,16
7,5,13,7,5,3,1907,1610612739,1610612754,0,3,0,0,2,3,22
6,2,12,4,2,0,2320,1610612765,1610612754,1,7,1,0,5,3,10
6,3,17,5,4,2,1909,1610612741,1610612754,2,4,0,0,3,4,15
2,0,5,2,0,0,1752,1610612761,1610612754,0,4,1,0,2,3,4
2,1,12,7,1,0,2366,1610612751,1610612754,2,7,0,0,2,2,15
5,3,11,5,0,0,2049,1610612763,1610612754,0,12,0,0,1,3,13
1,0,10,4,4,3,1457,1610612749,1610612754,1,1,1,0,2,1,11
4,0,14,5,2,2,1924,1610612741,1610612754,0,3,2,0,0,4,12
3,0,10,3,3,3,2537,1610612752,1610612754,2,5,0,1,4,4,9
0,0,10,5,0,0,2485,1610612738,1610612754,3,10,4,0,1,0,10
1,0,11,8,3,2,2232,1610612755,1610612754,2,3,0,1,6,2,18
2,1,12,5,0,0,1776,1610612750,1610612754,3,2,1,0,3,3,11
3,0,10,5,7,5,2196,1610612766,1610612754,1,3,2,0,3,2,15
3,1,7,3,0,0,2197,1610612764,1610612754,3,10,0,0,8,3,7
2,0,6,3,3,1,2365,1610612746,1610612754,3,6,1,0,3,3,7
0,0,3,1,0,0,1745,1610612757,1610612754,0,2,0,0,3,6,2
1,0,11,6,5,3,2003,1610612762,1610612754,0,4,2,0,2,2,15
4,2,11,5,3,3,2168,1610612759,1610612754,0,4,0,0,3,2,15
3,0,11,4,0,0,1585,1610612760,1610612754,1,3,0,0,0,3,8
3,1,10,5,1,1,2035,1610612748,1610612754,0,5,1,0,2,4,12
3,1,14,9,2,1,2125,1610612766,1610612754,0,7,2,0,3,2,20
2,1,14,9,5,4,2372,1610612765,1610612754,1,6,0,0,0,1,23
3,1,9,5,2,2,2465,1610612748,1610612754,0,2,1,0,2,4,13
5,2,16,7,0,0,2128,1610612745,1610612754,3,6,0,0,4,3,16
3,1,15,5,2,1,2088,1610612738,1610612754,0,10,1,0,3,0,12
7,4,16,10,2,2,2352,1610612751,1610612754,2,5,2,0,3,1,26
3,1,11,7,8,8,2255,1610612751,1610612754,0,7,0,0,3,0,23
3,0,7,3,0,0,1936,1610612739,1610612754,0,8,0,0,0,2,6
1,0,9,4,1,0,2060,1610612761,1610612754,1,4,0,0,3,3,8
1,0,12,8,4,3,2174,1610612740,1610612754,2,4,1,0,4,2,19
4,2,8,4,0,0,2043,1610612739,1610612754,0,2,1,0,2,2,10
3,0,12,6,2,1,2159,1610612761,1610612754,2,8,1,0,3,3,13
1,1,9,5,2,0,2037,1610612764,1610612754,1,5,0,0,5,3,11
1,0,7,5,4,3,1794,1610612758,1610612754,1,5,1,0,2,0,13
7,3,17,10,5,5,2114,1610612752,1610612754,1,4,1,0,0,4,28
3,0,17,8,7,6,2466,1610612746,1610612754,5,7,1,0,4,4,22
4,1,17,6,2,1,2578,1610612744,1610612754,4,7,0,0,1,1,14
0,0,9,3,1,0,1732,1610612756,1610612754,1,4,1,0,2,2,6
4,1,19,9,8,5,2734,1610612758,1610612754,5,6,0,0,2,3,24
2,1,16,10,2,2,2418,1610612743,1610612754,2,7,1,0,6,4,23
0,0,9,6,9,3,2250,1610612747,1610612754,0,6,2,0,0,3,15
3,1,12,6,1,1,2213,1610612756,1610612754,2,10,0,0,5,5,14
0,0,8,5,4,4,2080,1610612751,1610612754,1,4,1,0,4,4,14
3,1,11,5,5,4,2241,1610612753,1610612754,4,5,1,1,3,1,15
2,1,5,4,1,1,1382,1610612737,1610612754,0,2,1,0,6,2,10
4,2,11,6,3,2,2367,1610612753,1610612754,1,3,2,0,5,1,16
2,0,8,5,2,2,1697,1610612743,1610612754,0,3,0,0,3,2,12
3,0,16,6,1,1,2279,1610612742,1610612754,1,2,1,0,3,2,13
7,2,11,5,2,1,2143,1610612737,1610612754,0,7,0,0,3,1,13
4,0,15,5,2,0,2235,1610612750,1610612754,2,4,0,0,2,3,10
4,3,13,7,10,7,2237,1610612749,1610612754,2,8,0,0,0,3,24
2,0,12,6,2,1,1953,1610612747,1610612754,2,3,0,0,3,3,13
3,2,11,7,2,2,2484,1610612749,1610612754,1,3,2,0,4,2,18
2,1,8,5,6,5,2579,1610612738,1610612754,1,6,0,0,2,2,16
3,1,12,4,2,2,2500,1610612762,1610612754,2,5,1,0,1,2,11
4,0,14,6,0,0,2309,1610612744,1610612754,2,3,2,1,2,2,12
5,2,9,4,2,2,2074,1610612766,1610612754,0,3,0,0,2,2,12
0,0,8,2,0,0,1759,1610612745,1610612754,0,6,1,0,1,2,4
3,3,10,8,2,2,2181,1610612742,1610612754,1,3,2,0,6,4,21
5,1,12,4,0,0,2163,1610612738,1610612754,0,1,0,0,2,5,9
3,1,8,6,0,0,2414,1610612755,1610612754,0,4,1,0,4,3,13
8,3,15,5,0,0,2135,1610612765,1610612754,2,6,0,1,1,3,13
6,1,16,8,9,8,2276,1610612755,1610612754,2,1,1,0,5,2,25
7,2,16,8,6,3,2226,1610612752,1610612754,2,2,2,0,3,2,21
0,0,11,7,1,1,1706,1610612741,1610612754,0,0,1,0,4,2,15
4,2,11,6,2,1,1878,1610612763,1610612754,0,4,0,0,0,1,15
1,1,9,3,1,1,1811,1610612741,1610612754,1,0,0,0,4,2,8
4,3,12,6,0,0,2008,1610612748,1610612754,0,2,1,0,2,4,15
5,0,13,3,8,7,2129,1610612764,1610612754,4,4,0,0,2,2,13
5,2,9,4,2,1,2007,1610612739,1610612754,2,3,0,0,1,2,11
5,3,13,6,0,0,1650,1610612759,1610612754,0,3,0,0,2,1,15
3,1,10,5,0,0,2040,1610612765,1610612754,0,4,0,0,3,2,11
1,1,5,2,2,1,1693,1610612761,1610612754,0,1,1,0,2,4,6
2,0,6,1,2,1,1796,1610612737,1610612754,0,3,0,0,2,4,3
1,1,7,4,2,2,2095,1610612748,1610612754,0,3,1,0,4,3,11
5,2,10,7,2,1,2480,1610612760,1610612754,1,11,0,1,4,3,17
2,0,12,3,2,1,2395,1610612749,1610612766,3,8,0,0,2,4,7
1,0,6,1,0,0,1596,1610612763,1610612766,1,4,1,0,3,1,2
1,0,9,4,7,6,2260,1610612752,1610612766,2,8,3,0,4,3,14
0,0,6,1,0,0,1387,1610612740,1610612766,2,4,0,0,5,0,2
1,0,12,3,4,2,2164,1610612748,1610612766,3,4,0,1,3,4,8
3,1,15,7,2,2,2831,1610612737,1610612766,2,4,0,0,4,3,17
4,0,12,3,0,0,2095,1610612747,1610612766,1,5,0,0,2,1,6
4,2,10,5,4,2,2266,1610612757,1610612766,0,3,1,0,2,2,14
2,0,12,5,3,3,2297,1610612756,1610612766,1,7,2,0,0,0,13
2,2,10,7,0,0,1504,1610612744,1610612766,0,4,1,0,4,3,16
0,0,7,3,2,0,1801,1610612742,1610612766,1,7,0,0,1,2,6
2,0,12,4,4,2,2360,1610612754,1610612766,1,7,0,2,2,2,10
4,1,15,5,2,1,2271,1610612753,1610612766,1,6,2,0,1,3,12
6,1,14,7,4,2,2003,1610612748,1610612766,0,5,1,0,3,5,17
1,0,8,1,2,1,1660,1610612746,1610612766,0,6,0,0,1,2,3
1,0,11,4,1,0,1355,1610612757,1610612766,1,5,2,0,0,2,8
1,0,8,3,5,5,2229,1610612744,1610612766,0,8,2,0,6,1,11
3,0,9,3,0,0,1402,1610612737,1610612766,2,3,0,0,2,4,6
2,0,18,9,2,2,2427,1610612741,1610612766,1,4,1,0,4,3,20
2,0,15,7,2,2,2283,1610612752,1610612766,1,6,0,0,2,4,16
2,0,14,6,2,1,2226,1610612738,1610612766,1,4,0,0,2,3,13
2,0,9,4,0,0,1691,1610612763,1610612766,1,1,1,0,1,2,8
2,1,13,5,1,0,1648,1610612751,1610612766,1,1,0,0,2,1,11
3,0,12,4,2,0,1477,1610612739,1610612766,0,4,2,0,0,2,8
2,0,8,3,1,1,1500,1610612756,1610612766,0,2,0,0,1,0,7
0,0,8,3,6,2,1103,1610612759,1610612766,0,2,0,0,1,3,8
2,1,12,5,3,2,1186,1610612754,1610612766,2,2,0,0,3,2,13
2,0,9,2,4,4,1606,1610612750,1610612766,0,9,0,1,3,3,8
0,0,4,2,0,0,1304,1610612748,1610612766,0,4,0,0,4,2,4
2,0,10,5,2,0,1588,1610612739,1610612766,0,9,0,0,1,4,10
0,0,10,3,1,0,1720,1610612752,1610612766,0,4,2,0,2,4,6
2,0,5,0,0,0,1214,1610612759,1610612766,0,4,1,1,4,3,0
2,0,10,2,2,0,1794,1610612743,1610612766,1,13,2,0,3,5,4
3,0,8,4,0,0,1394,1610612764,1610612766,0,2,1,0,3,2,8
8,3,11,4,0,0,1694,1610612764,1610612766,0,4,0,0,3,3,11
5,0,11,3,0,0,2008,1610612755,1610612766,0,7,1,1,2,2,6
0,0,7,2,6,4,1196,1610612754,1610612766,0,4,1,0,0,2,8
0,0,1,0,0,0,1180,1610612765,1610612766,0,4,0,0,5,4,0
3,0,9,2,2,1,1618,1610612760,1610612766,1,4,1,0,0,0,5
2,1,15,5,0,0,1781,1610612742,1610612766,0,5,1,1,0,3,11
2,0,11,4,0,0,1305,1610612741,1610612766,0,2,0,0,2,3,8
0,0,5,2,0,0,1370,1610612738,1610612766,2,7,1,0,4,1,4
2,0,7,2,2,2,1200,1610612753,1610612766,1,0,1,0,3,2,6
0,0,5,2,2,2,1244,1610612751,1610612766,0,1,0,0,1,2,6
