@relation Langston_Galloway
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400525,2,1,8,2,2,2,1045,1610612764,1610612752,0,3,1,0,0,1,7
21400536,4,3,10,6,6,4,1831,1610612745,1610612752,1,3,1,0,2,4,19
21400549,2,0,9,3,2,2,1220,1610612766,1610612752,0,2,2,0,0,4,8
21400585,7,1,9,2,0,0,1699,1610612749,1610612752,0,4,1,0,4,3,5
21400618,6,3,14,8,2,2,1844,1610612740,1610612752,2,3,0,0,2,3,21
21400627,2,1,11,5,1,0,2042,1610612755,1610612752,2,4,2,1,0,4,11
21400645,6,2,10,5,4,3,1847,1610612753,1610612752,3,3,1,0,0,0,15
21400652,2,1,13,5,0,0,1927,1610612766,1610612752,1,2,1,0,2,3,11
21400688,7,3,15,7,2,1,2206,1610612760,1610612752,0,4,3,0,1,2,18
21400694,3,0,10,2,0,0,2094,1610612754,1610612752,0,2,0,0,0,4,4
21400717,4,2,11,4,3,3,1782,1610612747,1610612752,0,2,0,1,1,3,13
21400728,5,0,8,2,0,0,1772,1610612738,1610612752,3,5,0,1,1,3,4
21400746,7,1,11,4,1,0,2161,1610612751,1610612752,3,4,1,0,0,3,9
21400760,7,3,19,5,3,2,2135,1610612744,1610612752,1,3,2,0,1,3,15
21400777,3,1,11,4,1,1,1479,1610612748,1610612752,2,1,0,1,0,3,10
21400788,0,0,6,1,6,6,1412,1610612753,1610612752,0,3,0,0,0,5,8
21400821,3,1,14,5,2,2,2292,1610612739,1610612752,2,5,1,0,1,3,13
21400844,5,1,13,6,2,1,2354,1610612738,1610612752,1,0,1,1,2,1,14
21400860,3,1,9,3,5,5,2057,1610612765,1610612752,1,5,2,1,2,6,12
21400872,3,2,5,2,0,0,1572,1610612761,1610612752,3,1,2,0,1,2,6
21400669,2,0,8,2,2,2,1382,1610612758,1610612752,1,1,1,0,0,3,6
21400896,3,1,12,5,0,0,1878,1610612754,1610612752,0,0,0,0,1,0,11
21400926,1,1,2,1,4,2,1567,1610612754,1610612752,1,4,1,0,1,4,5
21400943,0,0,9,7,1,0,1866,1610612743,1610612752,0,4,0,1,2,4,14
21400950,2,0,10,2,0,0,1726,1610612762,1610612752,0,4,0,0,3,4,4
21400966,3,2,7,5,0,0,1534,1610612747,1610612752,1,4,2,1,3,2,12
21400981,4,2,7,4,0,0,1714,1610612744,1610612752,0,2,2,0,0,1,10
21400988,3,1,7,2,2,2,1580,1610612756,1610612752,0,4,0,0,2,5,7
21401001,5,2,18,10,0,0,2856,1610612759,1610612752,0,4,1,0,2,2,22
21401016,8,3,20,9,0,0,2459,1610612750,1610612752,1,3,2,0,1,3,21
21401021,1,0,8,1,0,0,1999,1610612755,1610612752,0,3,1,0,4,1,2
21401041,6,1,14,4,0,0,2303,1610612761,1610612752,0,7,2,0,1,2,9
21401050,5,2,16,7,4,3,2579,1610612763,1610612752,1,5,1,0,1,2,19
21401061,3,0,13,5,1,1,2411,1610612746,1610612752,0,3,0,0,3,1,11
21401079,6,2,11,3,4,4,1918,1610612738,1610612752,0,6,3,0,1,5,12
21401088,4,1,14,5,2,1,2164,1610612741,1610612752,1,2,0,0,0,3,12
21401116,6,2,12,5,1,1,1894,1610612751,1610612752,1,4,3,0,1,2,13
21401128,6,2,15,5,0,0,2497,1610612764,1610612752,2,3,2,1,2,2,12
21401151,3,0,12,4,0,0,1683,1610612755,1610612752,0,1,0,1,2,4,8
21401165,2,1,14,6,6,6,2046,1610612754,1610612752,1,3,1,0,1,4,19
21401180,6,2,16,8,2,2,2094,1610612749,1610612752,0,4,2,0,2,5,20
21401187,4,1,16,4,0,0,2451,1610612753,1610612752,1,3,1,0,0,0,9
21401205,6,6,12,10,0,0,1945,1610612737,1610612752,0,6,1,0,3,3,26
21401226,1,0,8,2,3,3,1936,1610612765,1610612752,0,7,2,1,2,4,7
21500012,5,4,10,5,2,2,1488,1610612749,1610612752,2,3,0,0,0,4,16
21500019,4,2,4,2,2,2,1518,1610612737,1610612752,0,3,1,0,0,2,8
21500034,3,2,8,4,5,4,1657,1610612764,1610612752,1,4,1,1,1,3,14
21500048,0,0,5,2,4,2,1735,1610612759,1610612752,1,1,1,0,1,0,6
21500063,5,3,9,4,2,1,1712,1610612739,1610612752,2,0,2,0,1,1,12
21500079,5,2,9,3,7,5,1912,1610612749,1610612752,1,2,1,0,0,2,13
21500095,4,3,9,5,1,1,1649,1610612747,1610612752,0,1,1,0,0,1,14
21500109,3,2,10,6,2,1,1669,1610612761,1610612752,1,4,0,0,1,3,15
21500113,1,0,6,2,0,0,1168,1610612766,1610612752,0,0,0,0,0,2,4
21500130,4,1,9,3,0,0,1738,1610612739,1610612752,1,2,1,0,1,5,7
21500145,2,1,6,5,4,4,1565,1610612740,1610612752,1,1,2,0,1,0,15
21500162,5,3,8,3,0,0,1663,1610612766,1610612752,0,5,1,0,1,3,9
21500183,2,1,4,2,0,0,1172,1610612760,1610612752,0,2,5,0,2,3,5
21500194,4,2,9,4,3,2,1447,1610612745,1610612752,2,2,1,1,0,3,12
21500204,5,0,9,1,0,0,1407,1610612748,1610612752,1,1,1,0,0,4,2
21500216,2,0,5,0,0,0,941,1610612753,1610612752,0,1,0,0,1,5,0
21500230,2,1,9,3,3,1,1727,1610612748,1610612752,0,2,0,0,0,1,8
21500252,4,0,9,2,0,0,1572,1610612745,1610612752,0,4,1,0,3,3,4
