@relation Luis_Scola
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300001,0,0,7,4,0,0,1243,1610612753,1610612754,0,1,0,0,1,2,8
21300011,0,0,4,3,0,0,995,1610612740,1610612754,1,0,0,1,3,2,6
21300033,1,0,6,2,0,0,1166,1610612739,1610612754,1,1,0,0,3,1,4
21300053,0,0,5,3,2,0,858,1610612765,1610612754,0,0,0,1,2,1,6
21300061,0,0,8,6,0,0,943,1610612741,1610612754,0,0,2,0,1,1,12
21300074,0,0,6,4,0,0,1110,1610612761,1610612754,1,0,0,2,2,3,8
21300087,0,0,6,2,3,2,917,1610612751,1610612754,1,2,0,1,1,2,6
21300099,1,0,10,5,3,2,1136,1610612763,1610612754,2,0,1,0,0,4,12
21300125,0,0,7,3,2,2,1278,1610612749,1610612754,2,3,0,0,0,3,8
21300140,0,0,8,4,0,0,1224,1610612741,1610612754,0,1,0,0,0,2,8
21300163,0,0,4,3,2,2,968,1610612752,1610612754,1,0,1,0,2,1,8
21300179,0,0,9,7,4,3,1517,1610612738,1610612754,3,1,2,0,4,3,17
21300188,0,0,4,0,4,3,1239,1610612755,1610612754,0,1,0,0,2,2,3
21300203,0,0,10,4,1,1,1169,1610612750,1610612754,0,1,0,0,2,2,9
21300215,0,0,6,3,2,2,1242,1610612766,1610612754,1,3,0,0,1,3,8
21300236,0,0,8,4,0,0,1251,1610612764,1610612754,0,0,1,0,2,3,8
21300249,0,0,5,1,2,1,797,1610612746,1610612754,1,0,0,0,2,1,3
21300260,1,0,10,5,0,0,931,1610612757,1610612754,0,0,1,0,2,2,10
21300274,0,0,12,6,2,2,987,1610612762,1610612754,3,0,0,0,0,2,14
21300296,0,0,9,5,2,2,1708,1610612759,1610612754,1,0,1,0,4,2,12
21300302,0,0,4,2,2,2,1075,1610612760,1610612754,0,0,0,0,0,0,6
21300311,0,0,5,3,2,1,947,1610612748,1610612754,1,1,0,0,4,4,7
21300329,0,0,8,5,3,1,967,1610612766,1610612754,0,0,0,1,1,2,11
21300356,0,0,11,8,4,2,1172,1610612765,1610612754,3,2,0,0,0,1,18
21300369,0,0,8,3,2,2,862,1610612748,1610612754,0,0,1,0,3,2,8
21300388,1,1,7,5,2,2,972,1610612745,1610612754,0,1,1,1,1,1,13
21300404,0,0,3,2,6,5,1131,1610612738,1610612754,0,2,0,0,1,1,9
21300410,0,0,5,2,1,1,1160,1610612751,1610612754,2,0,0,1,2,2,5
21300437,0,0,2,2,0,0,1058,1610612751,1610612754,0,3,0,0,1,2,4
21300461,0,0,6,2,2,2,1165,1610612739,1610612754,1,2,2,0,2,1,6
21300469,0,0,10,3,2,1,1224,1610612761,1610612754,1,1,1,0,2,2,7
21300489,0,0,7,4,0,0,1038,1610612740,1610612754,2,0,0,0,4,2,8
21300499,0,0,8,3,0,0,836,1610612739,1610612754,2,0,0,0,2,2,6
21300510,0,0,11,4,0,0,947,1610612761,1610612754,2,1,0,1,2,0,8
21300522,0,0,6,2,0,0,1121,1610612737,1610612754,2,3,0,1,1,2,4
21300531,0,0,11,4,2,2,1106,1610612764,1610612754,1,1,0,0,1,1,10
21300563,0,0,6,4,2,1,933,1610612758,1610612754,2,2,0,0,0,2,9
21300578,1,0,8,4,2,2,930,1610612752,1610612754,0,1,0,0,0,2,10
21300594,0,0,5,2,4,4,921,1610612746,1610612754,1,0,0,0,1,4,8
21300615,0,0,9,3,0,0,1037,1610612744,1610612754,2,1,1,0,1,1,6
21300629,0,0,5,2,2,1,877,1610612756,1610612754,1,0,0,0,2,3,5
21300644,0,0,10,3,0,0,1026,1610612758,1610612754,0,1,0,0,0,0,6
21300651,0,0,9,3,0,0,1281,1610612743,1610612754,3,0,0,0,0,1,6
21300674,0,0,11,4,0,0,1136,1610612747,1610612754,2,2,0,0,0,2,8
21300686,0,0,5,1,2,1,914,1610612756,1610612754,3,0,0,0,0,4,3
21300697,0,0,3,1,0,0,949,1610612751,1610612754,1,2,1,0,5,2,2
21300710,0,0,13,4,2,2,1309,1610612753,1610612754,1,4,0,0,0,3,10
21300721,0,0,6,3,4,2,959,1610612737,1610612754,1,2,0,0,1,2,8
21300739,0,0,7,3,2,1,781,1610612757,1610612754,1,0,1,0,1,1,7
21300761,0,0,6,1,0,0,918,1610612753,1610612754,0,1,1,0,0,0,2
21300764,0,0,8,4,4,3,835,1610612743,1610612754,1,0,0,0,0,1,11
21300777,0,0,5,0,0,0,785,1610612742,1610612754,0,0,0,1,1,3,0
21300792,0,0,4,3,4,3,895,1610612737,1610612754,0,1,1,0,1,3,9
21300805,0,0,2,1,0,0,596,1610612750,1610612754,1,0,0,0,3,1,2
21300829,0,0,7,2,2,1,891,1610612749,1610612754,1,1,0,0,1,1,5
21300847,0,0,8,3,4,3,830,1610612747,1610612754,3,2,2,0,2,2,9
21300863,0,0,4,2,0,0,953,1610612749,1610612754,1,2,0,0,1,1,4
21300877,0,0,3,3,2,2,1029,1610612738,1610612754,0,0,1,1,1,2,8
21300885,1,0,6,2,0,0,1116,1610612762,1610612754,2,1,1,2,2,3,4
21300899,0,0,7,4,0,0,867,1610612744,1610612754,0,0,0,0,1,2,8
