@relation Luke_Babbitt
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300747,5,1,7,2,0,0,1169,1610612750,1610612740,3,2,0,2,0,4,5
21300759,6,3,8,3,0,0,1156,1610612751,1610612740,0,1,1,0,1,2,9
21300765,4,2,4,2,0,0,1176,1610612761,1610612740,0,0,0,3,1,4,6
21300785,5,2,8,4,0,0,1623,1610612749,1610612740,1,1,0,0,0,3,10
21300806,4,1,6,3,0,0,1123,1610612752,1610612740,2,0,0,0,1,2,7
21300815,4,2,5,2,0,0,1079,1610612766,1610612740,0,1,0,0,1,5,6
21300826,1,0,2,0,0,0,441,1610612764,1610612740,0,0,0,0,0,0,0
21300844,1,1,3,1,0,0,844,1610612746,1610612740,1,2,0,2,1,1,3
21300856,4,2,6,4,0,0,1534,1610612742,1610612740,1,1,0,0,1,2,10
21300873,2,1,4,2,0,0,825,1610612756,1610612740,0,1,1,0,0,2,5
21300882,3,0,5,0,0,0,678,1610612746,1610612740,0,0,0,0,0,0,0
21300963,3,0,5,1,0,0,665,1610612763,1610612740,1,0,0,0,1,1,2
21300977,0,0,0,0,2,1,252,1610612757,1610612740,1,0,0,0,0,0,1
21301025,5,3,6,4,0,0,732,1610612737,1610612740,0,1,0,0,1,4,11
21301036,8,3,10,4,0,0,1661,1610612748,1610612740,0,2,0,0,1,1,11
21301052,4,1,5,1,2,2,1002,1610612751,1610612740,1,0,0,0,0,2,5
21301066,2,0,3,0,2,1,843,1610612746,1610612740,1,2,0,0,0,0,1
21301082,3,1,6,3,2,2,1479,1610612762,1610612740,1,2,2,1,0,3,9
21301092,2,2,7,3,0,0,1162,1610612759,1610612740,0,0,0,1,0,1,8
21301108,2,0,2,0,0,0,272,1610612758,1610612740,0,0,0,0,0,0,0
21301124,2,0,2,0,0,0,511,1610612743,1610612740,0,1,1,0,2,2,0
21301138,3,0,4,0,0,0,688,1610612762,1610612740,0,1,0,1,0,2,0
21301170,3,2,8,4,2,2,1705,1610612756,1610612740,0,2,0,1,0,2,12
21301184,2,1,3,2,0,0,1142,1610612760,1610612740,1,5,0,0,0,1,5
21301194,8,4,18,8,4,4,2049,1610612745,1610612740,2,2,0,0,3,4,24
21301210,6,3,7,4,2,1,1544,1610612760,1610612740,0,2,1,0,0,4,12
21301219,3,1,10,3,2,1,1047,1610612745,1610612740,2,0,1,0,1,0,8
21400001,0,0,0,0,0,0,149,1610612753,1610612740,0,0,0,0,0,0,0
21400045,3,0,4,0,0,0,631,1610612763,1610612740,0,0,0,0,2,2,0
21400114,1,1,2,1,0,0,1016,1610612747,1610612740,1,0,1,0,1,3,3
21400128,4,4,4,4,0,0,1293,1610612750,1610612740,0,2,1,0,1,4,12
21400153,0,0,0,0,0,0,614,1610612757,1610612740,0,0,1,0,0,0,0
21400158,1,1,3,2,0,0,1228,1610612758,1610612740,0,1,0,2,0,4,5
21400181,0,0,2,0,0,0,1033,1610612743,1610612740,0,2,0,0,1,0,0
21400192,0,0,0,0,0,0,490,1610612762,1610612740,0,0,0,0,0,1,0
21400208,1,0,2,0,0,0,535,1610612758,1610612740,0,1,0,0,0,1,0
21400225,0,0,0,0,0,0,254,1610612737,1610612740,0,0,0,0,1,2,0
21400236,2,1,3,1,2,1,1064,1610612764,1610612740,0,1,0,0,0,1,4
21400258,4,2,5,2,0,0,917,1610612760,1610612740,0,1,0,1,1,4,6
21400275,2,1,3,2,0,0,1145,1610612744,1610612740,0,0,1,0,0,1,5
21400293,5,4,6,4,0,0,1091,1610612746,1610612740,0,0,0,0,0,3,12
21400300,4,2,4,2,0,0,1192,1610612747,1610612740,0,0,0,0,1,1,6
21400311,6,2,6,2,0,0,1123,1610612752,1610612740,0,0,0,1,1,1,6
21400323,5,1,7,2,0,0,1362,1610612742,1610612740,0,0,0,0,0,3,5
21400336,5,2,6,2,0,0,1804,1610612739,1610612740,0,0,2,0,0,2,6
21400348,5,2,6,2,0,0,1748,1610612744,1610612740,2,0,0,0,1,2,6
21400366,3,1,3,1,0,0,603,1610612762,1610612740,0,0,0,0,1,3,3
21400380,4,3,4,3,0,0,867,1610612745,1610612740,0,0,0,0,0,1,9
21400394,1,1,1,1,2,2,1169,1610612757,1610612740,0,0,0,0,0,0,5
21400408,1,1,4,1,0,0,834,1610612760,1610612740,0,0,0,0,0,1,3
21400417,5,3,5,3,2,1,1268,1610612754,1610612740,0,1,0,0,2,0,10
21400437,1,0,2,0,0,0,924,1610612759,1610612740,0,0,0,0,0,1,0
21400447,1,0,1,0,0,0,881,1610612741,1610612740,0,0,2,0,0,2,0
21400469,2,1,2,1,0,0,676,1610612756,1610612740,1,0,0,0,0,0,3
21400481,2,1,2,1,0,0,851,1610612759,1610612740,0,0,0,0,0,1,3
21400488,2,2,2,2,2,2,939,1610612745,1610612740,0,0,1,0,2,0,8
21400515,0,0,0,0,0,0,312,1610612764,1610612740,0,0,0,0,0,0,0
21400541,2,0,3,0,0,0,283,1610612763,1610612740,0,0,0,0,0,0,0
21400563,1,0,1,0,0,0,257,1610612738,1610612740,0,0,0,0,0,1,0
21400577,0,0,0,0,0,0,25,1610612765,1610612740,0,0,0,0,0,0,0
21400589,2,1,2,1,2,0,380,1610612755,1610612740,0,0,1,0,0,0,3
