@relation Mike_Conley
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300013,3,0,17,7,0,0,1630,1610612759,1610612763,0,8,2,0,3,5,14
21300026,4,1,12,7,7,7,2163,1610612765,1610612763,0,4,2,0,5,6,22
21300036,4,1,16,7,10,9,2282,1610612742,1610612763,2,8,3,1,1,2,24
21300049,3,1,14,5,4,4,1953,1610612738,1610612763,0,8,0,0,2,2,15
21300065,4,0,16,10,6,6,2021,1610612740,1610612763,0,1,1,0,1,1,26
21300091,2,1,11,9,1,1,1520,1610612744,1610612763,0,6,3,0,3,4,20
21300099,3,1,11,4,3,2,1766,1610612754,1610612763,0,2,1,1,1,4,11
21300114,10,4,19,12,3,1,2115,1610612761,1610612763,0,5,3,0,3,2,29
21300134,5,1,15,4,2,2,2041,1610612747,1610612763,1,7,1,1,2,1,11
21300148,5,3,12,8,0,0,2296,1610612758,1610612763,1,9,1,1,2,0,19
21300155,4,2,11,6,2,1,1759,1610612746,1610612763,0,5,0,0,1,3,15
21300173,4,1,19,8,2,2,2329,1610612744,1610612763,3,4,1,0,0,2,19
21300181,3,2,19,12,2,2,2277,1610612759,1610612763,0,2,4,0,2,0,28
21300206,3,1,14,2,6,5,2022,1610612745,1610612763,1,10,1,0,0,2,10
21300217,3,0,14,6,2,2,1975,1610612738,1610612763,0,9,2,0,0,0,14
21300243,1,0,14,7,4,2,2080,1610612751,1610612763,0,10,1,0,2,0,16
21300265,4,1,15,6,5,5,2212,1610612756,1610612763,0,14,0,0,2,3,18
21300278,4,2,8,6,2,2,2017,1610612746,1610612763,1,4,1,0,3,3,16
21300293,0,0,12,4,4,4,1829,1610612744,1610612763,0,2,1,1,2,1,12
21300307,5,2,16,5,3,1,2108,1610612753,1610612763,0,7,1,0,2,3,13
21300320,5,2,13,7,4,4,2111,1610612760,1610612763,0,9,0,0,3,1,20
21300335,6,2,16,6,6,4,2119,1610612740,1610612763,0,7,0,0,0,1,18
21300351,8,4,20,12,1,0,2203,1610612750,1610612763,0,3,0,1,4,2,28
21300392,4,0,18,4,1,1,2062,1610612752,1610612763,0,8,0,0,2,1,9
21300413,5,2,11,2,0,0,2208,1610612762,1610612763,0,5,4,0,2,3,6
21300424,4,2,14,4,2,1,2258,1610612745,1610612763,1,6,2,1,2,3,11
21300443,5,1,14,5,4,3,1848,1610612743,1610612763,3,4,2,0,2,2,14
21300454,2,0,19,9,10,8,2193,1610612741,1610612763,3,9,6,0,1,2,26
21300478,1,0,11,4,3,3,1825,1610612756,1610612763,0,6,0,1,6,1,11
21300487,5,3,15,8,5,4,2140,1610612743,1610612763,0,8,4,0,2,1,23
21300498,6,3,14,6,0,0,1937,1610612765,1610612763,0,6,0,0,2,2,15
21300514,5,3,23,12,5,3,2497,1610612759,1610612763,1,5,3,0,4,1,30
21300534,7,3,19,11,6,6,2339,1610612756,1610612763,0,7,0,0,0,2,31
21300553,1,0,15,7,7,7,2310,1610612737,1610612763,0,13,4,0,2,2,21
21300564,7,2,18,7,3,3,2218,1610612760,1610612763,0,7,2,0,1,2,19
21300570,6,2,13,6,2,1,2105,1610612749,1610612763,1,5,1,1,2,3,15
21300588,5,3,13,8,8,6,2240,1610612758,1610612763,0,6,1,1,1,3,25
21300611,5,1,15,4,4,4,2252,1610612740,1610612763,1,2,1,0,2,2,13
21300642,2,2,11,6,0,0,1997,1610612745,1610612763,1,3,1,0,0,1,14
21300649,6,3,13,6,3,2,1826,1610612745,1610612763,1,4,1,0,1,1,17
21300672,4,2,14,8,2,1,2076,1610612757,1610612763,0,7,1,0,2,1,19
21300684,4,2,13,8,9,9,2065,1610612758,1610612763,1,10,2,0,4,2,27
21300691,2,0,14,4,4,4,1789,1610612750,1610612763,0,8,3,0,0,0,12
21300796,2,0,15,6,12,10,1888,1610612752,1610612763,1,3,1,1,4,1,22
21300821,2,1,10,3,2,2,2102,1610612746,1610612763,0,6,1,0,1,5,9
21300825,5,0,16,6,5,4,1953,1610612766,1610612763,1,5,1,0,2,1,16
21300857,3,1,11,3,0,0,1543,1610612747,1610612763,0,3,2,1,3,3,7
21300868,3,1,10,1,3,3,1573,1610612760,1610612763,1,9,1,0,5,1,6
21300879,4,2,14,8,4,4,2269,1610612739,1610612763,0,7,2,1,2,1,22
