@relation Mike_Miller
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300013,3,2,6,3,3,3,1489,1610612759,1610612763,0,3,0,0,1,2,11
21300026,5,2,9,3,0,0,1923,1610612765,1610612763,0,3,1,0,1,5,8
21300036,2,0,5,2,0,0,1078,1610612742,1610612763,1,3,0,0,3,3,4
21300049,3,1,4,2,0,0,1403,1610612738,1610612763,1,2,0,0,1,1,5
21300065,4,3,4,3,0,0,1434,1610612740,1610612763,0,2,2,0,2,3,9
21300091,5,4,7,4,4,3,1716,1610612744,1610612763,0,4,0,0,0,1,15
21300099,3,2,6,3,0,0,1300,1610612754,1610612763,0,2,0,0,1,0,8
21300114,7,2,10,3,0,0,1246,1610612761,1610612763,0,2,0,0,2,4,8
21300134,4,0,8,2,0,0,1546,1610612747,1610612763,0,2,0,0,1,1,4
21300148,0,0,0,0,0,0,1253,1610612758,1610612763,0,2,1,0,3,1,0
21300155,4,2,6,3,0,0,1173,1610612746,1610612763,0,1,0,0,2,1,8
21300173,2,1,4,1,0,0,1712,1610612744,1610612763,1,2,1,0,0,1,3
21300181,3,1,5,1,2,1,1399,1610612759,1610612763,2,0,0,0,2,4,4
21300206,4,2,4,2,2,2,1049,1610612745,1610612763,0,1,1,0,0,2,8
21300217,3,2,5,3,0,0,1034,1610612738,1610612763,0,0,0,0,2,1,8
21300243,3,2,3,2,0,0,1375,1610612751,1610612763,0,0,0,0,1,1,6
21300265,2,0,4,0,0,0,865,1610612756,1610612763,1,0,0,0,1,3,0
