@relation Nick_Calathes
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300013,0,0,3,1,0,0,286,1610612759,1610612763,1,1,0,0,1,0,2
21300036,0,0,1,1,0,0,364,1610612742,1610612763,0,0,0,0,0,1,2
21300065,0,0,3,1,0,0,609,1610612740,1610612763,0,2,0,0,4,3,2
21300091,2,0,6,1,0,0,1360,1610612744,1610612763,0,5,1,1,4,2,2
21300099,0,0,5,2,3,0,1511,1610612754,1610612763,0,6,1,0,1,3,4
21300114,0,0,0,0,2,1,295,1610612761,1610612763,0,1,0,0,2,0,1
21300173,0,0,1,0,0,0,216,1610612744,1610612763,0,0,0,0,1,2,0
21300206,1,0,4,2,0,0,858,1610612745,1610612763,0,3,0,0,2,2,4
21300217,0,0,1,1,2,2,905,1610612738,1610612763,0,7,0,0,1,2,4
21300243,0,0,1,1,0,0,341,1610612751,1610612763,0,1,0,0,1,1,2
21300265,1,0,3,0,2,1,668,1610612756,1610612763,0,2,0,0,0,0,1
21300278,0,0,3,1,2,0,866,1610612746,1610612763,0,0,0,0,0,1,2
21300293,0,0,4,1,4,2,1388,1610612744,1610612763,1,2,0,0,1,2,4
21300307,0,0,2,1,4,4,1195,1610612753,1610612763,0,8,0,0,2,2,6
21300320,0,0,2,2,0,0,1031,1610612760,1610612763,1,2,2,0,2,2,4
21300335,0,0,1,1,3,1,761,1610612740,1610612763,0,2,0,0,1,2,3
