@relation Nick_Collison
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300014,0,0,4,2,2,2,777,1610612762,1610612760,1,0,1,1,1,5,6
21300027,1,1,3,2,2,2,988,1610612750,1610612760,0,0,0,0,2,3,7
21300044,0,0,2,1,2,2,1234,1610612756,1610612760,0,2,1,0,3,3,4
21300069,0,0,3,2,2,0,1047,1610612742,1610612760,0,0,1,0,1,5,4
21300078,0,0,3,3,3,3,1240,1610612765,1610612760,0,1,1,0,0,0,9
21300122,0,0,2,2,0,0,1208,1610612746,1610612760,1,0,0,0,0,5,4
21300124,0,0,5,1,0,0,1237,1610612744,1610612760,2,1,1,0,1,1,2
21300144,1,0,5,1,2,1,1506,1610612749,1610612760,0,2,0,0,0,2,3
21300152,0,0,5,2,0,0,1157,1610612743,1610612760,2,1,0,0,0,3,4
21300174,0,0,1,1,3,2,690,1610612746,1610612760,1,1,2,0,0,1,4
21300200,0,0,0,0,0,0,384,1610612762,1610612760,1,1,0,0,1,0,0
21300224,0,0,1,0,0,0,1122,1610612759,1610612760,3,2,1,1,2,2,0
21300235,2,0,5,2,0,0,1009,1610612744,1610612760,1,1,0,0,1,2,4
21300253,1,0,4,2,2,2,889,1610612750,1610612760,1,0,0,0,1,2,6
21300267,0,0,3,3,0,0,1033,1610612758,1610612760,1,1,0,1,1,1,6
21300276,0,0,3,1,2,2,995,1610612757,1610612760,2,1,0,0,0,5,4
21300286,1,0,4,2,5,2,1458,1610612740,1610612760,0,1,0,2,3,3,6
21300302,0,0,1,0,2,2,931,1610612754,1610612760,1,1,0,2,0,4,2
21300313,0,0,3,2,0,0,1277,1610612737,1610612760,2,2,0,0,0,3,4
21300320,0,0,2,2,2,1,1015,1610612763,1610612760,0,1,0,2,1,1,5
21300336,0,0,2,0,0,0,332,1610612747,1610612760,2,0,0,1,2,1,0
21300353,0,0,3,1,0,0,1062,1610612753,1610612760,2,2,0,0,1,2,2
21300367,1,0,7,4,0,0,1247,1610612743,1610612760,2,0,1,2,1,3,8
21300381,0,0,6,4,1,1,1190,1610612741,1610612760,1,0,0,0,0,2,9
21300399,0,0,4,3,2,2,1178,1610612759,1610612760,2,1,0,1,0,1,8
21300405,0,0,3,2,2,2,969,1610612761,1610612760,2,1,1,1,0,1,6
21300419,0,0,4,2,2,1,1119,1610612752,1610612760,3,3,0,1,0,3,5
21300427,1,0,2,0,2,2,975,1610612766,1610612760,0,3,0,0,1,3,2
21300450,0,0,5,2,0,0,794,1610612745,1610612760,1,3,0,0,1,1,4
21300466,0,0,4,2,0,0,1011,1610612757,1610612760,2,0,0,0,1,3,4
21300476,0,0,0,0,0,0,351,1610612751,1610612760,0,0,1,0,0,0,0
21300493,0,0,6,4,0,0,1351,1610612750,1610612760,2,1,1,1,1,3,8
21300502,0,0,4,3,4,2,1163,1610612738,1610612760,2,1,0,0,0,1,8
21300518,1,1,3,3,2,1,1800,1610612762,1610612760,4,3,0,0,2,2,8
21300530,0,0,1,0,0,0,805,1610612743,1610612760,0,0,0,0,2,1,0
21300548,0,0,3,2,0,0,818,1610612749,1610612760,2,1,0,0,0,3,4
21300564,0,0,1,0,4,3,1102,1610612763,1610612760,1,1,0,0,1,2,3
21300580,0,0,2,1,0,0,1149,1610612745,1610612760,0,2,0,1,0,1,2
21300592,0,0,1,0,4,3,940,1610612744,1610612760,1,3,0,1,1,5,3
21300603,0,0,6,4,3,2,1020,1610612758,1610612760,3,2,0,0,1,3,10
21300619,0,0,2,1,0,0,1153,1610612757,1610612760,5,1,0,0,0,2,2
21300630,0,0,3,3,0,0,954,1610612759,1610612760,2,1,1,0,0,3,6
21300636,1,0,7,3,0,0,1374,1610612738,1610612760,1,4,0,0,1,1,6
21300648,1,0,6,5,3,2,1582,1610612755,1610612760,1,1,2,1,0,3,12
21300666,1,0,7,4,0,0,1092,1610612737,1610612760,1,5,0,0,1,1,8
21300675,0,0,2,1,2,1,775,1610612748,1610612760,2,2,1,0,0,1,3
21300692,0,0,3,1,2,2,956,1610612751,1610612760,3,2,1,0,0,2,4
21300698,0,0,1,1,0,0,1087,1610612764,1610612760,2,0,0,0,2,2,2
21300716,0,0,2,1,0,0,649,1610612763,1610612760,2,2,0,1,0,1,2
21300732,0,0,2,1,0,0,968,1610612750,1610612760,1,1,0,0,1,1,2
21300740,0,0,1,1,2,2,965,1610612753,1610612760,1,0,0,1,1,2,4
21300756,0,0,2,1,0,0,1232,1610612752,1610612760,1,2,0,1,2,2,2
21300775,0,0,4,4,2,1,1373,1610612757,1610612760,2,1,0,0,0,3,9
21300791,0,0,1,0,0,0,937,1610612747,1610612760,2,3,1,0,1,2,0
21300813,0,0,1,0,0,0,660,1610612748,1610612760,0,1,0,0,0,0,0
21300833,0,0,3,2,2,1,1174,1610612746,1610612760,2,3,0,0,1,3,5
21300858,0,0,3,2,2,1,1013,1610612739,1610612760,3,0,1,1,3,2,5
21300868,1,0,2,0,0,0,896,1610612763,1610612760,2,1,0,1,1,3,0
21300887,0,0,3,2,4,3,808,1610612766,1610612760,1,0,0,0,3,5,7
21300901,0,0,1,0,2,2,751,1610612755,1610612760,0,4,1,0,0,2,2
21300915,0,0,2,2,0,0,633,1610612756,1610612760,2,0,0,0,0,3,4
21300935,0,0,2,1,0,0,691,1610612747,1610612760,1,0,0,0,1,2,2
21300955,0,0,0,0,0,0,103,1610612745,1610612760,0,0,0,0,0,3,0
21300970,0,0,2,2,2,2,733,1610612747,1610612760,2,0,1,0,1,3,6
21300992,0,0,1,0,2,1,1150,1610612742,1610612760,3,1,0,0,2,3,1
21300999,0,0,3,1,0,0,813,1610612741,1610612760,1,1,2,0,1,4,2
21301018,0,0,1,0,0,0,1263,1610612739,1610612760,2,3,1,0,0,2,0
21301024,0,0,2,1,2,1,1154,1610612761,1610612760,0,1,0,0,1,3,3
21301053,1,1,5,4,2,1,1335,1610612743,1610612760,3,1,0,0,1,5,10
21301059,0,0,7,3,2,1,1348,1610612742,1610612760,4,1,1,0,2,3,7
21301083,0,0,3,1,0,0,870,1610612758,1610612760,1,2,2,1,0,2,2
21301093,0,0,5,4,0,0,1429,1610612762,1610612760,2,1,0,1,2,5,8
21301127,0,0,1,1,2,2,803,1610612759,1610612760,0,2,1,0,1,2,4
21301139,1,1,5,2,0,0,902,1610612745,1610612760,2,0,0,0,2,2,5
21301156,0,0,3,3,0,0,876,1610612756,1610612760,0,0,1,1,1,1,6
21301160,1,0,6,3,2,1,1080,1610612758,1610612760,1,3,0,0,1,4,7
21301173,0,0,1,1,0,0,735,1610612746,1610612760,2,1,0,0,1,2,2
21301184,0,0,4,2,3,2,956,1610612740,1610612760,2,0,1,0,3,0,6
21301200,0,0,1,0,0,0,963,1610612754,1610612760,0,3,0,1,0,1,0
21301210,1,0,2,0,0,0,464,1610612740,1610612760,0,2,0,0,0,1,0
21301220,0,0,3,2,0,0,916,1610612765,1610612760,3,2,0,0,1,3,4
21400015,3,0,5,1,1,0,1168,1610612757,1610612760,0,3,2,0,0,4,2
21400020,1,0,5,2,2,2,918,1610612746,1610612760,0,0,1,1,3,2,6
21400036,1,0,3,0,2,2,1444,1610612743,1610612760,0,4,0,1,0,0,2
21400044,1,0,5,1,2,1,1140,1610612751,1610612760,2,0,0,0,0,3,3
21400052,4,2,7,4,2,1,1598,1610612761,1610612760,2,1,0,1,2,3,11
21400078,1,1,3,1,2,0,1470,1610612763,1610612760,1,1,0,0,0,2,3
