@relation Nikola_Jokic
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21500010,0,0,1,1,0,0,235,1610612745,1610612743,0,0,0,0,1,0,2
21500029,0,0,8,5,0,0,1089,1610612750,1610612743,3,1,0,0,2,3,10
21500044,0,0,9,4,0,0,1466,1610612760,1610612743,3,0,0,0,1,2,8
21500073,0,0,4,1,4,3,1064,1610612762,1610612743,1,0,0,1,1,1,5
21500083,0,0,4,2,2,0,1020,1610612744,1610612743,2,1,1,1,1,1,4
21500121,0,0,7,4,1,0,866,1610612749,1610612743,3,4,2,0,2,0,8
21500136,1,0,3,1,2,1,348,1610612745,1610612743,2,0,0,0,1,2,3
21500143,0,0,3,2,0,0,1097,1610612756,1610612743,2,0,3,0,0,3,4
21500163,0,0,0,0,0,0,40,1610612740,1610612743,1,0,0,0,0,0,0
21500172,1,1,13,8,6,6,1914,1610612759,1610612743,6,0,2,3,0,2,23
21500185,1,0,6,2,2,2,1071,1610612756,1610612743,2,1,1,0,0,3,6
21500200,0,0,7,3,7,5,1641,1610612744,1610612743,4,2,2,1,1,0,11
21500212,1,0,13,7,3,2,1467,1610612746,1610612743,1,2,0,0,1,5,16
21500235,0,0,4,3,0,0,744,1610612759,1610612743,1,0,0,0,3,4,6
21500241,1,1,3,2,4,3,1114,1610612742,1610612743,2,0,1,0,3,3,8
