@relation Omer_Asik
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300009,0,0,5,1,4,2,1569,1610612766,1610612745,5,0,1,2,1,1,4
21300025,0,0,4,2,4,2,928,1610612742,1610612745,1,0,0,0,2,6,6
21300038,0,0,4,2,0,0,1690,1610612762,1610612745,2,0,1,2,2,2,4
21300050,0,0,1,1,4,4,1422,1610612746,1610612745,2,0,0,0,2,3,6
21300058,0,0,5,3,2,2,1320,1610612757,1610612745,1,1,0,0,2,4,8
21300072,0,0,3,1,6,4,1399,1610612747,1610612745,1,1,1,0,3,2,6
21300090,0,0,3,3,4,1,1416,1610612746,1610612745,2,0,0,0,1,3,7
21300103,0,0,4,2,2,0,1130,1610612761,1610612745,1,0,0,1,0,2,4
21300112,0,0,0,0,0,0,262,1610612755,1610612745,0,0,0,0,0,0,0
21300159,0,0,3,1,2,2,409,1610612738,1610612745,2,0,0,0,1,1,4
21300172,0,0,0,0,2,1,698,1610612742,1610612745,1,0,0,1,1,3,1
21300192,0,0,0,0,2,2,793,1610612750,1610612745,1,0,0,0,1,3,2
21300206,0,0,3,1,0,0,1259,1610612763,1610612745,4,1,0,0,0,1,2
21300221,0,0,7,4,3,2,1224,1610612737,1610612745,2,2,0,1,1,0,10
21300234,0,0,5,2,2,2,1396,1610612751,1610612745,0,1,0,0,2,1,6
21300245,0,0,2,1,2,1,804,1610612759,1610612745,1,1,1,0,1,0,3
21300259,0,0,4,1,0,0,916,1610612762,1610612745,2,0,0,0,0,2,2
21300753,0,0,0,0,0,0,659,1610612749,1610612745,0,2,0,0,1,0,0
21300768,0,0,2,1,2,1,611,1610612750,1610612745,2,0,0,0,2,1,3
21300784,0,0,1,0,0,0,641,1610612764,1610612745,1,0,0,0,1,1,0
21300811,0,0,6,3,2,1,1390,1610612747,1610612745,5,1,0,0,0,1,7
21300814,0,0,6,3,0,0,905,1610612744,1610612745,3,2,1,1,0,1,6
21300838,0,0,2,1,1,1,798,1610612756,1610612745,2,0,1,0,1,1,3
21300852,0,0,4,3,1,1,1409,1610612758,1610612745,1,0,0,1,2,4,7
21300862,0,0,4,3,0,0,1025,1610612746,1610612745,2,1,0,2,1,1,6
21300876,0,0,1,0,2,0,765,1610612765,1610612745,1,0,0,0,2,3,0
21300900,0,0,2,1,2,1,666,1610612748,1610612745,2,0,0,0,2,2,3
21300905,0,0,1,0,2,2,941,1610612753,1610612745,0,0,0,1,0,1,2
21300926,0,0,2,0,6,4,1201,1610612754,1610612745,1,1,0,2,2,0,4
21300939,0,0,0,0,0,0,972,1610612757,1610612745,1,1,0,0,0,2,0
21300955,0,0,4,2,4,3,906,1610612760,1610612745,1,0,0,0,1,0,7
21300968,0,0,3,2,4,2,1165,1610612741,1610612745,3,0,0,0,0,1,6
21300989,0,0,3,2,2,0,612,1610612748,1610612745,4,0,0,0,0,1,4
21301000,0,0,12,5,4,2,1697,1610612762,1610612745,4,0,0,1,1,3,12
21301019,0,0,4,4,5,4,1649,1610612750,1610612745,1,3,0,4,2,4,12
21301033,0,0,8,4,2,1,1984,1610612739,1610612745,2,2,0,2,1,0,9
21301047,0,0,2,1,0,0,926,1610612766,1610612745,1,1,0,3,1,3,2
21301072,0,0,4,2,1,0,1310,1610612755,1610612745,3,0,1,0,0,3,4
21301088,0,0,9,5,2,2,2097,1610612746,1610612745,4,0,0,1,2,5,12
21301111,0,0,8,5,6,2,2142,1610612751,1610612745,6,0,1,2,3,1,12
21301118,0,0,5,3,6,3,1913,1610612761,1610612745,2,0,1,0,3,3,9
21301139,0,0,5,3,4,3,1974,1610612760,1610612745,4,2,0,0,1,3,9
21301153,0,0,11,6,11,6,2589,1610612743,1610612745,7,1,3,3,2,1,18
21301161,0,0,7,4,2,2,1465,1610612747,1610612745,0,0,1,2,3,2,10
21301171,0,0,8,5,2,2,1455,1610612743,1610612745,2,1,0,0,2,1,12
21301183,0,0,7,3,4,3,1463,1610612750,1610612745,6,0,1,2,1,5,9
21301194,0,0,2,2,8,5,1127,1610612740,1610612745,1,0,0,1,2,2,9
21301209,0,0,4,3,2,2,995,1610612759,1610612745,1,0,0,2,0,2,8
21400001,0,0,10,7,3,0,2010,1610612753,1610612740,7,2,0,5,3,4,14
21400027,0,0,8,5,6,3,1969,1610612742,1610612740,4,1,0,0,1,2,13
21400045,0,0,7,1,9,4,1577,1610612763,1610612740,2,0,0,1,0,2,6
21400054,0,0,4,3,4,4,1681,1610612766,1610612740,4,3,1,1,0,2,10
21400089,0,0,4,3,1,0,1560,1610612759,1610612740,3,1,0,0,0,3,6
21400098,0,0,5,2,4,4,1554,1610612739,1610612740,4,2,1,1,2,2,8
21400114,0,0,3,3,2,1,1564,1610612747,1610612740,3,1,0,2,0,3,7
21400128,0,0,5,4,0,0,1187,1610612750,1610612740,1,2,2,0,1,4,8
21400208,0,0,5,1,2,1,1559,1610612758,1610612740,5,0,1,0,0,3,3
21400225,0,0,7,4,2,2,1938,1610612737,1610612740,3,0,0,1,2,0,10
21400236,0,0,4,0,2,1,1674,1610612764,1610612740,3,0,1,0,2,0,1
21400258,0,0,5,1,6,3,1621,1610612760,1610612740,7,1,0,2,1,2,5
21400275,0,0,8,4,2,1,1811,1610612744,1610612740,4,1,0,0,2,1,9
21400293,0,0,4,3,6,4,1538,1610612746,1610612740,5,2,1,0,3,1,10
21400300,0,0,7,4,0,0,1461,1610612747,1610612740,5,1,0,0,2,0,8
21400311,0,0,10,7,4,2,1828,1610612752,1610612740,5,1,0,2,0,2,16
21400323,0,0,6,2,4,2,1543,1610612742,1610612740,5,0,0,0,2,3,6
21400336,0,0,4,3,4,3,1897,1610612739,1610612740,3,1,0,1,0,1,9
21400348,0,0,7,2,0,0,1193,1610612744,1610612740,2,1,0,0,0,0,4
21400366,0,0,4,3,5,4,1253,1610612762,1610612740,1,0,1,3,3,1,10
21400380,0,0,3,1,0,0,1692,1610612745,1610612740,3,1,0,0,3,3,2
21400394,0,0,5,2,0,0,1181,1610612757,1610612740,4,0,0,0,2,1,4
21400408,0,0,4,1,2,1,1521,1610612760,1610612740,4,1,0,3,0,3,3
21400417,0,0,6,3,2,0,1298,1610612754,1610612740,5,1,0,0,1,4,6
21400437,0,0,3,1,2,2,1090,1610612759,1610612740,1,1,1,0,0,2,4
21400447,0,0,5,1,2,2,1194,1610612741,1610612740,2,1,1,1,0,2,4
21400469,0,0,6,5,6,1,1495,1610612756,1610612740,3,1,0,1,0,0,11
21400481,0,0,2,0,4,3,1659,1610612759,1610612740,3,0,0,0,2,2,3
21400488,0,0,5,3,5,3,1372,1610612745,1610612740,2,2,0,0,2,1,9
21400515,0,0,1,1,0,0,1627,1610612764,1610612740,1,0,0,1,2,0,2
21400522,0,0,3,1,6,4,1255,1610612766,1610612740,3,0,0,0,0,3,6
21400541,0,0,2,2,4,3,1283,1610612763,1610612740,1,1,0,1,1,5,7
21400563,0,0,4,1,4,3,1488,1610612738,1610612740,6,3,1,0,2,3,5
21400577,0,0,5,2,4,4,1568,1610612765,1610612740,3,2,0,1,2,2,8
21400589,0,0,5,2,6,2,1204,1610612755,1610612740,6,0,0,1,2,4,6
