@relation PJ_Tucker
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,2,13,7,2,2,2316,1610612757,1610612756,4,2,2,0,1,1,18
4,2,8,5,0,0,1967,1610612762,1610612756,2,1,2,1,2,3,12
4,2,5,2,0,0,2354,1610612760,1610612756,1,2,0,0,2,4,6
2,1,6,3,0,0,2116,1610612740,1610612756,0,3,1,0,1,2,7
2,1,7,1,0,0,1714,1610612759,1610612756,1,2,2,2,3,1,3
2,1,7,2,5,4,1400,1610612743,1610612756,1,2,0,0,1,1,9
2,0,5,1,0,0,1433,1610612740,1610612756,0,1,2,0,1,1,2
0,0,6,3,4,2,2009,1610612757,1610612756,2,1,4,0,2,3,8
4,3,11,7,0,0,2151,1610612751,1610612756,2,0,0,0,0,2,17
1,0,6,2,0,0,1800,1610612758,1610612756,0,3,1,0,1,3,4
7,3,10,4,2,1,1635,1610612758,1610612756,0,3,1,0,1,4,12
3,3,6,6,3,2,1488,1610612766,1610612756,4,2,0,0,3,4,17
1,1,7,3,0,0,1753,1610612753,1610612756,3,3,0,1,1,2,7
5,1,11,4,2,1,2152,1610612748,1610612756,2,0,2,0,3,4,10
0,0,3,1,0,0,1523,1610612757,1610612756,3,0,2,0,0,2,2
3,0,6,1,4,4,2201,1610612762,1610612756,1,2,0,0,1,2,6
3,2,7,5,2,1,1753,1610612762,1610612756,2,0,3,0,2,4,13
1,0,6,2,1,1,1340,1610612763,1610612756,2,1,1,0,1,0,5
2,2,13,8,2,0,2425,1610612745,1610612756,4,4,4,0,1,4,18
4,2,12,4,10,8,2289,1610612761,1610612756,6,3,1,0,3,3,18
2,0,5,1,2,2,1879,1610612747,1610612756,2,2,2,1,1,2,4
3,1,13,3,5,3,1937,1610612758,1610612756,5,2,1,0,1,2,10
3,1,7,2,2,2,1899,1610612744,1610612756,0,0,3,0,0,2,7
1,1,4,1,2,1,1695,1610612759,1610612756,2,2,0,0,2,3,4
2,0,8,1,0,0,1560,1610612743,1610612756,1,1,0,2,0,1,2
3,2,14,6,3,2,1501,1610612742,1610612756,4,4,1,0,2,2,16
1,0,3,0,5,4,1306,1610612747,1610612756,1,0,0,0,2,3,4
2,0,6,3,6,5,1693,1610612744,1610612756,6,1,4,0,2,3,11
5,0,10,2,6,5,2096,1610612755,1610612756,2,3,0,1,0,2,9
1,1,6,3,6,5,1413,1610612746,1610612756,1,3,0,0,0,1,12
2,1,13,5,1,1,1945,1610612763,1610612756,3,4,0,0,1,1,12
2,0,8,3,2,2,1663,1610612749,1610612756,1,1,4,0,3,1,8
0,0,2,1,2,2,1171,1610612741,1610612756,0,1,0,1,1,2,4
0,0,5,1,2,2,1740,1610612750,1610612756,3,1,1,0,2,5,4
1,1,9,5,0,0,1369,1610612763,1610612756,4,2,0,0,0,2,11
5,3,13,6,2,2,2514,1610612765,1610612756,4,0,0,0,1,3,17
1,0,5,2,2,2,1541,1610612752,1610612756,1,3,0,0,1,5,6
2,0,10,5,5,5,1912,1610612747,1610612756,2,4,1,1,1,2,15
1,1,8,5,0,0,2145,1610612742,1610612756,1,2,0,0,1,4,11
3,1,4,1,4,3,1767,1610612743,1610612756,1,2,0,0,0,1,6
1,1,6,5,2,2,1657,1610612754,1610612756,0,1,0,0,1,2,13
4,1,7,2,4,2,1884,1610612764,1610612756,1,1,3,0,1,1,7
4,1,14,5,2,2,2243,1610612739,1610612756,3,6,2,0,0,3,13
1,0,11,5,6,5,1737,1610612755,1610612756,4,1,2,1,2,2,15
0,0,1,0,4,3,1363,1610612749,1610612756,1,1,2,1,0,2,3
1,0,8,3,2,1,2166,1610612754,1610612756,2,2,1,0,4,2,7
1,0,4,3,2,2,1051,1610612766,1610612756,0,1,0,0,0,0,8
3,1,6,2,0,0,1591,1610612741,1610612756,1,0,0,0,1,2,5
1,0,10,6,2,1,2167,1610612745,1610612756,4,2,0,1,0,2,13
4,2,10,5,5,4,2477,1610612744,1610612756,3,0,4,0,1,4,16
3,2,11,5,2,2,2246,1610612748,1610612756,3,5,0,1,2,3,14
1,0,8,2,9,9,2220,1610612743,1610612756,3,1,1,0,1,2,13
2,0,11,4,4,2,2178,1610612738,1610612756,3,6,3,0,0,6,10
2,0,6,2,0,0,1418,1610612759,1610612756,0,2,1,0,1,2,4
2,1,10,4,0,0,1713,1610612745,1610612756,4,2,2,0,3,2,9
2,0,11,2,4,2,2290,1610612750,1610612756,7,0,1,2,2,3,6
3,1,4,1,0,0,1257,1610612762,1610612756,0,1,0,0,1,2,3
2,2,3,3,0,0,1804,1610612740,1610612756,1,0,2,1,2,1,8
3,2,7,4,0,0,2068,1610612737,1610612756,1,6,1,0,2,2,10
1,0,11,8,5,2,2327,1610612746,1610612756,1,2,2,0,0,2,18
2,1,3,2,2,2,2557,1610612760,1610612756,2,4,2,0,1,4,7
2,1,5,3,4,4,1586,1610612744,1610612756,2,0,1,0,1,4,11
