@relation Pero_Antic
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300012,1,0,1,0,0,0,470,1610612742,1610612737,0,0,0,0,0,0,0
21300023,2,1,4,2,0,0,695,1610612761,1610612737,0,1,0,0,2,1,5
21300046,1,0,3,1,0,0,460,1610612747,1610612737,1,0,1,0,0,0,2
21300059,3,1,4,2,0,0,933,1610612758,1610612737,1,0,0,1,0,1,5
21300071,5,2,5,2,2,1,1212,1610612743,1610612737,2,1,0,2,1,2,7
21300086,3,0,4,1,0,0,1095,1610612753,1610612737,0,2,0,0,0,4,2
21300116,0,0,3,1,2,2,775,1610612752,1610612737,2,2,0,0,1,1,4
21300158,3,2,8,4,3,2,917,1610612748,1610612737,1,1,2,0,2,1,12
21300190,3,0,8,1,0,0,893,1610612738,1610612737,5,1,0,0,0,2,2
21300213,1,1,2,1,4,3,402,1610612753,1610612737,0,0,0,1,0,1,6
21300241,1,0,2,0,0,0,536,1610612764,1610612737,0,1,0,0,0,0,0
21300258,0,0,0,0,0,0,0,1610612759,1610612737,0,0,0,0,0,0,0
21300332,1,0,2,1,2,2,768,1610612764,1610612737,0,4,0,0,0,0,4
21300345,2,1,3,2,0,0,612,1610612752,1610612737,1,0,0,0,1,3,5
21300372,1,0,1,0,0,0,339,1610612758,1610612737,0,0,0,0,0,2,0
21300384,2,1,4,3,0,0,654,1610612762,1610612737,0,1,0,0,2,4,7
21300411,1,0,1,0,0,0,266,1610612748,1610612737,0,0,0,0,1,2,0
21300423,1,1,2,1,0,0,305,1610612739,1610612737,0,1,0,0,0,1,3
21300440,5,1,7,1,0,0,1342,1610612766,1610612737,1,7,1,3,2,2,3
21300449,2,1,4,2,0,0,1220,1610612753,1610612737,1,1,0,0,0,4,5
21300460,4,1,5,2,0,0,1350,1610612738,1610612737,1,0,0,0,0,3,5
21300483,6,4,9,6,0,0,1601,1610612744,1610612737,1,0,1,0,1,4,16
21300492,5,3,8,3,0,0,1355,1610612741,1610612737,2,1,0,1,1,3,9
21300506,5,2,6,2,2,2,1097,1610612751,1610612737,1,0,1,0,2,5,8
21300522,6,3,10,6,2,1,1599,1610612754,1610612737,0,1,0,1,0,3,16
21300533,3,0,8,2,0,0,1309,1610612745,1610612737,1,0,0,0,3,4,4
21300579,2,1,5,4,2,2,1374,1610612751,1610612737,0,1,1,0,2,2,11
21300612,4,2,10,7,2,1,1482,1610612748,1610612737,2,3,0,0,0,5,17
21300623,6,1,9,2,6,5,1987,1610612753,1610612737,2,1,1,0,2,2,10
21300677,6,2,13,4,4,3,1662,1610612765,1610612737,6,0,1,1,3,3,13
21300913,4,2,5,3,2,2,966,1610612757,1610612737,0,0,0,0,3,2,10
21300927,5,2,8,4,0,0,1047,1610612744,1610612737,1,1,0,0,1,3,10
21300933,5,3,11,6,2,1,1785,1610612746,1610612737,3,1,2,0,3,3,16
21300948,6,2,8,4,2,2,1403,1610612762,1610612737,2,3,0,1,0,3,12
21300969,4,1,8,3,2,1,1535,1610612749,1610612737,1,1,0,0,3,2,8
21300983,8,3,12,6,2,1,1449,1610612743,1610612737,1,2,1,0,0,5,16
21300996,7,3,10,4,0,0,1643,1610612766,1610612737,2,2,1,0,2,4,11
21301004,5,1,6,2,3,3,1741,1610612761,1610612737,1,0,0,0,0,3,8
21301025,4,1,9,4,7,5,1681,1610612740,1610612737,1,3,0,0,3,5,14
21301040,5,0,6,1,2,2,1577,1610612761,1610612737,3,3,0,0,4,2,4
21301048,4,1,6,2,0,0,1534,1610612756,1610612737,2,2,2,0,3,3,5
21301065,4,1,5,1,0,0,936,1610612750,1610612737,0,0,1,0,3,2,3
21301089,4,1,10,5,2,2,1556,1610612764,1610612737,2,1,0,0,0,4,13
21301103,5,0,8,1,0,0,1270,1610612755,1610612737,2,2,0,0,1,4,2
21301120,1,0,2,0,0,0,611,1610612741,1610612737,0,1,0,0,0,2,0
21301132,2,0,5,2,2,2,1071,1610612739,1610612737,2,1,0,1,0,2,6
21301152,4,3,8,7,2,1,1607,1610612754,1610612737,1,1,0,0,3,3,18
21301179,4,0,6,2,0,0,1054,1610612751,1610612737,1,0,0,0,0,4,4
21301207,1,0,2,1,4,1,1149,1610612766,1610612737,1,2,1,0,0,1,3
21301217,4,1,8,2,3,3,1167,1610612749,1610612737,0,2,2,0,0,4,8
21400032,3,1,4,2,3,2,1207,1610612754,1610612737,0,2,0,0,1,3,7
21400064,3,1,7,3,0,0,940,1610612759,1610612737,0,0,0,0,0,2,7
21400071,5,2,7,3,0,0,1379,1610612766,1610612737,0,3,1,0,0,3,8
21400084,2,0,3,0,3,2,1059,1610612752,1610612737,1,0,0,1,2,2,2
21400100,3,1,4,2,0,0,991,1610612752,1610612737,0,0,0,0,0,2,5
21400110,3,1,5,2,2,1,1154,1610612762,1610612737,1,0,0,0,2,0,6
21400124,1,0,2,1,1,1,762,1610612748,1610612737,1,1,0,0,0,4,3
21400133,0,0,0,0,0,0,299,1610612739,1610612737,1,0,0,1,0,0,0
21400155,4,0,9,2,0,0,1069,1610612747,1610612737,5,0,0,0,0,4,4
21400174,3,0,5,2,2,2,960,1610612765,1610612737,2,1,1,1,0,1,6
