@relation Rajon_Rondo
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,0,9,4,0,0,1165,1610612747,1610612738,1,4,2,0,1,0,8
0,0,10,3,0,0,1280,1610612753,1610612738,1,4,1,0,3,0,6
3,0,8,0,4,1,1543,1610612748,1610612738,0,5,1,0,3,1,1
2,1,7,2,0,0,1303,1610612760,1610612738,0,8,0,0,3,0,5
6,2,14,5,1,1,1821,1610612751,1610612738,0,8,1,0,5,1,13
1,0,13,3,1,1,1646,1610612752,1610612738,0,5,1,0,4,1,7
3,1,11,9,0,0,1597,1610612753,1610612738,0,10,3,0,4,4,19
2,0,8,4,0,0,1926,1610612755,1610612738,0,11,2,0,3,1,8
6,3,12,6,0,0,2193,1610612742,1610612738,0,12,1,0,0,0,15
5,4,7,6,0,0,1869,1610612759,1610612738,0,4,2,0,1,0,16
2,0,22,7,5,4,2133,1610612756,1610612738,2,10,0,0,3,2,18
3,1,12,2,2,1,2056,1610612747,1610612738,0,11,1,0,2,3,6
0,0,13,6,6,6,1983,1610612762,1610612738,2,10,1,0,5,3,18
4,1,14,8,6,5,2136,1610612737,1610612738,0,11,3,0,3,4,22
6,3,12,4,2,1,2308,1610612754,1610612738,0,11,0,0,2,4,12
5,1,14,6,4,1,2231,1610612744,1610612738,0,7,1,1,7,3,14
6,3,14,6,8,5,2104,1610612751,1610612738,1,9,4,0,7,2,20
6,1,15,5,0,0,1991,1610612765,1610612738,0,18,2,0,0,2,11
2,0,15,4,0,0,2445,1610612754,1610612738,1,8,2,0,2,4,8
3,0,15,4,0,0,2063,1610612756,1610612738,4,5,1,0,2,4,8
4,0,14,3,2,0,2669,1610612740,1610612738,0,14,1,0,2,3,6
2,0,8,4,2,1,2327,1610612748,1610612738,0,15,0,0,4,5,9
3,1,10,3,6,5,2175,1610612751,1610612738,1,12,0,0,0,1,12
2,0,9,3,4,3,1918,1610612761,1610612738,1,15,2,0,1,3,9
0,0,8,5,2,1,1988,1610612761,1610612738,1,8,0,0,3,1,11
6,2,13,7,2,1,2279,1610612741,1610612738,0,11,2,0,6,3,17
3,0,13,6,1,1,1915,1610612764,1610612738,1,6,1,1,7,2,13
0,0,7,4,5,3,2285,1610612755,1610612738,2,16,0,0,7,3,11
4,2,15,8,3,1,2444,1610612737,1610612738,1,12,3,0,5,4,19
0,0,8,4,1,0,2098,1610612755,1610612738,3,14,2,0,4,1,8
3,1,9,6,4,0,1785,1610612751,1610612738,0,12,1,1,3,1,13
1,0,9,2,0,0,2063,1610612745,1610612738,3,8,3,0,5,3,4
1,0,11,3,2,1,2214,1610612742,1610612738,3,15,2,0,5,4,7
