@relation Rashard_Lewis
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,1,8,4,3,2,1208,1610612755,1610612748,0,5,1,0,1,2,11
0,0,0,0,0,0,374,1610612751,1610612748,0,1,1,0,0,2,0
3,1,3,1,0,0,308,1610612764,1610612748,0,1,1,0,0,1,3
2,1,4,1,2,1,1278,1610612761,1610612748,0,5,0,0,1,3,4
1,1,1,1,1,1,456,1610612746,1610612748,0,0,0,0,0,2,4
2,1,4,1,2,1,834,1610612738,1610612748,0,0,0,0,0,4,4
1,1,3,3,0,0,1415,1610612749,1610612748,1,1,2,0,0,1,7
5,3,6,4,0,0,1716,1610612742,1610612748,0,2,1,0,1,1,11
3,1,7,3,2,2,1995,1610612766,1610612748,2,0,0,0,1,1,9
2,0,4,1,0,0,1548,1610612737,1610612748,1,3,5,0,2,2,2
1,0,4,1,0,0,1491,1610612753,1610612748,2,3,2,0,2,1,2
3,0,6,2,0,0,1050,1610612753,1610612748,0,0,0,0,0,2,4
1,0,1,0,0,0,464,1610612756,1610612748,1,0,0,0,1,1,0
2,0,3,1,3,2,1330,1610612739,1610612748,0,1,3,0,1,2,4
4,1,4,1,0,0,1114,1610612761,1610612748,0,1,0,0,0,2,3
0,0,1,0,0,0,371,1610612766,1610612748,0,0,0,0,0,0,0
1,0,1,0,0,0,762,1610612765,1610612748,0,1,1,2,0,3,0
2,1,2,1,0,0,1353,1610612741,1610612748,1,0,3,0,0,1,3
4,2,7,4,0,0,1712,1610612750,1610612748,0,2,2,0,2,4,10
5,3,5,3,0,0,1367,1610612765,1610612748,1,0,0,0,1,2,9
2,0,3,1,0,0,1264,1610612754,1610612748,0,0,1,1,0,4,2
7,2,7,2,0,0,1425,1610612739,1610612748,0,1,0,1,1,1,6
3,1,3,1,0,0,1637,1610612762,1610612748,1,1,2,1,0,1,3
3,1,5,1,0,0,929,1610612754,1610612748,1,1,2,0,1,1,3
1,1,4,2,0,0,1155,1610612758,1610612748,1,2,1,0,0,0,5
2,0,5,3,0,0,1116,1610612737,1610612748,0,1,0,0,1,1,6
5,1,5,1,0,0,1160,1610612747,1610612748,1,2,1,0,1,3,3
1,0,5,1,0,0,832,1610612758,1610612748,1,0,1,0,2,0,2
2,2,5,4,0,0,995,1610612757,1610612748,0,0,2,0,0,1,10
1,0,2,1,0,0,440,1610612743,1610612748,0,0,1,0,1,1,2
6,3,11,6,3,3,1882,1610612753,1610612748,0,2,3,1,1,1,18
1,0,2,1,0,0,696,1610612761,1610612748,0,1,0,0,0,4,2
3,0,5,1,0,0,996,1610612740,1610612748,0,0,1,0,0,0,2
3,2,3,2,0,0,1541,1610612752,1610612748,1,2,0,1,1,3,6
4,2,9,5,0,0,1769,1610612751,1610612748,0,1,2,0,1,4,12
0,0,0,0,0,0,54,1610612764,1610612748,0,0,0,0,0,0,0
2,1,4,2,0,0,810,1610612755,1610612748,1,0,1,0,3,5,5
3,1,5,3,0,0,927,1610612766,1610612748,0,0,0,0,0,0,7
2,0,2,0,0,0,509,1610612737,1610612748,0,2,2,0,0,1,0
2,1,4,1,0,0,386,1610612738,1610612748,0,0,0,0,0,1,3
1,0,2,0,0,0,642,1610612747,1610612748,1,0,0,1,1,2,0
1,0,1,0,0,0,274,1610612759,1610612748,0,0,0,0,0,0,0
0,0,0,0,0,0,106,1610612760,1610612748,0,1,1,0,0,0,0
1,0,2,0,2,1,642,1610612756,1610612748,0,0,0,0,0,1,1
0,0,0,0,0,0,409,1610612752,1610612748,0,0,0,0,0,0,0
0,0,0,0,0,0,176,1610612753,1610612748,0,0,0,0,0,0,0
0,0,0,0,0,0,84,1610612766,1610612748,0,0,0,0,0,0,0
0,0,0,0,0,0,104,1610612759,1610612748,0,0,0,0,0,0,0
2,1,2,1,2,2,1457,1610612754,1610612748,1,1,1,0,0,2,5
2,1,6,4,0,0,1120,1610612765,1610612748,0,1,1,0,1,0,9
3,1,10,4,4,4,1219,1610612749,1610612748,0,1,1,0,0,1,13
2,0,4,1,0,0,1170,1610612761,1610612748,1,2,1,0,1,2,2
3,1,6,3,0,0,974,1610612749,1610612748,1,2,0,0,2,3,7
4,1,8,2,2,1,1000,1610612750,1610612748,0,1,2,0,0,2,6
1,0,2,1,2,2,342,1610612752,1610612748,0,0,0,0,0,2,4
2,1,7,4,0,0,1693,1610612751,1610612748,1,0,2,0,2,2,9
6,4,8,5,3,3,1441,1610612763,1610612748,0,3,0,0,0,1,17
2,0,8,1,2,1,1225,1610612754,1610612748,1,1,1,0,1,1,3
4,1,4,1,0,0,1124,1610612737,1610612748,1,1,0,0,1,1,3
1,0,3,1,0,0,390,1610612764,1610612748,1,1,1,0,0,1,2
