@relation Reggie_Evans
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300004,0,0,5,1,3,2,949,1610612739,1610612751,4,0,0,1,1,3,4
21300028,0,0,0,0,2,1,359,1610612748,1610612751,0,0,0,0,1,3,1
21300043,0,0,1,0,0,0,532,1610612753,1610612751,1,0,0,0,0,2,0
21300052,0,0,4,2,4,1,826,1610612762,1610612751,1,0,0,1,1,5,5
21300077,0,0,0,0,2,2,849,1610612764,1610612751,2,0,0,0,3,2,2
21300121,0,0,2,1,2,2,746,1610612758,1610612751,2,0,0,0,1,1,4
21300132,0,0,1,0,0,0,222,1610612756,1610612751,0,0,1,0,0,1,0
21300146,0,0,2,1,0,0,1305,1610612746,1610612751,2,0,0,0,1,4,2
21300150,0,0,4,1,3,3,1644,1610612757,1610612751,3,1,0,0,0,1,5
21300161,0,0,1,0,0,0,1010,1610612766,1610612751,0,0,0,0,0,2,0
21300182,0,0,1,0,0,0,922,1610612750,1610612751,1,0,0,0,4,1,0
21300197,0,0,0,0,2,1,935,1610612765,1610612751,1,0,1,0,2,2,1
21300218,0,0,0,0,0,0,220,1610612747,1610612751,1,0,0,0,0,0,0
21300234,0,0,4,2,0,0,1121,1610612745,1610612751,0,0,1,0,0,2,4
21300263,0,0,1,0,6,3,877,1610612743,1610612751,4,0,0,0,1,0,3
21300295,0,0,2,2,2,0,632,1610612749,1610612751,1,0,0,0,1,2,4
21300334,0,0,2,1,2,1,640,1610612765,1610612751,1,1,0,0,3,1,3
21300374,0,0,1,0,0,0,363,1610612764,1610612751,1,0,0,0,0,2,0
21300418,0,0,1,1,6,3,1215,1610612741,1610612751,6,0,2,0,1,3,5
21300429,0,0,2,1,4,3,1224,1610612749,1610612751,5,0,1,0,1,5,5
21300437,0,0,1,1,4,2,768,1610612754,1610612751,2,0,0,0,1,2,4
21300476,0,0,0,0,4,1,684,1610612760,1610612751,0,1,1,0,2,1,1
21300491,0,0,6,3,4,2,1648,1610612739,1610612751,2,0,1,0,1,2,8
21300506,0,0,1,1,2,0,700,1610612737,1610612751,3,1,1,0,0,2,2
21300537,0,0,1,1,0,0,439,1610612748,1610612751,1,0,1,0,1,0,2
21300543,0,0,1,0,0,0,556,1610612761,1610612751,2,0,1,0,0,1,0
21300692,0,0,3,0,0,0,160,1610612760,1610612751,1,1,0,0,0,0,0
21300697,0,0,0,0,0,0,263,1610612754,1610612751,0,0,0,0,1,1,0
21300712,0,0,2,1,6,3,931,1610612755,1610612751,0,0,1,0,0,1,5
21300744,0,0,10,3,7,5,1218,1610612765,1610612751,6,0,1,0,1,2,11
21300837,0,0,0,0,0,0,480,1610612743,1610612758,1,0,1,0,1,2,0
21300852,0,0,5,3,4,2,1441,1610612745,1610612758,6,1,2,0,0,6,8
21300872,0,0,7,3,4,2,1136,1610612747,1610612758,4,2,3,0,1,1,8
21300881,0,0,2,1,2,2,812,1610612750,1610612758,3,1,0,0,1,2,4
21300897,0,0,7,5,2,0,1829,1610612740,1610612758,5,0,0,1,1,3,10
21300910,0,0,4,3,10,7,1627,1610612749,1610612758,1,1,0,0,0,5,13
21300919,0,0,4,3,10,2,1543,1610612761,1610612758,2,2,0,0,1,3,8
21300938,0,0,2,0,4,3,1019,1610612751,1610612758,2,0,2,0,5,3,3
21300951,0,0,6,3,0,0,1339,1610612765,1610612758,4,0,3,0,2,3,6
21300959,0,0,1,1,0,0,185,1610612755,1610612758,0,0,0,0,0,0,2
21300986,0,0,4,2,2,1,1457,1610612741,1610612758,4,1,0,0,0,2,5
21300991,0,0,6,4,0,0,1115,1610612750,1610612758,1,1,1,0,2,1,8
21301006,0,0,5,2,4,3,1496,1610612764,1610612758,1,0,2,0,0,2,7
21301030,0,0,3,1,2,0,1251,1610612759,1610612758,3,0,0,0,0,3,2
21301043,0,0,5,1,4,4,1634,1610612749,1610612758,5,0,1,0,2,4,6
21301069,0,0,2,1,0,0,962,1610612752,1610612758,0,1,0,0,0,1,2
21301083,0,0,4,1,2,2,1105,1610612760,1610612758,3,1,2,0,3,1,4
21301090,0,0,5,3,1,0,1747,1610612742,1610612758,4,1,2,0,2,5,6
21301108,0,0,1,1,2,1,1388,1610612740,1610612758,2,0,1,0,3,5,3
21301126,0,0,3,1,2,1,1026,1610612747,1610612758,1,0,1,0,0,2,3
21301141,0,0,3,2,2,1,863,1610612744,1610612758,1,0,0,0,1,1,5
21301151,0,0,2,1,0,0,1087,1610612742,1610612758,0,1,0,0,1,3,2
21301172,0,0,4,2,0,0,1371,1610612757,1610612758,3,3,2,0,4,4,4
21301189,0,0,6,4,8,6,2062,1610612746,1610612758,6,0,1,0,0,3,14
21400014,0,0,3,0,0,0,414,1610612744,1610612758,2,1,0,0,1,0,0
21400025,0,0,7,2,0,0,1410,1610612757,1610612758,2,1,0,0,2,4,4
21400039,0,0,0,0,2,1,381,1610612746,1610612758,0,0,0,0,0,2,1
21400047,0,0,2,1,0,0,1351,1610612743,1610612758,3,0,2,1,0,4,2
21400067,0,0,4,2,5,2,1124,1610612743,1610612758,1,1,0,0,0,2,6
21400079,0,0,3,0,6,5,672,1610612756,1610612758,2,2,0,1,2,3,5
21400092,0,0,4,2,1,1,831,1610612760,1610612758,2,1,1,0,1,0,5
21400106,0,0,1,0,2,1,811,1610612742,1610612758,2,0,0,0,0,2,1
21400118,0,0,2,1,0,0,750,1610612763,1610612758,2,0,1,0,1,3,2
21400244,0,0,10,7,6,3,2098,1610612763,1610612758,9,1,1,1,2,4,17
21400261,0,0,3,3,6,4,1936,1610612761,1610612758,3,1,0,0,1,4,10
21400287,0,0,2,0,2,0,1517,1610612754,1610612758,1,1,0,0,1,2,0
21400292,0,0,2,0,4,3,630,1610612753,1610612758,3,0,0,0,0,1,3
21400306,0,0,4,2,4,2,2055,1610612762,1610612758,0,1,1,0,0,4,6
21400315,0,0,3,3,2,2,1829,1610612747,1610612758,5,1,1,0,2,3,8
21400327,0,0,2,2,6,1,1067,1610612745,1610612758,2,0,1,0,2,3,5
21400347,0,0,1,0,0,0,907,1610612765,1610612758,1,0,0,0,3,2,0
21400368,0,0,6,2,0,0,1130,1610612760,1610612758,3,1,0,1,1,2,4
21400402,1,0,1,0,2,2,422,1610612747,1610612758,3,0,0,0,0,1,2
21400442,1,0,13,5,2,1,1895,1610612756,1610612758,9,1,1,0,3,4,11
21400451,0,0,2,1,2,2,969,1610612752,1610612758,2,0,1,0,0,2,4
21400461,0,0,2,0,0,0,477,1610612751,1610612758,2,0,0,0,2,1,0
21400475,0,0,0,0,2,1,684,1610612738,1610612758,1,1,1,0,1,1,1
21400598,0,0,5,2,0,0,1468,1610612748,1610612758,2,1,0,0,0,2,4
21400607,0,0,5,3,2,2,1137,1610612746,1610612758,2,0,0,0,1,4,8
21400621,0,0,2,0,4,3,838,1610612757,1610612758,2,0,0,0,0,1,3
21400635,0,0,0,0,0,0,170,1610612751,1610612758,0,0,0,0,1,0,0
21400764,0,0,7,2,6,3,1350,1610612762,1610612758,5,0,1,0,1,3,7
21400773,0,0,1,1,2,2,799,1610612756,1610612758,0,3,0,0,0,2,4
21400785,0,0,2,1,2,1,899,1610612741,1610612758,2,2,0,0,0,1,3
21400867,0,0,3,0,4,3,1260,1610612759,1610612758,1,1,0,0,3,2,3
21400879,0,0,1,0,4,3,881,1610612757,1610612758,3,2,0,0,1,1,3
21400913,0,0,0,0,0,0,315,1610612753,1610612758,0,0,0,0,0,0,0
21400925,0,0,1,0,2,2,416,1610612748,1610612758,0,0,0,0,0,1,2
21400977,0,0,3,2,3,2,1058,1610612764,1610612758,0,0,1,0,2,2,6
21400852,0,0,1,1,0,0,1603,1610612763,1610612758,2,1,2,0,2,3,2
21400998,0,0,0,0,2,1,494,1610612737,1610612758,0,0,2,0,0,1,1
21401029,0,0,5,2,0,0,1238,1610612766,1610612758,5,2,0,0,4,2,4
21401042,0,0,2,0,0,0,886,1610612764,1610612758,1,1,2,0,1,1,0
21401058,0,0,2,1,0,0,252,1610612755,1610612758,0,0,0,0,0,1,2
21401072,0,0,0,0,0,0,400,1610612756,1610612758,2,0,0,0,1,0,0
21401083,0,0,0,0,0,0,278,1610612740,1610612758,0,0,0,0,0,0,0
21401105,0,0,4,3,2,1,1090,1610612763,1610612758,3,1,1,0,1,3,7
21401170,0,0,4,3,4,2,879,1610612762,1610612758,0,2,0,0,0,2,8
21401183,0,0,3,0,0,0,367,1610612760,1610612758,1,0,1,0,0,0,0
