@relation Robbie_Hummel
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300027,1,0,3,0,0,0,415,1610612760,1610612750,0,0,1,0,0,2,0
21300067,0,0,0,0,0,0,87,1610612744,1610612750,0,0,0,0,0,0,0
21300080,2,0,3,1,0,0,657,1610612742,1610612750,0,0,0,0,0,1,2
21300097,0,0,1,1,0,0,142,1610612747,1610612750,1,0,0,0,1,0,2
21300115,4,2,6,4,0,0,1692,1610612739,1610612750,0,1,0,0,0,3,10
21300131,2,0,2,0,0,0,801,1610612743,1610612750,1,1,1,0,0,0,0
21300142,5,2,7,3,0,0,1227,1610612738,1610612750,1,1,0,1,0,4,8
21300156,2,2,3,2,1,1,1344,1610612764,1610612750,0,1,0,0,0,1,7
21300168,3,0,5,1,2,2,832,1610612746,1610612750,1,0,1,0,1,2,4
21300182,8,1,9,2,0,0,1409,1610612751,1610612750,0,1,1,0,0,2,5
21300192,1,0,2,0,0,0,489,1610612745,1610612750,2,1,0,0,0,1,0
21300203,0,0,1,0,0,0,647,1610612754,1610612750,2,0,2,0,0,3,0
21300223,0,0,1,0,0,0,113,1610612743,1610612750,0,0,0,0,1,2,0
21300253,0,0,0,0,0,0,47,1610612760,1610612750,1,0,0,0,0,0,0
21300275,4,1,10,4,0,0,2113,1610612759,1610612750,3,0,1,0,1,2,9
21300294,2,2,3,2,2,2,745,1610612748,1610612750,1,0,0,0,0,1,8
21300315,0,0,6,4,0,0,615,1610612765,1610612750,2,0,0,0,0,1,8
21300322,3,2,6,4,0,0,699,1610612755,1610612750,0,0,0,0,0,0,10
21300338,1,0,2,0,0,0,412,1610612759,1610612750,0,0,0,0,0,0,0
21300351,2,1,3,1,0,0,1075,1610612763,1610612750,1,2,0,0,0,0,3
21300358,1,0,4,1,0,0,1149,1610612738,1610612750,2,0,0,0,0,1,2
21300406,2,0,4,1,0,0,774,1610612746,1610612750,2,0,0,0,0,0,2
21300431,0,0,1,1,0,0,125,1610612764,1610612750,0,0,0,0,0,0,2
21300444,0,0,1,1,0,0,318,1610612749,1610612750,0,0,0,0,0,0,2
21300455,2,0,2,0,0,0,342,1610612742,1610612750,0,0,0,0,0,0,0
21300470,1,0,2,0,0,0,264,1610612740,1610612750,0,0,0,0,0,0,0
21300493,0,0,1,0,0,0,437,1610612760,1610612750,1,0,0,0,0,1,0
21300505,3,1,5,1,0,0,1213,1610612755,1610612750,3,1,1,0,0,2,3
21300732,3,1,5,2,0,0,1036,1610612760,1610612750,0,1,0,1,0,0,5
21300752,0,0,0,0,0,0,328,1610612757,1610612750,1,0,0,0,1,0,0
21300786,0,0,2,0,0,0,373,1610612743,1610612750,0,0,0,0,0,2,0
21300805,0,0,0,0,0,0,50,1610612754,1610612750,0,0,0,0,0,0,0
21300830,2,1,4,1,0,0,478,1610612762,1610612750,0,0,0,0,0,1,3
21300840,2,0,3,1,0,0,869,1610612757,1610612750,2,0,0,0,2,1,2
21300851,2,0,2,0,0,0,303,1610612756,1610612750,0,0,0,0,0,1,0
21300954,0,0,1,0,0,0,106,1610612749,1610612750,0,0,0,0,0,0,0
21300971,0,0,0,0,0,0,123,1610612766,1610612750,0,0,0,0,0,0,0
21300991,1,0,4,2,2,2,599,1610612758,1610612750,0,0,1,0,0,2,6
