@relation Robert_Sacre
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300017,0,0,1,1,0,0,456,1610612744,1610612747,0,0,0,1,1,0,2
21300056,0,0,3,0,2,1,284,1610612742,1610612747,1,1,0,0,0,0,1
21300110,0,0,2,0,2,1,342,1610612740,1610612747,1,1,0,1,1,2,1
21300218,0,0,2,1,0,0,462,1610612751,1610612747,0,0,0,1,0,0,2
21300233,0,0,1,1,4,2,791,1610612765,1610612747,0,0,0,1,1,1,4
21300255,0,0,8,5,2,2,1410,1610612757,1610612747,3,4,2,3,0,0,12
21300289,0,0,7,5,2,1,998,1610612758,1610612747,3,1,0,2,0,4,11
21300303,0,0,3,1,0,0,595,1610612761,1610612747,0,0,0,0,0,2,2
21300336,0,0,3,1,0,0,1013,1610612760,1610612747,4,2,0,1,1,1,2
21300342,0,0,5,2,0,0,946,1610612766,1610612747,1,0,1,0,0,3,4
21300357,0,0,4,3,0,0,950,1610612737,1610612747,0,1,0,1,0,2,6
21300366,0,0,1,0,6,5,1087,1610612763,1610612747,0,0,1,3,0,3,5
21300391,0,0,3,1,0,0,670,1610612750,1610612747,0,1,0,2,0,2,2
21300402,0,0,4,2,2,1,1180,1610612744,1610612747,1,1,0,2,1,0,5
21300416,0,0,3,1,2,1,558,1610612756,1610612747,1,0,0,0,1,1,3
21300433,0,0,2,0,0,0,542,1610612762,1610612747,0,0,0,0,0,1,0
21300452,0,0,4,2,1,1,688,1610612755,1610612747,1,2,0,1,0,1,5
21300467,0,0,0,0,0,0,295,1610612749,1610612747,0,0,0,1,2,2,0
21300488,0,0,6,2,0,0,1876,1610612762,1610612747,3,0,0,1,0,5,4
21300504,0,0,6,6,5,3,1612,1610612743,1610612747,1,0,2,0,1,2,15
21300516,0,0,9,3,2,1,1656,1610612742,1610612747,2,0,1,0,2,1,7
21300526,0,0,1,0,0,0,820,1610612745,1610612747,0,0,0,2,0,3,0
21300542,0,0,8,5,6,4,1101,1610612746,1610612747,3,0,1,0,2,2,14
21300565,0,0,2,2,0,0,637,1610612739,1610612747,0,0,0,0,0,2,4
21300586,0,0,2,1,2,1,360,1610612738,1610612747,2,0,0,0,0,0,3
21300601,0,0,4,1,0,0,351,1610612761,1610612747,0,0,0,0,0,1,2
21300613,0,0,5,2,0,0,933,1610612741,1610612747,1,1,1,3,1,1,4
21300631,0,0,4,2,0,0,628,1610612748,1610612747,1,0,0,0,0,2,4
21300633,0,0,1,0,0,0,644,1610612753,1610612747,0,0,1,1,1,4,0
21300655,0,0,3,0,0,0,336,1610612752,1610612747,0,0,0,0,0,1,0
21300674,0,0,2,0,0,0,732,1610612754,1610612747,0,1,0,0,0,4,0
21300695,0,0,5,2,2,2,890,1610612766,1610612747,3,1,0,0,0,3,6
21300722,0,0,8,5,4,4,1854,1610612750,1610612747,2,1,1,1,0,4,14
21300725,0,0,8,5,2,0,1638,1610612739,1610612747,1,0,0,1,0,6,10
21300741,0,0,9,2,2,1,1367,1610612755,1610612747,1,3,1,1,4,2,5
21300757,0,0,6,1,0,0,1220,1610612741,1610612747,1,0,0,0,0,3,2
21300776,0,0,4,2,0,0,566,1610612762,1610612747,1,0,0,1,1,1,4
21300791,0,0,4,3,0,0,676,1610612760,1610612747,1,2,1,0,4,3,6
21300811,0,0,6,2,0,0,1449,1610612745,1610612747,1,1,1,1,0,1,4
21300847,0,0,2,1,2,1,372,1610612754,1610612747,1,0,0,1,0,1,3
21300857,0,0,2,1,0,0,402,1610612763,1610612747,1,0,0,1,1,0,2
21300872,0,0,0,0,0,0,311,1610612758,1610612747,0,0,0,1,0,3,0
21300896,0,0,5,3,2,2,852,1610612757,1610612747,2,0,1,0,1,5,8
21300903,0,0,7,4,2,1,946,1610612740,1610612747,4,0,1,1,2,4,9
21300916,0,0,7,4,0,0,1367,1610612746,1610612747,1,1,0,0,2,2,8
21300925,0,0,6,3,4,2,1051,1610612743,1610612747,4,1,0,1,0,1,8
21300935,0,0,2,1,0,0,564,1610612760,1610612747,0,0,0,1,1,0,2
21300970,0,0,2,1,2,1,1300,1610612760,1610612747,2,0,0,1,1,3,3
21300978,0,0,6,3,2,2,1309,1610612759,1610612747,2,1,0,0,1,3,8
21301017,0,0,7,3,2,1,1562,1610612759,1610612747,2,0,1,1,0,2,7
21301031,0,0,8,5,1,1,1055,1610612764,1610612747,0,2,0,0,2,0,11
21301046,0,0,4,1,1,0,1356,1610612753,1610612747,1,0,0,1,2,2,2
21301060,0,0,4,4,0,0,1520,1610612752,1610612747,2,4,0,0,0,3,8
21301073,0,0,5,3,2,2,1593,1610612749,1610612747,1,3,2,0,0,3,8
21301081,0,0,11,6,4,2,1834,1610612750,1610612747,6,1,0,0,0,4,14
21301100,0,0,5,3,0,0,958,1610612756,1610612747,0,0,1,0,1,3,6
21301113,0,0,3,1,2,1,1108,1610612757,1610612747,1,1,0,2,0,0,3
21301126,0,0,7,3,2,2,1154,1610612758,1610612747,1,3,0,0,0,1,8
21301142,0,0,6,1,6,5,1019,1610612742,1610612747,2,0,0,0,1,1,7
21301150,0,0,8,3,4,3,1746,1610612746,1610612747,4,4,0,0,0,1,9
21301161,0,0,6,2,2,2,1174,1610612745,1610612747,1,0,0,1,1,6,6
21301188,0,0,2,1,2,2,1135,1610612744,1610612747,1,3,0,1,2,1,4
21301203,0,0,8,4,2,1,1846,1610612763,1610612747,0,2,3,1,2,2,9
21301211,0,0,8,6,0,0,1745,1610612762,1610612747,2,0,1,1,0,2,12
21301221,0,0,10,4,2,2,1435,1610612759,1610612747,1,1,0,0,0,5,10
21400003,0,0,5,1,0,0,427,1610612745,1610612747,0,0,1,0,0,1,2
21400013,0,0,4,2,2,2,720,1610612756,1610612747,0,1,0,0,1,0,6
21400026,0,0,3,2,4,4,826,1610612746,1610612747,1,0,0,0,3,2,8
21400038,0,0,4,2,0,0,417,1610612744,1610612747,1,0,0,0,2,1,4
21400097,0,0,4,2,4,2,682,1610612766,1610612747,1,0,0,1,0,1,6
21400104,0,0,2,1,0,0,308,1610612763,1610612747,0,2,0,0,0,0,2
21400114,0,0,0,0,0,0,190,1610612740,1610612747,0,0,1,0,0,0,0
21400131,0,0,5,1,0,0,864,1610612759,1610612747,1,0,0,0,0,0,2
21400145,0,0,8,5,0,0,912,1610612744,1610612747,1,1,1,0,0,1,10
21400155,0,0,4,2,0,0,743,1610612737,1610612747,0,1,0,0,0,3,4
21400169,0,0,2,1,0,0,417,1610612745,1610612747,0,0,0,0,0,2,2
21400180,0,0,5,5,2,0,968,1610612742,1610612747,1,1,0,0,1,3,10
21400197,0,0,6,4,6,5,1089,1610612743,1610612747,2,1,3,1,0,2,13
21400222,0,0,5,3,0,0,725,1610612763,1610612747,1,0,0,0,1,3,6
21400234,0,0,5,3,0,0,495,1610612750,1610612747,0,0,0,0,0,0,6
21400248,0,0,4,2,3,2,1130,1610612761,1610612747,3,0,0,2,1,0,6
21400255,0,0,8,1,2,1,1041,1610612765,1610612747,0,0,0,1,0,3,3
21400264,0,0,9,3,0,0,1213,1610612764,1610612747,1,3,0,2,0,1,6
21400279,0,0,10,1,0,0,1575,1610612738,1610612747,1,1,0,1,1,3,2
21400300,0,0,2,1,0,0,1001,1610612740,1610612747,0,0,1,0,0,0,2
21400315,0,0,3,2,0,0,846,1610612758,1610612747,3,1,0,1,0,2,4
21400339,0,0,3,2,0,0,1079,1610612759,1610612747,1,0,1,0,0,1,4
21400351,0,0,3,2,0,0,1127,1610612750,1610612747,1,1,0,0,1,4,4
21400356,0,0,2,0,2,1,1403,1610612754,1610612747,2,0,1,1,0,1,1
21400392,0,0,3,0,0,0,864,1610612760,1610612747,0,1,1,1,0,3,0
21400402,0,0,2,1,4,1,797,1610612758,1610612747,2,0,0,2,0,3,3
21400426,0,0,6,3,0,0,1387,1610612744,1610612747,2,3,0,2,0,1,6
21400430,0,0,2,1,0,0,880,1610612741,1610612747,1,1,0,2,0,2,2
21400439,0,0,2,1,0,0,936,1610612742,1610612747,2,0,0,0,1,1,2
21400458,0,0,3,1,2,1,844,1610612756,1610612747,0,0,0,0,0,1,3
21400471,0,0,0,0,0,0,794,1610612743,1610612747,1,1,0,0,1,2,0
21400494,0,0,0,0,0,0,771,1610612763,1610612747,0,0,0,1,0,1,0
21400508,0,0,1,0,0,0,762,1610612754,1610612747,1,1,0,1,0,1,0
21400517,0,0,2,1,1,1,849,1610612757,1610612747,2,0,1,0,0,2,3
21400534,0,0,2,0,0,0,621,1610612746,1610612747,2,0,0,0,1,3,0
21400548,0,0,2,0,2,1,485,1610612753,1610612747,2,1,0,0,0,1,1
21400632,0,0,2,0,0,0,629,1610612740,1610612747,0,0,1,1,0,2,0
21400648,0,0,8,2,4,3,1561,1610612759,1610612747,4,0,0,0,0,3,7
21400667,0,0,4,2,2,1,1276,1610612745,1610612747,1,1,0,0,2,3,5
21400680,0,0,9,3,0,0,1731,1610612764,1610612747,1,1,2,2,1,3,6
21400695,0,0,6,3,4,3,1825,1610612741,1610612747,4,4,0,2,0,6,9
21400717,0,0,6,0,2,2,1324,1610612752,1610612747,4,0,1,2,0,1,2
21400736,0,0,7,5,0,0,1181,1610612749,1610612747,2,1,0,0,0,2,10
21400748,0,0,12,4,2,2,1943,1610612753,1610612747,2,3,1,2,0,1,10
21400766,0,0,8,2,2,0,1440,1610612739,1610612747,2,2,2,2,2,0,4
21400787,0,0,4,2,2,0,1139,1610612743,1610612747,4,0,0,0,0,4,4
21400798,0,0,11,5,2,2,1608,1610612757,1610612747,2,2,0,0,1,5,12
21400829,0,0,2,0,0,0,681,1610612738,1610612747,0,1,0,0,0,0,0
21400868,0,0,7,4,6,4,1171,1610612749,1610612747,2,0,1,0,0,2,12
21400878,0,0,5,3,0,0,1103,1610612760,1610612747,0,1,1,2,0,2,6
21400905,0,0,3,1,0,0,1018,1610612748,1610612747,0,1,1,0,2,4,2
21400918,0,0,3,0,0,0,915,1610612763,1610612747,1,2,0,1,0,2,0
21400815,0,0,9,5,4,3,1184,1610612751,1610612747,4,2,1,1,2,1,13
21400851,0,0,2,1,4,4,1287,1610612762,1610612747,0,1,1,0,0,1,6
21401056,0,0,3,0,0,0,1133,1610612760,1610612747,1,2,2,0,2,3,0
21401067,0,0,5,2,0,0,942,1610612750,1610612747,1,2,0,0,1,2,4
21401080,0,0,7,2,4,3,1460,1610612761,1610612747,3,3,1,1,1,3,7
21401093,0,0,5,2,0,0,1186,1610612751,1610612747,0,1,1,0,1,0,4
21401102,0,0,6,3,0,0,1307,1610612755,1610612747,2,0,0,2,1,1,6
21401136,0,0,2,0,0,0,720,1610612757,1610612747,1,1,0,1,0,0,0
21401153,0,0,2,1,2,1,720,1610612746,1610612747,1,0,0,2,1,1,3
21401169,0,0,7,4,2,2,1589,1610612743,1610612747,2,1,0,0,3,2,10
21401186,0,0,7,3,2,1,774,1610612750,1610612747,1,1,0,0,1,2,7
21401230,1,0,7,3,0,0,1169,1610612758,1610612747,3,1,0,2,1,3,6
21500031,0,0,3,1,0,0,244,1610612758,1610612747,1,0,0,0,1,0,2
