@relation Rodney_Hood
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,1,6,2,0,0,1271,1610612745,1610612762,0,0,1,2,1,0,5
3,0,7,0,0,0,998,1610612742,1610612762,0,2,0,0,0,4,0
3,0,6,2,3,3,934,1610612756,1610612762,0,0,0,0,0,0,7
3,2,5,2,0,0,1088,1610612746,1610612762,0,3,0,0,1,2,6
5,2,6,2,0,0,828,1610612739,1610612762,2,1,1,0,0,1,6
1,0,1,0,0,0,356,1610612742,1610612762,0,0,1,0,0,0,0
3,0,6,0,2,2,826,1610612746,1610612762,0,1,0,0,0,0,2
2,0,3,1,2,0,639,1610612743,1610612762,0,1,0,1,2,1,2
7,2,8,3,2,2,1594,1610612761,1610612762,0,1,1,0,0,2,10
3,3,6,4,5,4,1536,1610612753,1610612762,0,0,0,0,0,5,15
2,0,3,0,0,0,1293,1610612758,1610612762,0,1,0,0,0,2,0
2,0,5,2,4,3,931,1610612759,1610612762,0,1,0,0,0,2,7
3,1,6,2,0,0,1112,1610612748,1610612762,0,0,0,0,1,5,5
2,0,5,1,2,1,1079,1610612764,1610612762,0,1,1,1,1,1,3
1,1,3,2,0,0,697,1610612740,1610612762,0,1,1,0,1,4,5
2,2,3,2,0,0,490,1610612748,1610612762,0,1,0,0,1,5,6
2,1,7,4,0,0,1359,1610612753,1610612762,1,2,1,0,1,2,9
2,0,4,1,2,2,1040,1610612766,1610612762,0,0,0,0,1,3,4
5,1,8,2,4,2,1285,1610612763,1610612762,1,4,0,0,1,3,7
4,0,6,0,0,0,1074,1610612755,1610612762,0,1,0,0,0,0,0
3,1,6,2,5,4,1783,1610612746,1610612762,0,5,2,1,3,5,9
2,0,5,2,0,0,1123,1610612750,1610612762,1,1,0,1,2,5,4
