@relation Rudy_Gay
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,1,18,8,3,2,2050,1610612738,1610612761,2,1,2,0,5,3,19
3,0,23,6,4,2,1930,1610612737,1610612761,2,1,0,2,2,2,14
5,2,14,4,10,8,2121,1610612749,1610612761,2,0,3,0,5,2,18
3,1,10,3,7,6,2014,1610612748,1610612761,3,2,1,0,4,4,13
1,0,21,8,5,4,2191,1610612766,1610612761,3,2,0,1,3,3,20
5,2,26,12,4,4,2113,1610612754,1610612761,2,0,3,3,2,2,30
3,1,11,5,0,0,1399,1610612762,1610612761,1,5,2,0,0,1,11
8,3,37,11,4,4,2963,1610612745,1610612761,1,2,4,1,2,6,29
6,4,18,8,4,3,2507,1610612763,1610612761,1,4,5,2,4,2,23
1,1,15,7,6,5,1932,1610612741,1610612761,2,1,0,1,4,2,20
3,1,27,12,7,5,2500,1610612757,1610612761,3,0,0,1,3,4,30
5,2,16,6,5,4,2130,1610612755,1610612761,0,8,0,2,4,2,18
1,0,16,6,6,5,1880,1610612764,1610612761,0,1,1,4,3,1,17
2,1,12,3,2,2,1929,1610612751,1610612761,1,4,0,1,7,3,9
3,1,21,9,7,2,2380,1610612748,1610612761,2,3,0,2,3,3,21
2,0,23,10,4,3,2298,1610612743,1610612761,2,3,3,2,2,1,23
3,1,12,6,6,5,2049,1610612744,1610612761,1,0,2,0,5,3,18
3,1,15,6,4,4,1935,1610612756,1610612761,1,3,2,1,1,3,17
3,0,12,8,9,8,2188,1610612756,1610612758,0,1,1,2,2,0,24
3,1,20,10,6,5,2368,1610612745,1610612758,1,4,4,1,4,5,26
0,0,6,1,3,2,1441,1610612766,1610612758,0,1,0,0,2,1,4
0,0,13,8,8,6,2159,1610612737,1610612758,1,3,3,1,3,1,22
3,0,13,7,2,0,2078,1610612748,1610612758,0,6,3,1,7,3,14
6,3,20,8,4,4,2332,1610612753,1610612758,2,2,0,1,2,3,23
1,0,12,2,8,7,2330,1610612740,1610612758,2,2,2,0,6,1,11
5,1,19,11,3,3,2392,1610612748,1610612758,1,1,1,1,5,2,26
2,0,20,10,6,4,2353,1610612759,1610612758,1,2,1,2,0,2,24
4,1,19,9,6,6,2530,1610612745,1610612758,2,2,1,0,2,4,25
1,0,11,7,5,4,1800,1610612755,1610612758,2,2,1,1,3,1,18
0,0,14,8,2,1,2454,1610612766,1610612758,4,4,0,0,4,2,17
5,3,16,10,9,9,1839,1610612757,1610612758,2,4,1,0,1,6,32
2,0,13,8,6,6,2184,1610612753,1610612758,1,5,0,1,3,2,22
5,3,12,8,1,1,1770,1610612739,1610612758,0,3,1,3,2,1,20
1,0,14,6,0,0,1774,1610612754,1610612758,0,2,3,0,2,1,12
3,3,19,12,6,6,2237,1610612750,1610612758,1,6,2,1,2,2,33
1,0,18,7,5,5,2229,1610612763,1610612758,2,3,0,0,4,2,19
