@relation Ryan_Kelly
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300056,1,1,1,1,0,0,182,1610612742,1610612747,1,0,0,0,0,0,3
21300110,2,1,2,1,1,0,227,1610612740,1610612747,0,0,0,0,0,1,3
21300336,2,0,4,1,0,0,321,1610612760,1610612747,1,0,0,1,0,0,2
21300357,0,0,0,0,0,0,405,1610612737,1610612747,1,2,0,0,0,2,0
21300402,0,0,0,0,0,0,264,1610612744,1610612747,0,0,0,0,0,0,0
21300416,1,0,2,1,1,1,557,1610612756,1610612747,0,0,0,0,1,2,3
21300420,1,1,2,1,2,1,1010,1610612748,1610612747,0,1,0,0,0,2,4
21300433,0,0,1,1,0,0,781,1610612762,1610612747,0,0,0,0,0,0,2
21300452,0,0,2,2,3,3,1054,1610612755,1610612747,2,0,0,2,2,3,7
21300467,3,1,6,2,2,1,1145,1610612749,1610612747,2,1,0,0,0,1,6
21300488,1,1,2,1,4,3,760,1610612762,1610612747,0,1,0,0,2,4,6
21300504,1,0,5,2,3,2,1131,1610612743,1610612747,0,1,0,0,0,1,6
21300516,4,1,5,1,2,2,1598,1610612742,1610612747,0,3,1,1,1,3,5
21300526,1,0,3,0,2,2,811,1610612745,1610612747,0,0,0,0,1,5,2
21300542,2,0,6,1,3,3,1118,1610612746,1610612747,1,2,0,0,0,5,5
21300565,4,0,5,1,1,1,721,1610612739,1610612747,1,0,0,0,1,2,3
21300574,4,1,7,3,2,2,1840,1610612756,1610612747,1,0,2,3,3,3,9
21300586,4,2,12,6,6,6,2046,1610612738,1610612747,1,0,0,1,1,5,20
21300601,2,1,7,5,6,6,2222,1610612761,1610612747,0,2,2,0,1,0,17
21300613,4,1,9,4,4,4,2073,1610612741,1610612747,3,2,0,0,1,5,13
21300631,4,1,10,3,2,0,1545,1610612748,1610612747,1,2,1,0,2,3,7
21300633,3,2,8,5,3,3,1802,1610612753,1610612747,0,2,0,1,0,4,15
21300655,1,1,2,2,0,0,1252,1610612752,1610612747,0,2,0,0,1,4,5
21300674,2,0,7,2,7,6,1153,1610612754,1610612747,1,2,1,2,0,3,10
21300695,4,1,10,4,4,4,2001,1610612766,1610612747,1,3,0,1,0,1,13
21300722,3,2,11,2,0,0,1258,1610612750,1610612747,0,3,1,0,1,4,6
21300725,7,3,16,8,9,7,2506,1610612739,1610612747,1,0,1,0,2,4,26
21300741,4,1,12,7,0,0,1877,1610612755,1610612747,1,2,2,0,2,0,15
21300757,2,0,5,0,0,0,952,1610612741,1610612747,0,1,0,1,0,1,0
21300776,0,0,1,1,3,1,1074,1610612762,1610612747,1,0,0,1,0,0,3
21300791,3,1,6,2,5,2,975,1610612760,1610612747,0,2,0,1,2,2,7
21300811,5,1,14,4,4,4,1759,1610612745,1610612747,1,3,0,2,1,3,13
21300824,0,0,0,0,0,0,738,1610612738,1610612747,0,0,0,1,1,3,0
21300847,2,1,4,3,0,0,873,1610612754,1610612747,0,1,0,2,0,4,7
21300857,1,1,1,1,0,0,610,1610612763,1610612747,0,0,0,3,0,1,3
21300872,1,1,2,2,0,0,952,1610612758,1610612747,0,1,0,2,0,1,5
21300896,1,0,4,2,0,0,701,1610612757,1610612747,1,0,2,0,0,3,4
21300903,0,0,2,2,0,0,1130,1610612740,1610612747,0,0,1,2,0,2,4
21300916,2,1,4,2,5,4,1268,1610612746,1610612747,0,0,1,0,0,0,9
21300925,8,4,14,7,6,6,1966,1610612743,1610612747,3,1,1,1,1,4,24
21300935,3,2,10,5,0,0,2220,1610612760,1610612747,0,8,1,2,0,2,12
21300970,2,2,8,4,2,2,1734,1610612760,1610612747,1,6,0,2,1,2,12
21300978,1,0,8,2,2,2,1994,1610612759,1610612747,0,2,1,1,0,3,6
21301017,4,1,9,3,8,7,2016,1610612759,1610612747,0,1,2,1,3,4,14
21301031,1,0,4,3,2,1,1158,1610612764,1610612747,0,1,0,0,0,5,7
21301046,1,1,5,4,0,0,1307,1610612753,1610612747,1,1,0,0,0,1,9
21301060,5,3,6,3,0,0,2038,1610612752,1610612747,0,8,2,0,1,3,9
21301073,1,0,3,1,3,3,984,1610612749,1610612747,1,0,1,0,1,2,5
21301081,3,1,11,4,0,0,1427,1610612750,1610612747,2,4,0,1,0,4,9
21301100,3,2,12,6,3,3,1773,1610612756,1610612747,0,2,2,2,1,1,17
21301113,3,1,8,3,2,2,1208,1610612757,1610612747,4,2,0,2,1,3,9
21301126,2,0,6,2,4,2,1682,1610612758,1610612747,1,2,0,2,0,3,6
21301142,2,0,6,1,2,1,884,1610612742,1610612747,0,4,2,0,1,3,3
21301150,4,0,11,3,0,0,1872,1610612746,1610612747,1,1,2,0,0,5,6
21301161,3,0,11,5,11,8,1913,1610612745,1610612747,0,2,1,1,0,4,18
21301188,4,2,11,5,2,2,2246,1610612744,1610612747,2,3,1,1,4,1,14
21301203,3,1,8,2,4,3,1469,1610612763,1610612747,0,3,1,1,2,5,8
21301211,4,0,9,2,0,0,1933,1610612762,1610612747,3,3,0,1,4,2,4
21301221,3,0,11,6,0,0,2196,1610612759,1610612747,1,2,0,0,1,3,12
21400056,0,0,2,1,0,0,425,1610612756,1610612747,0,0,0,0,0,1,2
21400131,1,1,3,1,2,2,724,1610612759,1610612747,0,1,1,0,0,1,5
