@relation Shane_Larkin
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300153,1,0,3,1,2,1,515,1610612755,1610612742,0,3,3,0,0,2,3
21300172,3,2,5,3,0,0,1008,1610612745,1610612742,1,2,2,0,4,2,8
21300184,0,0,2,1,1,0,911,1610612762,1610612742,0,1,2,0,1,1,2
21300195,1,0,3,0,2,2,836,1610612743,1610612742,1,1,0,0,1,1,2
21300207,0,0,1,0,0,0,258,1610612743,1610612742,0,0,0,0,1,0,0
21300225,1,0,8,3,2,1,1018,1610612744,1610612742,0,6,1,0,0,2,7
21300231,1,0,4,0,0,0,531,1610612737,1610612742,0,1,1,0,4,1,0
21300244,2,0,6,2,0,0,1005,1610612750,1610612742,0,1,2,0,0,1,4
21300266,1,0,4,0,0,0,539,1610612766,1610612742,0,0,0,0,0,0,0
21300309,3,1,8,4,1,1,679,1610612758,1610612742,0,2,3,0,1,1,10
21300326,0,0,2,1,0,0,687,1610612744,1610612742,0,4,1,0,2,1,2
21300348,0,0,6,2,2,1,1486,1610612749,1610612742,1,3,0,0,2,1,5
21300377,2,1,4,2,0,0,837,1610612763,1610612742,0,2,0,0,2,0,5
21300389,1,0,4,2,0,0,805,1610612761,1610612742,0,2,0,0,1,2,4
21300400,0,0,2,0,0,0,829,1610612756,1610612742,0,2,0,0,1,0,0
21300425,1,0,1,0,0,0,601,1610612759,1610612742,0,1,0,0,1,1,0
21300441,3,1,3,1,0,0,722,1610612741,1610612742,0,1,0,0,2,2,3
21300455,1,0,2,0,0,0,359,1610612750,1610612742,1,1,0,0,1,1,0
21300468,0,0,2,1,0,0,709,1610612764,1610612742,0,1,1,0,2,0,2
21300486,1,1,4,3,2,1,815,1610612746,1610612742,3,3,1,0,1,2,8
21300503,0,0,5,2,0,0,443,1610612752,1610612742,0,0,0,0,0,0,4
21300516,0,0,0,0,0,0,92,1610612747,1610612742,0,0,0,0,0,0,0
21300520,2,1,7,3,0,0,1032,1610612759,1610612742,0,2,0,0,3,0,7
21300536,1,1,3,2,0,0,850,1610612740,1610612742,1,6,0,0,2,1,5
21300549,1,0,3,0,0,0,648,1610612740,1610612742,1,0,0,0,0,3,0
21300577,1,0,3,1,0,0,348,1610612746,1610612742,0,0,0,0,0,0,2
21300591,3,2,8,6,5,4,1593,1610612756,1610612742,0,5,2,0,2,1,18
21300600,1,0,6,3,4,3,1397,1610612757,1610612742,0,4,1,0,1,3,9
21300606,2,1,3,1,0,0,1086,1610612739,1610612742,0,1,2,1,0,2,3
21300624,1,0,3,1,0,0,674,1610612761,1610612742,0,1,0,0,1,2,2
21300637,0,0,0,0,0,0,332,1610612751,1610612742,2,0,0,0,0,0,0
21300693,1,0,1,0,0,0,283,1610612758,1610612742,0,0,0,0,0,0,0
21300717,0,0,0,0,0,0,226,1610612739,1610612742,0,1,0,0,0,1,0
21300746,0,0,1,0,0,0,215,1610612762,1610612742,0,1,0,0,0,0,0
21300770,0,0,2,1,0,0,516,1610612766,1610612742,0,1,0,0,0,1,2
21300777,1,0,5,0,2,1,1358,1610612754,1610612742,0,5,0,0,1,3,1
21300798,0,0,0,0,0,0,54,1610612748,1610612742,0,0,0,0,0,0,0
21300817,0,0,0,0,0,0,190,1610612755,1610612742,0,0,0,0,0,2,0
21300828,0,0,0,0,0,0,23,1610612765,1610612742,0,0,0,0,0,0,0
21300856,0,0,0,0,0,0,149,1610612740,1610612742,0,1,0,0,0,1,0
21300912,0,0,1,1,0,0,287,1610612743,1610612742,0,1,0,0,0,1,2
21300956,1,0,4,0,0,0,942,1610612744,1610612742,0,3,3,0,0,0,0
21300992,0,0,1,1,0,0,247,1610612760,1610612742,0,0,0,0,2,0,2
21301028,0,0,0,0,0,0,71,1610612743,1610612742,0,0,1,0,0,0,0
21301044,0,0,4,2,2,1,766,1610612751,1610612742,0,1,0,0,0,2,5
21301159,0,0,0,0,0,0,15,1610612762,1610612742,0,0,0,0,0,0,0
21301174,0,0,1,1,0,0,32,1610612759,1610612742,0,0,0,0,0,1,2
21301195,1,1,2,1,0,0,347,1610612756,1610612742,0,1,0,0,0,1,3
21400010,2,0,6,2,2,2,1535,1610612741,1610612752,0,3,1,0,0,2,6
21400018,1,1,6,4,0,0,1693,1610612739,1610612752,1,5,5,0,3,0,9
21400041,2,1,7,3,2,2,1592,1610612766,1610612752,0,5,2,0,1,1,9
21400051,1,0,5,2,3,2,1560,1610612764,1610612752,0,1,0,0,1,4,6
21400061,1,0,4,2,0,0,1949,1610612765,1610612752,0,2,0,0,3,4,4
21400075,0,0,4,0,0,0,1143,1610612751,1610612752,1,0,1,0,1,0,0
21400084,2,1,8,4,0,0,1751,1610612737,1610612752,0,4,0,0,1,2,9
21400100,1,0,5,1,0,0,1495,1610612737,1610612752,0,2,3,0,0,3,2
21400113,1,1,5,2,4,4,1006,1610612753,1610612752,0,2,0,0,0,2,9
21400126,1,1,10,3,0,0,2258,1610612762,1610612752,1,4,3,0,0,2,7
21400142,1,1,5,3,0,0,1572,1610612743,1610612752,0,2,1,0,0,6,7
21400156,1,0,2,0,0,0,1321,1610612749,1610612752,0,1,0,0,1,2,0
21400167,1,0,6,2,0,0,1741,1610612750,1610612752,0,4,1,0,1,3,4
21400202,1,0,5,4,0,0,1312,1610612745,1610612752,0,3,3,0,1,2,8
21400214,2,1,5,1,0,0,872,1610612742,1610612752,1,0,1,0,0,3,3
21400229,2,1,4,2,2,2,1507,1610612760,1610612752,1,3,0,0,0,1,7
21400245,3,1,5,2,0,0,1012,1610612748,1610612752,0,1,1,0,2,2,5
21400256,4,2,5,2,2,2,1107,1610612751,1610612752,0,2,1,0,2,2,8
21400273,3,1,6,2,0,0,937,1610612739,1610612752,0,1,1,0,0,3,5
21400276,1,1,2,1,0,0,541,1610612766,1610612752,0,0,1,0,0,1,3
21400322,0,0,3,2,2,2,1500,1610612759,1610612752,1,4,0,0,1,3,6
21400331,2,1,3,2,0,0,1291,1610612738,1610612752,0,4,0,0,3,2,5
21400353,2,1,5,1,0,0,963,1610612761,1610612752,1,0,2,0,0,2,3
21400367,1,1,6,4,0,0,1794,1610612742,1610612752,1,2,2,0,0,3,9
21400379,0,0,7,2,2,1,1817,1610612741,1610612752,1,3,0,1,1,2,5
21400393,1,0,5,2,0,0,772,1610612756,1610612752,0,0,0,0,0,1,4
21400400,1,1,3,2,0,0,1027,1610612761,1610612752,0,1,0,0,1,2,5
21400427,1,1,2,2,0,0,703,1610612764,1610612752,0,0,1,0,0,1,5
21400451,3,0,8,4,6,6,2086,1610612758,1610612752,0,4,5,1,1,2,14
21400456,3,0,10,3,0,0,1824,1610612757,1610612752,1,5,1,0,0,3,6
21400477,1,0,7,3,0,0,1281,1610612746,1610612752,1,5,3,0,1,2,6
21400487,1,1,5,3,2,1,1540,1610612765,1610612752,0,2,2,0,0,1,8
21400506,2,0,4,1,0,0,1342,1610612749,1610612752,1,1,0,0,1,0,2
21400513,4,1,6,3,0,0,1830,1610612763,1610612752,0,8,2,0,1,2,7
21400525,4,2,8,4,0,0,1654,1610612764,1610612752,0,2,4,0,1,2,10
21400536,2,0,5,1,2,1,1800,1610612745,1610612752,0,5,4,0,3,1,3
21400549,3,1,9,5,1,1,1648,1610612766,1610612752,0,4,3,0,3,1,12
21400585,2,0,4,0,0,0,1151,1610612749,1610612752,0,1,0,0,3,5,0
21400618,0,0,5,2,0,0,911,1610612740,1610612752,0,4,0,0,0,0,4
