@relation Spencer_Dinwiddie
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,1,0,0,0,460,1610612743,1610612765,0,1,0,0,0,1,0
2,0,3,0,2,2,837,1610612756,1610612765,0,1,0,0,1,1,2
1,1,3,1,0,0,647,1610612749,1610612765,0,3,1,0,2,0,3
4,2,7,4,0,0,1031,1610612746,1610612765,0,4,0,0,0,1,10
2,0,4,1,0,0,842,1610612749,1610612765,0,3,1,0,0,3,2
4,0,6,1,1,1,852,1610612757,1610612765,0,3,0,0,0,0,3
3,0,4,1,0,0,526,1610612746,1610612765,0,1,0,0,0,1,2
0,0,1,1,0,0,165,1610612753,1610612765,0,1,1,0,0,0,2
1,0,3,1,2,2,422,1610612749,1610612765,0,2,1,0,1,0,4
2,0,4,1,0,0,639,1610612761,1610612765,0,2,0,1,0,3,2
1,0,3,1,0,0,714,1610612739,1610612765,0,3,0,1,2,0,2
2,0,6,1,4,4,819,1610612755,1610612765,0,2,1,1,1,2,6
1,0,2,1,0,0,657,1610612745,1610612765,0,2,0,0,2,1,2
0,0,0,0,0,0,392,1610612748,1610612765,0,2,0,0,0,1,0
0,0,0,0,0,0,215,1610612766,1610612765,0,0,0,0,0,0,0
0,0,1,0,0,0,113,1610612759,1610612765,0,1,0,0,0,0,0
2,1,9,5,2,1,1842,1610612741,1610612765,0,9,3,0,2,3,12
3,0,6,0,0,0,1063,1610612764,1610612765,0,7,0,0,2,2,0
2,0,4,0,0,0,556,1610612739,1610612765,0,0,0,0,2,0,0
4,1,14,8,3,3,1496,1610612764,1610612765,1,8,1,0,3,4,20
2,0,5,1,0,0,906,1610612740,1610612765,0,4,0,0,1,1,2
1,0,4,0,4,4,837,1610612745,1610612765,0,0,0,0,0,1,4
3,0,6,1,2,2,1155,1610612747,1610612765,0,6,1,1,1,6,4
4,2,9,3,0,0,1023,1610612744,1610612765,0,1,0,0,3,2,8
4,1,6,2,0,0,939,1610612757,1610612765,0,2,0,0,1,1,5
4,1,9,3,3,2,1202,1610612762,1610612765,1,6,2,0,0,2,9
2,1,6,2,0,0,817,1610612763,1610612765,0,1,0,0,1,2,5
4,1,11,3,3,3,1228,1610612741,1610612765,1,10,1,0,1,4,10
1,0,5,3,0,0,958,1610612738,1610612765,0,4,2,2,3,3,6
1,0,5,2,0,0,837,1610612761,1610612765,0,3,2,0,3,1,4
1,0,6,2,4,3,1009,1610612753,1610612765,0,6,2,0,0,2,7
1,0,5,0,2,2,718,1610612748,1610612765,0,1,0,0,1,1,2
0,0,0,0,0,0,250,1610612737,1610612765,0,2,0,0,0,2,0
0,0,1,1,2,0,424,1610612754,1610612765,0,0,0,0,2,3,2
3,1,9,6,5,4,1423,1610612747,1610612765,0,4,0,0,1,4,17
1,0,6,1,2,1,813,1610612739,1610612765,0,1,1,0,1,2,3
2,0,6,2,3,2,1229,1610612750,1610612765,0,2,1,0,0,2,6
0,0,7,2,3,2,986,1610612764,1610612765,0,2,0,0,0,3,6
1,0,4,1,4,2,1049,1610612749,1610612765,0,3,0,0,1,2,4
