@relation Spencer_Hawes
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300005,2,1,14,10,4,3,1763,1610612748,1610612755,3,2,0,0,2,4,24
21300022,6,3,12,6,2,1,1987,1610612764,1610612755,1,5,1,1,1,4,16
21300034,4,2,11,8,0,0,1823,1610612741,1610612755,3,2,1,3,2,1,18
21300048,2,1,6,1,4,2,1582,1610612744,1610612755,3,3,0,1,3,4,5
21300063,4,2,16,9,4,3,2315,1610612764,1610612755,2,5,1,2,6,3,23
21300076,3,2,6,3,2,2,1918,1610612739,1610612755,2,3,0,6,0,5,10
21300088,4,1,13,6,0,0,2537,1610612739,1610612755,2,2,0,0,4,4,13
21300100,4,2,13,6,3,3,1956,1610612759,1610612755,3,3,0,2,4,1,17
21300112,5,3,16,7,2,1,2148,1610612745,1610612755,3,4,3,3,3,4,18
21300127,3,1,11,5,4,3,1915,1610612737,1610612755,2,2,0,0,0,1,14
21300143,3,1,11,4,6,5,1499,1610612740,1610612755,1,3,0,0,1,2,14
21300153,3,1,11,4,2,1,2177,1610612742,1610612755,1,4,1,3,0,2,10
21300165,4,3,13,10,6,5,2221,1610612761,1610612755,2,3,0,1,2,5,28
21300177,6,3,16,11,0,0,2340,1610612749,1610612755,2,2,0,0,6,3,25
21300237,6,2,11,5,1,0,1523,1610612740,1610612755,0,2,0,3,1,1,12
21300250,4,1,15,5,0,0,1849,1610612765,1610612755,0,5,1,3,0,3,11
21300261,8,3,15,7,0,0,2431,1610612753,1610612755,2,1,1,1,2,2,17
21300280,5,2,9,3,2,2,1725,1610612766,1610612755,2,5,0,0,5,4,10
21300290,4,1,11,6,1,1,1809,1610612743,1610612755,2,2,0,2,3,2,14
21300305,2,0,6,1,0,0,1357,1610612746,1610612755,0,3,0,0,2,2,2
21300322,5,4,12,7,3,2,2050,1610612750,1610612755,0,3,0,3,2,3,20
21300331,2,0,10,5,6,5,2035,1610612761,1610612755,1,4,1,4,1,3,15
21300347,3,2,12,7,0,0,1482,1610612757,1610612755,1,1,0,1,3,3,16
21300359,2,0,5,1,0,0,1581,1610612751,1610612755,1,2,1,0,1,2,2
21300383,7,2,14,3,4,2,2450,1610612751,1610612755,1,8,1,0,2,2,10
21300398,3,2,15,10,3,3,2108,1610612749,1610612755,7,2,0,0,1,1,25
21300445,3,2,7,4,3,2,2063,1610612756,1610612755,1,3,0,2,5,3,12
21300452,4,2,12,7,4,3,1939,1610612747,1610612755,2,5,1,2,1,4,19
21300471,4,2,11,4,4,3,1901,1610612743,1610612755,1,4,2,1,1,4,13
21300481,3,1,11,4,1,1,1030,1610612758,1610612755,2,1,0,1,2,6,10
21300496,1,1,8,3,2,2,2006,1610612757,1610612755,1,7,4,0,2,5,9
21300505,3,1,6,3,0,0,1507,1610612750,1610612755,1,4,0,2,5,2,7
21300509,2,1,5,3,2,2,1362,1610612739,1610612755,2,2,1,2,0,1,9
21300532,8,3,14,6,1,1,2247,1610612765,1610612755,1,6,1,1,1,2,16
21300546,4,1,14,6,4,4,2475,1610612752,1610612755,1,5,0,1,4,5,17
21300567,6,3,12,7,0,0,2291,1610612766,1610612755,0,7,0,1,5,1,17
21300583,2,0,14,5,1,0,1642,1610612748,1610612755,4,4,1,1,3,1,10
21300596,4,1,8,3,2,2,1796,1610612741,1610612755,2,1,1,2,2,2,9
21300609,7,1,15,5,0,0,1846,1610612764,1610612755,3,2,2,1,2,3,11
21300626,2,1,3,1,2,1,1489,1610612752,1610612755,0,7,1,0,2,5,4
21300634,4,1,17,6,1,1,2047,1610612761,1610612755,4,4,1,0,2,1,14
21300648,5,2,15,6,0,0,1941,1610612760,1610612755,1,3,0,1,3,3,14
21300662,4,2,12,6,4,4,2023,1610612756,1610612755,4,1,0,1,4,6,18
21300678,6,4,14,7,2,2,2119,1610612738,1610612755,0,2,1,0,1,5,20
21300690,1,0,5,3,0,0,1063,1610612737,1610612755,1,2,0,0,1,3,6
21300700,3,0,8,2,0,0,1705,1610612765,1610612755,1,1,0,1,1,4,4
21300712,3,2,7,3,0,0,2106,1610612751,1610612755,2,6,0,1,6,2,8
21300726,2,0,13,5,3,3,2011,1610612738,1610612755,2,4,1,3,3,1,13
21300741,6,3,11,5,3,2,2010,1610612747,1610612755,1,3,0,0,2,3,15
21300763,3,0,8,0,0,0,1376,1610612746,1610612755,1,1,0,0,0,1,0
21300769,2,0,10,3,1,0,1523,1610612744,1610612755,0,4,2,0,0,4,6
21300787,5,2,16,6,2,2,2068,1610612762,1610612755,3,3,0,2,3,4,16
21300793,2,0,6,1,0,0,1767,1610612739,1610612755,0,3,0,2,1,2,2
21300818,3,1,10,3,0,0,1588,1610612761,1610612739,4,3,0,3,3,4,7
21300835,4,1,10,5,6,5,1935,1610612764,1610612739,3,4,0,1,1,1,16
21300846,4,3,12,6,0,0,1906,1610612761,1610612739,2,1,0,1,1,4,15
21300858,6,3,18,8,0,0,1895,1610612760,1610612739,3,1,0,0,2,2,19
21300867,2,1,12,6,0,0,2227,1610612762,1610612739,3,2,1,2,3,5,13
21300879,5,3,12,5,0,0,1997,1610612763,1610612739,1,3,0,1,2,3,13
21300898,4,3,9,7,5,3,2000,1610612759,1610612739,0,1,1,1,2,3,20
21300918,3,1,13,5,2,2,2172,1610612766,1610612739,0,1,0,0,1,5,13
21300928,7,4,15,7,3,3,2175,1610612752,1610612739,1,3,1,3,2,5,21
21300966,4,3,11,6,4,4,2049,1610612756,1610612739,1,3,0,0,4,4,19
21300980,7,1,18,8,6,5,2179,1610612744,1610612739,3,2,1,1,0,4,22
21300995,4,1,11,5,4,3,2026,1610612746,1610612739,2,1,0,0,2,5,14
21301003,3,0,10,5,2,1,2127,1610612748,1610612739,0,3,0,1,2,3,11
21301018,10,3,17,8,2,1,1848,1610612760,1610612739,0,3,0,0,3,3,20
21301033,2,0,8,1,2,1,990,1610612745,1610612739,2,2,0,1,2,2,3
21301045,1,1,5,3,0,0,1347,1610612752,1610612739,1,1,1,0,1,2,7
21301057,3,1,10,4,2,2,1308,1610612761,1610612739,1,1,0,3,2,3,11
21301064,2,0,4,2,1,0,1432,1610612765,1610612739,1,2,1,1,2,1,4
21301078,3,3,13,6,2,1,1338,1610612751,1610612739,3,2,0,2,2,0,16
21301094,2,1,9,5,2,2,1986,1610612754,1610612739,1,0,0,0,4,5,13
21301116,7,4,16,7,2,2,2010,1610612753,1610612739,0,5,0,0,1,1,20
21301132,3,1,14,6,4,3,2278,1610612737,1610612739,5,4,6,2,1,1,16
21301145,2,1,9,3,2,2,2136,1610612766,1610612739,1,4,0,0,1,2,9
21301162,3,3,8,6,0,0,1123,1610612765,1610612739,2,3,1,0,2,4,15
21301185,5,1,12,7,0,0,1505,1610612749,1610612739,0,2,0,2,3,6,15
21301193,2,1,4,1,0,0,1231,1610612738,1610612739,2,4,0,0,3,3,3
21301224,4,2,7,4,0,0,1431,1610612751,1610612739,1,3,0,2,2,2,10
21400020,3,0,6,2,0,0,1119,1610612760,1610612746,1,1,0,1,1,2,4
21400026,3,2,5,3,2,1,860,1610612747,1610612746,0,0,1,0,2,1,9
21400039,3,1,10,5,6,6,1354,1610612758,1610612746,1,1,1,1,2,4,17
21400048,0,0,1,0,0,0,903,1610612762,1610612746,0,1,0,1,0,1,0
21400068,2,0,7,1,4,3,1388,1610612744,1610612746,3,3,0,0,0,0,5
21400082,0,0,2,0,2,1,710,1610612757,1610612746,0,0,0,1,1,2,1
21400102,2,0,6,4,2,1,833,1610612759,1610612746,0,1,0,1,1,2,9
21400141,4,2,9,5,3,2,1096,1610612756,1610612746,0,0,0,3,4,1,14
21400154,5,2,7,3,0,0,1033,1610612741,1610612746,0,0,0,0,0,2,8
21400161,3,2,6,3,2,2,1259,1610612753,1610612746,0,1,0,4,0,1,10
21400170,3,1,5,2,2,1,1208,1610612748,1610612746,0,2,0,0,0,3,6
21400193,3,0,7,2,2,1,1463,1610612763,1610612746,2,1,0,0,0,2,5
21400198,2,0,2,0,0,0,512,1610612766,1610612746,0,1,0,0,0,4,0
21400216,0,0,5,1,2,2,1074,1610612765,1610612746,0,2,1,0,1,0,4
21400228,2,1,7,3,0,0,1087,1610612745,1610612746,1,2,1,0,0,3,7
21400239,2,0,3,1,2,0,1022,1610612762,1610612746,0,2,0,1,0,5,2
21400252,7,4,9,5,0,0,1205,1610612750,1610612746,0,2,0,1,0,5,14
21400272,4,2,7,5,0,0,994,1610612753,1610612746,0,2,1,0,3,2,12
21400293,2,0,4,1,0,0,1110,1610612740,1610612746,0,1,0,0,1,2,2
21400307,1,0,4,2,0,0,966,1610612756,1610612746,1,3,1,0,0,2,4
21400317,3,1,7,2,0,0,896,1610612754,1610612746,0,1,1,1,0,2,5
21400329,0,0,0,0,2,1,358,1610612764,1610612746,0,0,0,1,0,1,1
21400464,2,0,4,1,0,0,775,1610612762,1610612746,0,2,0,2,0,1,2
21400477,3,2,7,4,0,0,1381,1610612752,1610612746,0,2,1,0,1,2,10
21400502,4,1,9,3,0,0,1241,1610612755,1610612746,1,3,1,2,1,4,7
21400519,3,0,6,1,2,1,1044,1610612737,1610612746,0,0,0,0,3,2,3
21400534,4,1,6,2,4,2,801,1610612747,1610612746,0,2,1,0,0,2,7
21400550,3,1,6,2,2,1,1320,1610612742,1610612746,0,2,1,3,0,1,6
21400559,2,0,6,2,0,0,1053,1610612748,1610612746,0,1,0,0,0,3,4
21400583,1,0,3,0,0,0,1002,1610612757,1610612746,2,0,0,1,0,1,0
21400599,2,1,6,4,0,0,749,1610612739,1610612746,2,0,1,0,1,1,9
21400607,0,0,5,2,0,0,993,1610612758,1610612746,1,1,0,1,0,2,4
21400614,3,1,10,4,0,0,989,1610612738,1610612746,1,2,0,2,0,1,9
21400640,4,1,8,3,0,0,936,1610612751,1610612746,0,4,0,3,0,4,7
21400659,3,2,6,4,1,1,943,1610612756,1610612746,0,0,0,0,0,1,11
21400674,0,0,3,2,0,0,991,1610612743,1610612746,0,1,0,0,1,1,4
21400690,2,0,2,0,0,0,823,1610612762,1610612746,0,0,0,1,0,1,0
21400701,1,0,1,0,0,0,896,1610612740,1610612746,0,1,0,0,0,4,0
21400714,5,3,8,4,0,0,1450,1610612759,1610612746,1,1,3,0,2,3,11
21400720,1,1,3,1,0,0,1028,1610612751,1610612746,0,0,0,1,0,1,3
21400743,2,1,6,4,2,2,1062,1610612739,1610612746,1,0,1,0,2,3,11
21400752,2,1,5,4,0,0,979,1610612761,1610612746,1,0,0,0,1,5,9
21400765,5,2,16,7,2,1,2127,1610612760,1610612746,1,0,0,1,2,4,17
21400781,1,0,4,2,1,0,832,1610612742,1610612746,0,1,0,0,0,3,4
21400799,3,0,9,5,3,2,1150,1610612745,1610612746,1,1,0,0,0,4,12
21400802,1,0,7,3,2,1,1980,1610612759,1610612746,0,3,1,1,2,5,7
21400820,1,1,5,3,0,0,1236,1610612758,1610612746,1,1,0,2,3,5,7
21400837,4,1,12,4,0,0,1924,1610612763,1610612746,1,2,0,3,0,3,9
21400846,5,1,9,1,4,4,1855,1610612745,1610612746,1,1,1,1,4,4,7
21400864,3,1,8,3,2,0,1453,1610612763,1610612746,1,3,2,2,3,3,7
21400877,5,2,12,6,0,0,1386,1610612741,1610612746,2,1,1,3,1,3,14
21400888,7,2,12,3,0,0,1397,1610612750,1610612746,0,1,0,2,1,4,8
21400908,5,2,9,3,0,0,1551,1610612757,1610612746,0,4,0,2,0,3,8
21400932,0,0,6,2,0,0,1135,1610612744,1610612746,1,2,0,1,0,2,4
21400945,3,1,6,2,2,0,1367,1610612750,1610612746,0,3,1,0,0,4,5
21400957,4,1,7,1,2,1,1897,1610612760,1610612746,0,0,0,0,2,5,4
21400972,3,0,8,2,0,0,1072,1610612742,1610612746,0,5,0,0,0,1,4
21400983,0,0,1,0,0,0,207,1610612745,1610612746,1,2,0,0,0,0,0
