@relation Steve_Blake
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,2,3,2,0,0,1345,1610612746,1610612747,1,1,1,0,0,1,6
3,2,13,4,0,0,1900,1610612744,1610612747,0,4,2,0,2,1,10
9,2,12,2,0,0,1898,1610612759,1610612747,0,9,1,0,1,1,6
4,1,5,1,0,0,1944,1610612737,1610612747,1,7,0,0,0,1,3
7,3,7,3,0,0,1629,1610612742,1610612747,0,1,0,0,2,1,9
6,4,10,5,0,0,2038,1610612745,1610612747,0,2,0,0,0,4,14
5,2,11,4,4,3,2189,1610612740,1610612747,0,8,0,0,5,0,13
7,5,11,7,0,0,2082,1610612750,1610612747,0,8,3,0,1,0,19
2,1,4,1,2,2,1647,1610612740,1610612747,0,10,0,0,2,1,5
4,2,11,5,5,3,2027,1610612743,1610612747,0,11,0,0,3,2,15
4,1,9,4,0,0,2180,1610612763,1610612747,0,10,2,0,1,2,9
3,1,7,3,2,2,2107,1610612765,1610612747,0,16,4,0,4,3,9
3,2,6,3,6,6,1738,1610612744,1610612747,0,5,2,0,5,3,14
4,1,9,4,0,0,1858,1610612758,1610612747,0,12,0,1,2,1,9
5,2,11,6,1,1,1816,1610612764,1610612747,0,5,0,0,3,3,15
5,2,8,3,2,1,1750,1610612751,1610612747,0,10,0,0,1,1,9
