@relation Steve_Nash
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300003,1,1,3,1,0,0,1244,1610612746,1610612747,0,5,0,0,3,3,3
21300032,1,0,8,1,4,3,1400,1610612759,1610612747,0,5,0,1,2,1,5
21300046,2,1,13,5,2,2,1744,1610612737,1610612747,0,6,1,0,0,2,13
21300056,2,1,8,2,0,0,1222,1610612742,1610612747,1,4,0,0,1,0,5
21300072,5,2,11,3,4,4,1678,1610612745,1610612747,1,6,1,0,4,4,12
21300097,2,0,3,0,2,2,801,1610612750,1610612747,0,3,0,0,2,1,2
21300722,2,1,6,3,0,0,1477,1610612750,1610612747,0,9,1,0,2,0,7
21300741,2,0,15,8,4,3,1687,1610612755,1610612747,0,5,0,0,2,2,19
21300757,0,0,4,3,2,2,1274,1610612741,1610612747,0,2,0,0,3,1,8
21300776,2,0,4,1,0,0,995,1610612762,1610612747,0,2,0,0,0,0,2
21301031,2,1,4,2,0,0,1112,1610612764,1610612747,1,11,3,0,4,1,5
21301081,2,0,5,2,0,0,895,1610612750,1610612747,0,6,1,0,2,2,4
21301113,0,0,5,2,6,6,1308,1610612757,1610612747,0,10,0,1,1,1,10
21301142,0,0,3,2,0,0,1130,1610612742,1610612747,0,7,0,0,4,0,4
21301161,1,1,2,1,0,0,790,1610612745,1610612747,1,5,0,0,1,0,3
