@relation Steven_Adams
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300014,0,0,1,1,1,0,1106,1610612762,1610612760,2,1,0,0,0,3,2
21300027,0,0,5,2,6,4,1373,1610612750,1610612760,5,1,0,1,0,5,8
21300044,0,0,3,1,0,0,527,1610612756,1610612760,4,0,0,1,1,2,2
21300069,0,0,3,2,2,2,1210,1610612742,1610612760,2,0,2,1,0,1,6
21300078,0,0,10,7,4,3,1831,1610612765,1610612760,5,3,1,3,0,5,17
21300095,0,0,3,0,2,1,1174,1610612764,1610612760,1,0,0,2,1,2,1
21300122,0,0,4,3,2,1,1286,1610612746,1610612760,2,0,0,1,1,2,7
21300124,0,0,1,1,2,1,850,1610612744,1610612760,0,0,0,0,1,2,3
21300144,0,0,4,0,2,2,811,1610612749,1610612760,4,1,1,2,0,3,2
21300152,0,0,0,0,0,0,353,1610612743,1610612760,0,1,0,1,0,1,0
21300174,0,0,5,2,4,2,1421,1610612746,1610612760,3,2,0,3,1,4,6
21300200,0,0,5,1,2,1,1598,1610612762,1610612760,0,2,1,0,4,4,3
21300224,0,0,1,1,0,0,692,1610612759,1610612760,1,0,0,0,2,1,2
21300235,0,0,3,2,2,1,856,1610612744,1610612760,4,1,0,1,0,3,5
21300253,0,0,1,1,0,0,539,1610612750,1610612760,1,1,0,0,0,1,2
21300267,0,0,1,0,4,3,822,1610612758,1610612760,3,0,1,0,1,3,3
21300276,0,0,3,2,2,1,782,1610612757,1610612760,2,1,0,0,1,3,5
21300286,0,0,1,0,0,0,238,1610612740,1610612760,1,0,0,0,0,1,0
21300302,0,0,1,1,3,3,1072,1610612754,1610612760,2,2,1,2,2,4,5
21300313,0,0,3,2,0,0,660,1610612737,1610612760,2,1,0,1,0,1,4
21300320,0,0,2,1,2,1,952,1610612763,1610612760,2,0,1,0,3,4,3
21300336,0,0,0,0,2,1,913,1610612747,1610612760,3,3,0,2,0,5,1
21300353,0,0,3,2,2,2,1214,1610612753,1610612760,1,0,2,1,3,3,6
21300367,0,0,1,0,2,1,562,1610612743,1610612760,1,0,0,0,1,3,1
21300381,0,0,4,1,2,2,1633,1610612741,1610612760,3,0,4,2,2,5,4
21300399,0,0,3,1,4,2,1130,1610612759,1610612760,1,0,1,2,1,3,4
21300405,0,0,3,0,0,0,637,1610612761,1610612760,3,0,0,2,1,5,0
21300419,0,0,1,1,4,3,720,1610612752,1610612760,1,2,0,0,0,3,5
21300427,0,0,1,1,6,4,968,1610612766,1610612760,2,1,0,1,0,3,6
21300450,0,0,4,3,0,0,376,1610612745,1610612760,0,1,0,0,1,0,6
21300466,0,0,4,1,2,2,1188,1610612757,1610612760,1,1,0,0,3,3,4
21300476,0,0,3,2,4,3,854,1610612751,1610612760,1,2,2,0,2,3,7
21300493,0,0,5,4,2,2,932,1610612750,1610612760,4,0,0,2,2,2,10
21300502,0,0,2,0,0,0,277,1610612738,1610612760,1,0,0,0,0,1,0
21300518,0,0,3,2,0,0,723,1610612762,1610612760,2,0,0,0,1,3,4
21300530,0,0,1,1,2,1,1122,1610612743,1610612760,0,1,0,0,1,2,3
21300548,0,0,2,0,4,1,668,1610612749,1610612760,2,1,0,0,0,1,1
21300564,0,0,5,2,1,1,1271,1610612763,1610612760,4,0,1,0,0,4,5
21300580,0,0,2,1,4,3,618,1610612745,1610612760,2,1,0,0,2,6,5
21300592,0,0,4,3,0,0,657,1610612744,1610612760,3,0,1,0,1,6,6
21300603,0,0,2,0,0,0,1163,1610612758,1610612760,3,1,2,0,2,6,0
21300619,0,0,3,2,0,0,1039,1610612757,1610612760,2,1,0,1,0,2,4
21300630,0,0,2,0,2,1,850,1610612759,1610612760,4,0,1,0,2,3,1
21300636,0,0,4,1,2,1,1173,1610612738,1610612760,2,0,0,1,1,2,3
21300648,0,0,0,0,2,1,486,1610612755,1610612760,1,1,0,1,1,1,1
21300666,0,0,2,1,2,0,578,1610612737,1610612760,3,0,1,0,0,1,2
21300675,0,0,0,0,0,0,106,1610612748,1610612760,0,0,0,0,0,0,0
21300692,0,0,3,2,0,0,720,1610612751,1610612760,0,1,1,1,1,2,4
21300698,0,0,2,1,0,0,816,1610612764,1610612760,2,0,0,1,2,3,2
21300716,0,0,2,1,4,1,1356,1610612763,1610612760,3,1,1,4,1,5,3
21300732,0,0,0,0,0,0,491,1610612750,1610612760,1,0,0,1,1,0,0
