@relation Tayshaun_Prince
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300013,2,1,11,4,0,0,1186,1610612759,1610612763,0,1,0,0,0,1,9
21300026,2,1,6,3,2,1,1222,1610612765,1610612763,0,2,0,0,1,0,8
21300036,0,0,2,1,2,1,1037,1610612742,1610612763,0,1,1,0,3,1,3
21300049,0,0,4,2,0,0,1189,1610612738,1610612763,1,3,0,0,1,0,4
21300065,0,0,4,2,0,0,1006,1610612740,1610612763,0,1,0,1,2,1,4
21300091,2,0,7,3,4,4,2206,1610612744,1610612763,0,3,0,0,0,1,10
21300099,0,0,5,2,2,2,1551,1610612754,1610612763,0,1,0,0,0,0,6
21300114,1,0,8,3,0,0,2059,1610612761,1610612763,0,4,0,1,0,2,6
21300134,3,0,9,3,0,0,1659,1610612747,1610612763,0,1,2,1,0,1,6
21300148,1,0,8,3,0,0,1883,1610612758,1610612763,1,4,0,1,1,2,6
21300155,0,0,8,2,5,4,2146,1610612746,1610612763,0,2,0,0,1,1,8
21300173,0,0,8,4,0,0,2277,1610612744,1610612763,0,1,2,0,0,1,8
21300181,2,0,13,5,0,0,2143,1610612759,1610612763,0,2,0,1,0,0,10
21300206,1,1,10,7,2,1,2093,1610612745,1610612763,1,2,1,0,1,1,16
21300217,0,0,10,4,2,1,1910,1610612738,1610612763,0,1,0,0,1,1,9
21300243,0,0,4,0,0,0,1398,1610612751,1610612763,0,0,0,0,1,0,0
21300265,0,0,6,5,0,0,1855,1610612756,1610612763,1,0,1,0,0,1,10
21300278,0,0,5,0,2,1,1087,1610612746,1610612763,0,0,0,0,1,1,1
21300293,0,0,7,2,0,0,1182,1610612744,1610612763,1,0,1,0,1,0,4
21300307,0,0,8,3,0,0,2038,1610612753,1610612763,1,2,0,0,0,1,6
21300320,0,0,6,2,2,0,1715,1610612760,1610612763,1,1,2,0,1,0,4
21300335,1,0,8,2,0,0,1362,1610612740,1610612763,2,3,0,0,0,0,4
21300351,0,0,5,1,0,0,1563,1610612750,1610612763,0,1,3,0,1,1,2
21300366,0,0,1,0,0,0,549,1610612747,1610612763,0,0,0,0,1,1,0
21300424,2,1,7,4,0,0,1526,1610612745,1610612763,0,4,1,0,0,1,9
21300443,0,0,7,4,2,1,1440,1610612743,1610612763,2,2,1,0,1,0,9
21300454,0,0,2,1,2,1,1172,1610612741,1610612763,0,0,0,0,2,1,3
