@relation Thaddeus_Young
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300005,1,0,15,5,0,0,2060,1610612748,1610612755,4,2,2,0,5,2,10
21300022,0,0,20,14,2,1,1932,1610612764,1610612755,3,2,1,0,3,1,29
21300034,4,3,9,5,0,0,1725,1610612741,1610612755,0,2,1,1,1,2,13
21300048,2,0,10,3,0,0,1354,1610612744,1610612755,0,1,0,0,2,1,6
21300063,1,0,11,3,2,1,2045,1610612764,1610612755,3,2,1,0,2,1,7
21300076,1,0,12,8,1,0,2172,1610612739,1610612755,0,1,1,2,1,2,16
21300088,3,2,18,11,6,5,2566,1610612739,1610612755,0,2,3,0,1,5,29
21300100,2,0,7,3,2,1,1772,1610612759,1610612755,4,1,1,1,1,0,7
21300112,0,0,15,5,6,5,2434,1610612745,1610612755,1,2,1,1,2,1,15
21300127,1,0,15,7,3,3,1980,1610612737,1610612755,5,1,2,0,1,3,17
21300143,0,0,11,5,2,1,1438,1610612740,1610612755,2,1,2,0,2,4,11
21300153,0,0,18,6,0,0,1842,1610612742,1610612755,5,3,3,0,2,5,12
21300216,3,2,15,9,11,6,1708,1610612753,1610612755,3,0,1,0,0,3,26
21300237,4,2,15,6,4,1,2163,1610612740,1610612755,8,4,1,1,3,3,15
21300250,6,2,17,9,5,4,1767,1610612765,1610612755,2,0,1,2,2,6,24
21300261,6,3,20,10,2,2,2887,1610612753,1610612755,2,0,2,1,1,1,25
