@relation Tim_Frazier
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400750,1,0,9,2,5,1,2078,1610612738,1610612755,1,11,2,0,2,4,5
21400761,2,0,7,0,0,0,2200,1610612766,1610612755,0,8,1,0,4,2,0
21400775,2,1,11,4,2,1,2155,1610612744,1610612755,3,7,0,0,7,3,10
21400804,3,2,9,5,3,1,1956,1610612754,1610612755,0,7,1,0,4,4,13
21400825,2,0,6,2,3,2,1184,1610612753,1610612755,0,6,1,0,1,3,6
21400830,1,0,1,0,2,0,715,1610612748,1610612755,0,4,1,0,0,0,0
21401136,0,0,1,1,0,0,291,1610612747,1610612757,1,0,2,0,1,1,2
21400668,0,0,1,1,0,0,39,1610612751,1610612757,0,0,0,0,0,0,2
21401172,1,0,2,1,2,1,322,1610612750,1610612757,0,0,0,0,0,1,3
21401209,3,1,8,1,0,0,1619,1610612760,1610612757,0,7,0,0,1,5,3
21401218,2,1,6,4,4,4,1811,1610612742,1610612757,1,10,0,0,5,3,13
41400171,0,0,1,0,0,0,182,1610612763,1610612757,0,0,0,0,1,0,0
21500032,0,0,0,0,0,0,144,1610612756,1610612757,0,1,1,0,0,1,0
21500037,0,0,1,0,0,0,303,1610612756,1610612757,1,0,0,0,1,1,0
21500074,0,0,0,0,0,0,214,1610612763,1610612757,0,0,0,0,0,0,0
21500123,0,0,0,0,0,0,55,1610612759,1610612757,0,0,0,0,0,0,0
21500147,0,0,1,0,0,0,68,1610612766,1610612757,0,1,0,0,0,0,0
21500170,0,0,0,0,0,0,352,1610612745,1610612757,0,3,1,0,1,0,0
21500186,0,0,0,0,0,0,29,1610612746,1610612757,0,0,0,0,0,0,0
21500201,0,0,1,1,0,0,313,1610612747,1610612757,0,0,0,0,0,2,2
21500244,0,0,0,0,0,0,52,1610612747,1610612757,0,0,0,0,0,0,0
