@relation Trey_Burke
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,1,8,5,0,0,720,1610612740,1610612762,0,1,1,0,0,2,11
4,0,8,2,1,1,1176,1610612742,1610612762,1,3,0,0,2,1,5
2,0,9,2,0,0,1211,1610612760,1610612762,0,4,0,0,1,0,4
5,2,17,5,2,2,2053,1610612741,1610612762,0,4,1,0,5,3,14
4,1,14,6,0,0,1525,1610612756,1610612762,0,3,1,0,0,2,13
6,4,15,6,4,4,1932,1610612756,1610612762,2,3,2,0,1,4,20
6,3,18,9,0,0,2208,1610612745,1610612762,0,6,1,0,0,1,21
2,2,12,5,2,1,2329,1610612754,1610612762,0,9,1,0,1,1,13
1,0,9,3,2,1,981,1610612757,1610612762,0,1,0,0,0,1,7
8,2,19,5,7,7,2648,1610612758,1610612762,1,7,2,0,4,3,19
2,1,12,5,4,4,2072,1610612757,1610612762,1,5,1,1,2,0,15
4,1,8,4,2,2,1287,1610612758,1610612762,0,9,1,0,0,5,11
5,1,12,3,3,3,2203,1610612743,1610612762,0,10,0,0,1,0,10
4,1,18,9,2,1,1928,1610612759,1610612762,0,5,0,0,2,2,20
4,1,8,1,0,0,1857,1610612748,1610612762,1,4,0,0,1,2,3
8,4,20,12,2,2,2428,1610612753,1610612762,1,8,1,0,2,0,30
3,0,8,1,0,0,1227,1610612737,1610612762,1,3,0,0,1,3,2
8,4,16,7,2,2,1583,1610612766,1610612762,1,4,0,0,0,2,20
6,2,12,5,6,6,2140,1610612763,1610612762,0,5,0,0,3,1,18
4,2,10,6,0,0,2073,1610612747,1610612762,0,7,1,0,7,2,14
5,1,14,4,3,3,2255,1610612746,1610612762,0,6,1,0,6,2,12
6,3,17,8,2,2,2160,1610612766,1610612762,1,5,1,1,1,2,21
4,1,9,3,4,4,1693,1610612749,1610612762,1,4,1,0,3,2,11
8,0,15,3,0,0,1999,1610612747,1610612762,0,9,0,0,1,2,6
4,1,12,4,2,1,2220,1610612760,1610612762,0,6,2,0,3,2,10
5,2,15,7,1,1,1941,1610612739,1610612762,1,6,2,0,2,4,17
4,3,12,6,4,3,2161,1610612743,1610612762,0,8,0,0,2,3,18
3,2,19,7,1,1,1893,1610612759,1610612762,1,11,0,0,2,5,17
5,1,17,8,4,3,2223,1610612765,1610612762,0,12,2,1,7,0,20
6,2,10,2,3,3,1648,1610612750,1610612762,0,2,0,1,3,3,9
3,1,10,4,0,0,1748,1610612750,1610612762,0,5,0,1,2,2,9
5,4,12,4,0,0,2300,1610612764,1610612762,0,8,0,0,2,1,12
5,1,10,3,1,1,1543,1610612758,1610612762,0,4,0,0,0,2,8
3,0,10,2,0,0,1345,1610612744,1610612762,0,6,0,0,1,6,4
8,2,13,2,0,0,2016,1610612746,1610612762,1,5,0,0,1,2,6
4,0,14,4,0,0,2099,1610612761,1610612762,3,3,0,0,4,1,8
9,3,15,5,0,0,2016,1610612742,1610612762,0,5,0,0,1,1,13
8,3,11,5,0,0,1620,1610612748,1610612762,0,3,0,0,1,3,13
3,1,11,3,1,1,1729,1610612747,1610612762,1,8,1,0,1,1,8
4,1,12,3,0,0,1753,1610612755,1610612762,1,2,0,0,1,2,7
7,2,12,6,0,0,1840,1610612751,1610612762,0,10,0,0,1,1,14
5,3,16,8,2,2,1968,1610612757,1610612762,2,7,1,0,2,2,21
9,2,19,7,0,0,2118,1610612750,1610612762,0,6,2,1,0,3,16
5,2,16,5,0,0,2160,1610612738,1610612762,1,3,0,0,1,3,12
3,2,6,4,0,0,1655,1610612756,1610612762,0,2,0,0,2,3,10
3,0,9,2,0,0,1384,1610612739,1610612762,0,3,1,0,1,2,4
3,2,9,5,4,4,2045,1610612754,1610612762,0,5,1,0,2,1,16
5,2,7,2,2,1,1827,1610612749,1610612762,1,5,0,0,2,3,7
6,2,14,5,2,2,2136,1610612764,1610612762,1,3,0,0,3,2,14
8,0,12,2,0,0,2198,1610612752,1610612762,1,4,0,0,2,0,4
4,0,9,2,3,3,1428,1610612755,1610612762,1,8,0,0,1,5,7
8,5,15,9,0,0,2295,1610612737,1610612762,1,4,0,0,1,1,23
9,3,18,8,1,1,2123,1610612742,1610612762,0,6,0,0,0,0,20
3,2,10,7,2,2,2118,1610612746,1610612762,0,4,1,0,3,2,18
2,1,12,6,0,0,1789,1610612759,1610612762,0,5,2,0,0,0,13
2,1,13,4,1,1,2164,1610612745,1610612762,0,5,1,0,2,2,10
4,3,14,6,1,1,2034,1610612763,1610612762,0,6,0,0,4,4,16
7,3,15,5,6,4,2310,1610612753,1610612762,1,4,1,0,3,4,17
4,0,15,6,4,3,2143,1610612765,1610612762,1,2,1,0,2,1,15
5,0,14,5,2,1,2074,1610612763,1610612762,0,10,0,0,3,2,11
4,1,8,3,5,5,2310,1610612740,1610612762,0,6,3,0,2,5,12
3,0,7,1,0,0,1738,1610612760,1610612762,0,3,0,0,0,2,2
2,1,8,2,0,0,1876,1610612752,1610612762,1,3,0,0,3,3,5
1,0,7,3,0,0,1971,1610612740,1610612762,0,8,2,0,2,3,6
5,2,21,10,2,2,2412,1610612744,1610612762,1,15,1,0,3,1,24
5,0,8,2,0,0,1874,1610612742,1610612762,1,5,0,0,0,2,4
6,4,16,5,0,0,2413,1610612757,1610612762,1,11,0,0,0,1,14
5,1,13,5,1,1,2305,1610612743,1610612762,0,8,0,0,0,0,12
9,1,22,8,0,0,2206,1610612747,1610612762,1,7,1,0,4,3,17
4,2,21,10,10,10,2901,1610612750,1610612762,3,9,1,0,5,3,32
4,0,16,6,4,3,2303,1610612745,1610612762,1,4,0,0,2,1,15
6,2,15,6,2,2,2067,1610612742,1610612762,3,7,2,0,4,0,16
5,0,12,3,3,1,1929,1610612756,1610612762,0,4,2,1,2,1,7
2,0,5,1,4,4,1886,1610612746,1610612762,0,4,1,0,4,4,6
5,2,6,2,0,0,1357,1610612739,1610612762,1,2,1,2,1,5,6
8,3,12,4,0,0,1608,1610612742,1610612762,0,3,1,0,3,0,11
3,1,8,2,2,2,1452,1610612765,1610612762,1,3,1,1,1,5,7
8,1,12,2,0,0,2133,1610612754,1610612762,0,8,2,0,0,1,5
5,1,15,5,0,0,2097,1610612737,1610612762,0,11,3,0,2,3,11
5,3,9,5,0,0,2122,1610612752,1610612762,0,8,0,1,2,1,13
3,0,15,4,4,4,2032,1610612761,1610612762,0,5,0,0,1,2,12
5,3,17,7,0,0,2242,1610612760,1610612762,0,9,1,1,1,1,17
1,0,8,1,0,0,1538,1610612744,1610612762,0,5,1,0,3,1,2
5,2,12,8,3,2,2056,1610612740,1610612762,0,4,0,1,4,1,20
2,1,14,8,1,1,2240,1610612741,1610612762,1,10,2,0,2,1,18
5,2,10,5,0,0,1869,1610612760,1610612762,1,4,0,0,0,2,12
4,1,6,1,1,0,1713,1610612746,1610612762,0,3,0,0,2,3,3
7,4,13,7,0,0,2162,1610612743,1610612762,1,8,0,1,0,1,18
8,3,15,6,0,0,2034,1610612761,1610612762,1,8,1,0,1,2,15
4,1,15,4,6,4,2020,1610612753,1610612762,1,11,0,0,1,2,13
4,1,13,4,4,4,1930,1610612758,1610612762,0,5,0,0,1,1,13
3,1,9,3,2,1,1906,1610612759,1610612762,0,2,1,0,3,1,8
5,1,12,3,0,0,2008,1610612748,1610612762,1,4,1,0,4,1,7
3,1,16,7,0,0,2033,1610612764,1610612762,1,2,2,0,2,1,15
4,2,9,5,4,4,1643,1610612740,1610612762,1,1,0,1,5,0,16
8,3,10,3,0,0,1717,1610612748,1610612762,0,2,1,0,1,1,9
4,0,15,5,1,1,1963,1610612753,1610612762,0,5,1,0,1,1,11
4,1,13,4,1,1,1396,1610612766,1610612762,0,2,0,0,1,1,10
4,1,8,3,1,1,1561,1610612763,1610612762,1,4,0,0,1,0,8
4,0,12,3,4,3,1519,1610612755,1610612762,0,4,1,0,2,2,9
3,2,10,4,2,1,1905,1610612746,1610612762,0,6,2,0,1,2,11
6,3,21,10,4,3,2217,1610612750,1610612762,0,6,0,0,0,1,26
11,0,19,2,4,4,2327,1610612737,1610612762,1,5,2,1,1,4,8
6,4,16,10,6,4,2318,1610612750,1610612762,0,6,1,0,1,3,28
4,2,13,6,4,3,2006,1610612741,1610612762,1,4,0,0,3,3,17
4,2,15,8,2,2,2252,1610612760,1610612762,1,5,2,0,2,0,20
4,1,14,6,3,3,2120,1610612745,1610612762,1,3,0,0,4,4,16
5,1,14,7,0,0,1751,1610612744,1610612762,0,5,1,0,2,2,15
9,4,19,7,2,2,2315,1610612747,1610612762,1,4,1,0,1,2,20
2,0,15,4,0,0,2002,1610612759,1610612762,0,8,1,0,1,0,8
2,0,10,1,0,0,1167,1610612739,1610612762,0,2,2,0,1,2,2
7,2,11,4,0,0,1441,1610612749,1610612762,0,2,0,0,3,1,10
8,4,13,7,2,1,1544,1610612751,1610612762,0,3,1,0,0,2,19
12,4,20,7,0,0,1928,1610612738,1610612762,0,0,0,0,0,1,18
7,2,15,4,1,1,1841,1610612746,1610612762,1,1,1,0,1,1,11
8,3,16,6,2,0,2052,1610612744,1610612762,0,7,0,0,1,1,15
5,1,17,7,3,3,2052,1610612757,1610612762,0,6,1,0,3,1,18
8,3,13,7,4,4,1843,1610612763,1610612762,0,4,1,0,3,1,21
7,1,13,2,0,0,1556,1610612756,1610612762,0,3,0,2,0,1,5
2,0,12,5,1,0,1538,1610612758,1610612762,0,4,0,0,0,2,10
3,0,10,0,0,0,1293,1610612740,1610612762,0,2,0,0,0,2,0
6,4,15,6,0,0,1621,1610612742,1610612762,1,4,1,0,2,3,16
3,1,17,9,4,4,1708,1610612759,1610612762,0,2,0,0,2,2,23
4,3,12,8,0,0,1396,1610612743,1610612762,0,4,4,1,1,3,19
10,5,19,8,2,2,2157,1610612749,1610612762,0,6,1,0,1,2,23
4,0,17,7,4,2,1904,1610612738,1610612762,1,8,0,0,2,1,16
2,1,12,3,4,3,1809,1610612755,1610612762,0,1,1,2,1,1,10
5,2,11,5,0,0,1218,1610612751,1610612762,0,4,0,0,0,0,12
3,0,11,1,6,3,1678,1610612752,1610612762,0,2,0,0,2,1,5
3,0,8,0,0,0,1346,1610612745,1610612762,1,3,0,0,2,1,0
2,1,6,3,3,2,990,1610612765,1610612762,0,1,0,0,1,3,9
6,3,11,7,2,0,1556,1610612747,1610612762,0,2,0,0,2,1,17
3,0,20,9,3,1,1704,1610612757,1610612762,0,3,1,0,2,1,19
3,2,8,2,2,1,1746,1610612747,1610612762,1,4,0,0,3,2,7
5,2,14,3,0,0,1316,1610612766,1610612762,2,4,0,1,0,2,8
11,5,16,7,2,1,1722,1610612744,1610612762,0,5,0,0,1,0,20
13,2,22,4,6,6,2281,1610612750,1610612762,0,6,4,0,5,2,16
1,0,19,9,4,4,2361,1610612757,1610612762,1,3,2,0,1,1,22
5,0,12,3,0,0,1706,1610612743,1610612762,0,4,1,0,0,0,6
8,1,23,8,7,5,1982,1610612760,1610612762,1,4,4,0,2,3,22
5,2,17,8,1,1,1453,1610612750,1610612762,1,3,1,0,0,2,19
5,2,12,5,0,0,1520,1610612743,1610612762,0,4,0,0,1,0,12
5,3,9,4,1,0,1250,1610612758,1610612762,0,0,0,0,5,1,11
5,1,11,1,2,1,1116,1610612745,1610612762,1,4,2,0,1,1,4
0,0,2,0,0,0,935,1610612765,1610612762,0,1,0,0,1,2,0
0,0,10,5,0,0,1648,1610612755,1610612762,0,6,1,0,0,0,10
3,1,11,6,2,2,1287,1610612754,1610612762,1,3,2,0,3,3,15
4,1,13,7,2,2,1582,1610612757,1610612762,1,0,1,0,2,1,17
5,2,12,4,2,2,1185,1610612743,1610612762,0,1,1,0,3,4,12
8,6,16,8,2,2,1669,1610612763,1610612762,0,1,1,0,2,1,24
3,2,11,6,2,2,1450,1610612739,1610612762,0,3,1,0,2,1,16
2,0,9,3,0,0,1624,1610612748,1610612762,0,2,2,0,0,1,6
3,1,12,7,4,1,1291,1610612753,1610612762,0,4,0,0,1,0,16
3,2,6,3,2,2,1386,1610612737,1610612762,0,5,1,0,1,1,10
5,2,7,3,4,2,1091,1610612761,1610612762,0,2,2,0,1,4,10
3,1,8,3,0,0,1349,1610612742,1610612762,0,2,0,0,3,2,7
6,2,12,3,0,0,1428,1610612760,1610612762,2,0,0,0,1,1,8
1,0,1,0,0,0,498,1610612746,1610612762,0,0,0,0,1,1,0
3,2,6,3,0,0,921,1610612740,1610612762,1,1,0,0,2,1,8
