@relation Ty_Lawson
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300016,4,2,15,5,8,8,2147,1610612758,1610612743,0,8,2,0,4,1,20
21300029,5,2,16,7,8,5,2157,1610612757,1610612743,1,6,1,0,0,3,21
21300057,5,1,18,6,9,7,2243,1610612759,1610612743,0,8,1,0,2,1,20
21300071,5,3,16,9,3,2,2342,1610612737,1610612743,1,8,0,0,3,1,23
21300083,6,2,21,10,8,7,2460,1610612756,1610612743,1,4,3,0,4,2,29
21300104,1,0,13,6,6,5,1922,1610612762,1610612743,1,10,1,0,1,1,17
21300118,3,0,17,7,8,5,2057,1610612747,1610612743,3,7,3,1,1,1,19
21300131,3,0,16,6,2,2,2128,1610612750,1610612743,1,10,1,0,6,3,14
21300141,4,2,19,11,6,4,2362,1610612745,1610612743,0,17,2,1,5,3,28
21300152,5,1,17,9,12,10,2199,1610612760,1610612743,0,8,0,0,1,2,29
21300175,2,1,9,3,4,3,2088,1610612741,1610612743,2,7,1,0,3,2,10
21300195,3,2,10,5,14,8,2290,1610612742,1610612743,0,9,1,0,4,0,20
21300207,3,2,11,7,6,3,1820,1610612742,1610612743,0,11,0,0,1,2,19
21300223,2,1,15,7,10,8,2004,1610612750,1610612743,0,4,2,0,2,2,23
21300238,4,2,10,5,12,10,2133,1610612752,1610612743,1,8,0,0,2,0,22
21300248,3,1,13,6,4,3,1743,1610612761,1610612743,0,6,1,0,5,2,16
21300263,1,0,8,4,7,5,1591,1610612751,1610612743,3,6,0,0,3,1,13
21300269,3,0,13,1,3,2,2081,1610612739,1610612743,0,11,3,1,3,0,4
