@relation Tyler_Zeller
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,0,0,0,240,1610612751,1610612739,0,0,0,0,1,1,0
0,0,2,0,0,0,516,1610612766,1610612739,1,0,1,0,0,3,0
0,0,3,2,2,2,1068,1610612754,1610612739,0,0,0,1,1,3,6
0,0,0,0,0,0,51,1610612750,1610612739,0,0,0,0,0,1,0
0,0,0,0,0,0,105,1610612749,1610612739,0,0,0,0,0,1,0
0,0,0,0,0,0,290,1610612755,1610612739,0,0,0,0,2,1,0
0,0,0,0,0,0,128,1610612755,1610612739,0,0,0,0,0,1,0
0,0,1,1,0,0,252,1610612741,1610612739,1,0,0,0,0,1,2
0,0,5,3,2,2,880,1610612750,1610612739,1,0,0,0,0,0,8
0,0,6,2,2,1,837,1610612766,1610612739,1,1,0,2,1,2,5
0,0,2,2,0,0,874,1610612759,1610612739,0,1,1,0,0,0,4
0,0,1,0,2,2,337,1610612738,1610612739,1,0,0,0,0,0,2
0,0,3,2,0,0,435,1610612737,1610612739,2,0,0,0,1,1,4
0,0,0,0,2,1,98,1610612752,1610612739,0,0,0,0,0,0,1
0,0,5,3,0,0,779,1610612741,1610612739,2,0,0,1,0,0,6
0,0,7,6,1,1,834,1610612765,1610612739,2,1,0,0,0,0,13
0,0,1,0,0,0,645,1610612737,1610612739,1,0,1,0,0,0,0
0,0,5,2,2,1,1291,1610612738,1610612739,4,3,0,1,3,1,5
0,0,5,2,2,2,1088,1610612744,1610612739,0,0,0,2,0,2,6
0,0,5,3,2,1,987,1610612754,1610612739,0,0,0,0,3,3,7
0,0,0,0,0,0,853,1610612753,1610612739,1,0,0,1,1,1,0
0,0,2,1,0,0,374,1610612751,1610612739,2,1,0,0,0,5,2
0,0,5,1,2,2,1255,1610612754,1610612739,3,1,0,1,1,2,4
0,0,5,4,1,1,1086,1610612755,1610612739,1,1,0,3,1,3,9
0,0,8,4,4,2,1326,1610612762,1610612739,1,0,0,0,1,3,10
0,0,4,3,4,0,774,1610612758,1610612739,0,0,0,0,1,3,6
0,0,5,2,6,4,990,1610612747,1610612739,2,1,0,0,0,2,8
0,0,3,3,2,0,521,1610612757,1610612739,1,0,1,0,2,5,6
0,0,4,1,4,2,1017,1610612743,1610612739,5,1,0,0,2,1,4
0,0,0,0,0,0,566,1610612742,1610612739,1,0,0,0,0,1,0
0,0,3,2,1,0,939,1610612741,1610612739,2,0,0,1,3,0,4
0,0,6,3,2,2,1296,1610612749,1610612739,4,0,2,3,1,2,8
0,0,1,1,0,0,782,1610612756,1610612739,2,0,0,0,1,3,2
0,0,8,4,5,5,1285,1610612740,1610612739,4,2,1,0,2,2,13
0,0,3,1,0,0,868,1610612752,1610612739,1,0,1,0,1,3,2
0,0,3,2,0,0,1641,1610612745,1610612739,0,2,2,1,1,5,4
0,0,1,1,0,0,209,1610612742,1610612739,1,0,0,0,1,1,2
0,0,0,0,0,0,321,1610612747,1610612739,0,0,0,0,0,1,0
0,0,2,1,6,6,993,1610612764,1610612739,3,0,1,1,0,2,8
0,0,6,2,2,1,1462,1610612763,1610612739,3,0,0,0,0,5,5
0,0,5,3,0,0,1095,1610612758,1610612739,1,1,0,0,2,3,6
0,0,6,4,0,0,1302,1610612765,1610612739,0,1,0,1,0,6,8
1,0,14,6,7,6,1516,1610612755,1610612739,6,1,0,1,1,2,18
0,0,5,4,9,8,1844,1610612753,1610612739,1,2,0,3,2,4,16
0,0,6,4,0,0,1217,1610612761,1610612739,3,0,0,3,0,3,8
0,0,7,3,0,0,861,1610612764,1610612739,2,0,0,1,1,2,6
0,0,4,2,4,4,1468,1610612761,1610612739,3,1,0,0,3,5,8
0,0,3,2,4,4,990,1610612760,1610612739,1,0,2,0,4,2,8
0,0,12,5,0,0,1380,1610612762,1610612739,3,2,0,0,0,2,10
0,0,6,3,4,3,1478,1610612763,1610612739,2,1,1,2,2,4,9
0,0,2,0,2,1,917,1610612759,1610612739,0,0,0,1,0,1,1
0,0,5,2,2,1,1004,1610612766,1610612739,4,0,1,0,2,3,5
0,0,0,0,0,0,226,1610612752,1610612739,0,0,0,0,0,0,0
0,0,3,1,2,1,910,1610612756,1610612739,1,1,0,0,0,1,3
0,0,5,3,1,1,744,1610612744,1610612739,0,0,1,0,0,1,7
0,0,8,2,0,0,1253,1610612746,1610612739,2,1,0,1,3,2,4
0,0,1,1,2,1,816,1610612748,1610612739,1,0,0,0,1,1,3
0,0,4,2,2,2,862,1610612760,1610612739,1,2,0,0,0,0,6
0,0,16,10,5,3,1817,1610612745,1610612739,3,3,0,1,1,4,23
0,0,1,0,0,0,748,1610612752,1610612739,0,0,0,0,2,2,0
0,0,1,1,4,3,534,1610612761,1610612739,1,0,0,0,0,1,5
0,0,5,2,0,0,582,1610612765,1610612739,0,0,0,0,0,1,4
0,0,1,0,0,0,293,1610612751,1610612739,0,0,0,0,1,0,0
0,0,3,1,2,1,985,1610612754,1610612739,1,0,0,0,1,4,3
0,0,3,2,0,0,1119,1610612753,1610612739,1,0,0,2,1,1,4
0,0,6,2,1,1,1006,1610612766,1610612739,2,1,0,0,1,0,5
0,0,11,9,0,0,1428,1610612765,1610612739,3,0,1,2,0,2,18
0,0,8,5,2,1,1124,1610612749,1610612739,2,0,0,0,1,4,11
0,0,8,4,7,4,1578,1610612738,1610612739,2,2,0,0,0,3,12
0,0,11,9,5,4,1575,1610612751,1610612739,4,2,1,2,0,2,22
0,0,4,3,0,0,362,1610612751,1610612738,0,1,0,0,0,1,6
0,0,2,2,5,4,1169,1610612745,1610612738,1,1,0,2,0,5,8
0,0,2,2,2,2,496,1610612742,1610612738,1,0,0,0,0,2,6
0,0,0,0,0,0,340,1610612761,1610612738,0,0,0,0,0,3,0
0,0,1,1,6,4,719,1610612754,1610612738,1,1,0,0,0,3,6
0,0,5,4,2,2,1270,1610612741,1610612738,1,4,0,0,1,4,10
0,0,1,1,0,0,924,1610612760,1610612738,1,1,0,0,1,3,2
0,0,5,4,0,0,898,1610612739,1610612738,0,1,0,0,1,4,8
0,0,9,8,4,3,1637,1610612756,1610612738,3,3,1,1,1,1,19
0,0,1,0,2,1,462,1610612755,1610612738,1,0,0,1,2,1,1
0,0,7,3,2,2,1004,1610612763,1610612738,4,2,0,1,1,3,8
0,0,5,1,1,0,681,1610612757,1610612738,3,0,1,0,0,2,2
0,0,3,2,2,2,1014,1610612741,1610612738,0,1,0,0,1,4,6
0,0,5,2,3,3,1371,1610612759,1610612738,4,1,0,1,0,2,7
0,0,4,2,5,4,1451,1610612737,1610612738,0,2,1,1,1,2,8
0,0,6,4,0,0,1649,1610612765,1610612738,4,0,0,1,0,3,8
0,0,11,10,4,4,1868,1610612747,1610612738,1,2,0,1,2,3,24
0,0,6,2,4,4,1641,1610612764,1610612738,1,1,0,1,0,3,8
0,0,7,4,2,2,1342,1610612764,1610612738,0,1,2,0,1,1,10
0,0,9,6,1,1,1595,1610612766,1610612738,2,1,0,0,1,4,13
0,0,14,9,2,1,1492,1610612752,1610612738,4,2,0,2,1,1,19
0,0,6,1,4,3,942,1610612755,1610612738,2,2,0,2,0,3,5
0,0,5,4,2,2,1212,1610612753,1610612738,2,0,1,2,1,3,10
0,0,9,7,0,0,1467,1610612750,1610612738,0,3,0,1,3,3,14
0,0,15,10,3,2,1470,1610612748,1610612738,5,0,0,2,2,3,22
0,0,9,6,10,10,1766,1610612753,1610612738,1,0,1,1,2,3,22
0,0,9,6,2,2,1414,1610612751,1610612738,2,1,1,1,2,1,14
0,0,6,1,2,1,715,1610612764,1610612738,3,1,0,1,1,2,3
0,0,5,3,1,1,1058,1610612758,1610612738,0,0,0,1,0,3,7
0,0,9,7,4,3,1512,1610612742,1610612738,2,2,1,0,1,2,17
0,0,5,4,2,2,1662,1610612741,1610612738,0,4,1,0,1,6,10
0,0,5,1,0,0,948,1610612766,1610612738,0,3,0,0,0,1,2
0,0,14,7,4,4,1884,1610612751,1610612738,3,4,1,1,1,2,18
0,0,4,2,3,3,970,1610612754,1610612738,1,2,0,1,1,3,7
0,0,9,3,0,0,1303,1610612761,1610612738,1,0,0,0,0,2,6
0,0,9,1,0,0,1264,1610612740,1610612738,2,2,0,1,1,3,2
0,0,4,0,2,2,976,1610612737,1610612738,1,3,0,0,2,2,2
0,0,8,5,2,2,1134,1610612741,1610612738,0,1,0,0,2,0,12
0,0,8,3,2,1,1114,1610612746,1610612738,4,3,0,1,1,3,7
0,0,6,3,1,1,972,1610612757,1610612738,1,1,1,1,1,1,7
0,0,10,5,2,1,1385,1610612743,1610612738,1,0,0,0,1,1,11
