@relation Tyreke_Evans
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300011,0,0,8,2,0,0,1360,1610612754,1610612740,0,3,0,0,3,2,4
21300021,2,0,7,0,0,0,1043,1610612753,1610612740,0,3,0,0,2,3,0
21300035,1,0,16,6,3,3,1867,1610612766,1610612740,0,7,0,0,2,3,15
21300055,1,1,10,4,2,0,1283,1610612756,1610612740,1,2,1,1,3,3,9
21300065,1,0,12,7,2,2,1803,1610612763,1610612740,2,4,0,1,3,3,16
21300081,1,0,12,3,1,1,1606,1610612747,1610612740,1,2,3,0,1,2,7
21300096,0,0,3,0,0,0,432,1610612756,1610612740,0,1,0,0,1,1,0
21300110,1,0,13,4,7,3,1840,1610612747,1610612740,1,6,1,0,1,1,11
21300119,1,0,13,8,3,3,1705,1610612762,1610612740,0,4,0,1,1,5,19
21300143,2,0,10,6,6,3,1334,1610612755,1610612740,0,3,2,1,1,3,15
21300169,2,0,13,5,6,3,1508,1610612762,1610612740,2,4,4,1,2,2,13
21300183,2,1,16,7,4,4,1944,1610612739,1610612740,2,4,1,0,0,1,19
21300208,1,0,14,5,2,2,1485,1610612759,1610612740,4,3,1,0,2,3,12
21300214,1,0,11,5,3,2,1393,1610612744,1610612740,0,4,0,1,4,2,12
21300237,0,0,10,6,5,4,2115,1610612755,1610612740,0,4,4,1,4,1,16
21300254,1,0,13,8,11,8,2124,1610612752,1610612740,0,7,4,0,1,4,24
21300257,0,0,10,5,3,3,1450,1610612741,1610612740,1,3,1,0,2,5,13
21300273,1,0,9,1,6,6,1374,1610612742,1610612740,1,4,1,0,2,1,8
21300286,2,0,8,3,5,5,776,1610612760,1610612740,0,0,1,0,2,0,11
21300323,0,0,7,4,6,6,1450,1610612765,1610612740,1,3,2,0,4,1,14
21300335,0,0,0,0,6,6,742,1610612763,1610612740,0,1,1,0,1,1,6
21300380,2,0,10,2,8,7,1974,1610612746,1610612740,4,10,0,1,3,2,11
21300401,2,0,22,9,5,3,1639,1610612757,1610612740,3,6,2,0,2,3,21
21300417,1,0,14,7,12,11,2145,1610612758,1610612740,0,12,3,0,2,2,25
21300432,2,1,17,7,4,4,1937,1610612743,1610612740,1,10,2,0,2,1,19
21300442,5,2,21,7,0,0,1941,1610612745,1610612740,2,9,0,0,2,4,16
21300456,1,0,15,9,2,2,1722,1610612757,1610612740,1,4,2,2,1,3,20
21300470,1,1,14,6,4,3,1673,1610612750,1610612740,0,3,0,0,1,3,16
21300484,0,0,13,8,0,0,1753,1610612738,1610612740,3,6,1,0,5,2,16
21300489,1,0,9,3,7,6,1534,1610612754,1610612740,0,1,2,0,3,2,12
21300511,2,1,11,4,4,4,1225,1610612748,1610612740,2,1,0,0,2,4,13
