@relation Tyshawn_Taylor
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300121,0,0,3,0,0,0,138,1610612758,1610612751,0,1,0,0,0,0,0
21300132,0,0,0,0,0,0,121,1610612756,1610612751,0,0,2,0,0,0,0
21300146,1,1,6,3,8,6,917,1610612746,1610612751,0,4,3,0,3,4,13
21300150,0,0,2,0,0,0,668,1610612757,1610612751,0,2,1,0,2,2,0
21300161,0,0,2,0,0,0,521,1610612766,1610612751,1,3,0,0,0,2,0
21300182,2,1,9,3,8,6,1439,1610612750,1610612751,0,0,0,0,3,3,13
21300197,2,0,5,2,0,0,713,1610612765,1610612751,0,1,1,0,1,1,4
21300211,1,0,7,4,2,1,1150,1610612761,1610612751,0,4,0,0,1,4,9
21300218,0,0,3,2,0,0,873,1610612747,1610612751,0,2,0,0,4,2,4
21300234,5,1,17,6,4,3,2175,1610612745,1610612751,2,12,0,0,3,2,16
21300243,0,0,5,2,2,2,1254,1610612763,1610612751,0,0,1,0,3,0,6
21300263,0,0,12,4,4,4,2059,1610612743,1610612751,0,2,1,0,2,3,12
21300277,0,0,9,2,0,0,1485,1610612752,1610612751,0,2,0,0,2,5,4
21300295,0,0,2,1,0,0,782,1610612749,1610612751,0,0,2,1,1,0,2
21300314,0,0,0,0,0,0,34,1610612738,1610612751,0,0,0,0,0,0,0
21300327,1,0,1,0,0,0,245,1610612746,1610612751,0,0,0,0,1,0,0
21300359,0,0,1,0,0,0,375,1610612755,1610612751,0,2,0,0,1,0,0
21300418,0,0,0,0,0,0,172,1610612741,1610612751,0,0,0,0,1,0,0
21300429,0,0,0,0,2,2,63,1610612749,1610612751,0,0,0,0,0,0,2
21300491,0,0,0,0,0,0,14,1610612739,1610612751,0,0,0,0,0,0,0
21300537,0,0,0,0,0,0,55,1610612748,1610612751,0,0,0,0,1,0,0
21300543,0,0,2,0,0,0,478,1610612761,1610612751,0,1,0,0,1,0,0
21300579,0,0,5,2,0,0,481,1610612737,1610612751,0,0,1,0,1,1,4
