@relation Will_Barton
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300029,0,0,1,0,0,0,82,1610612743,1610612757,0,0,0,0,0,0,0
21300058,1,0,1,0,0,0,71,1610612745,1610612757,0,1,0,0,0,0,0
21300128,0,0,1,0,0,0,84,1610612738,1610612757,0,0,0,0,0,0,0
21300196,0,0,1,1,0,0,59,1610612744,1610612757,0,0,0,0,0,1,2
21300210,0,0,0,0,0,0,436,1610612752,1610612757,0,1,0,0,1,1,0
21300226,0,0,1,1,2,2,313,1610612756,1610612757,0,0,0,0,0,0,4
21300288,2,0,7,2,0,0,720,1610612762,1610612757,0,4,0,0,1,1,4
21300347,1,0,3,1,0,0,685,1610612755,1610612757,1,2,2,0,2,2,2
21300480,2,2,5,4,0,0,527,1610612766,1610612757,1,1,0,0,0,0,10
21300519,2,1,3,1,0,0,529,1610612758,1610612757,0,0,0,0,0,1,3
21300527,1,0,1,0,0,0,73,1610612753,1610612757,0,0,0,0,0,0,0
21300600,2,1,3,1,2,2,505,1610612742,1610612757,1,0,0,0,1,0,5
21300614,0,0,1,1,0,0,221,1610612745,1610612757,0,1,1,0,0,0,2
21300653,0,0,1,1,0,0,56,1610612750,1610612757,0,0,0,0,0,0,2
21300660,1,0,2,0,0,0,95,1610612744,1610612757,0,0,0,0,0,0,0
21300672,0,0,2,0,0,0,92,1610612763,1610612757,1,0,0,0,0,0,0
21300823,0,0,5,3,2,2,1056,1610612762,1610612757,1,0,1,0,0,2,8
21300840,3,1,6,2,0,0,886,1610612750,1610612757,0,1,1,0,0,3,5
21300850,0,0,2,0,0,0,432,1610612743,1610612757,0,0,0,0,2,0,0
21300861,2,0,13,8,4,4,1705,1610612751,1610612757,3,4,0,1,1,2,20
21300880,1,1,2,2,2,2,776,1610612743,1610612757,0,0,0,0,2,1,7
21300896,0,0,1,0,0,0,298,1610612747,1610612757,0,0,0,1,0,0,0
21300913,2,1,7,4,0,0,720,1610612737,1610612757,0,0,0,0,1,3,9
21300953,0,0,0,0,0,0,55,1610612763,1610612757,0,1,0,0,0,0,0
21300965,0,0,4,3,0,0,347,1610612759,1610612757,0,0,0,0,1,1,6
21300977,1,0,7,1,0,0,1007,1610612740,1610612757,0,3,0,0,1,1,2
21300994,1,0,8,2,2,2,974,1610612744,1610612757,2,2,0,0,0,1,6
21301005,0,0,1,1,1,1,675,1610612749,1610612757,0,1,0,0,0,0,3
21301020,0,0,3,1,2,1,762,1610612764,1610612757,0,0,1,0,0,2,3
21301032,0,0,0,0,0,0,273,1610612766,1610612757,0,0,0,0,0,1,0
21301049,1,0,4,2,0,0,574,1610612748,1610612757,0,1,0,1,0,0,4
21301058,0,0,8,3,2,1,942,1610612753,1610612757,1,4,1,1,0,0,7
21301071,1,0,5,1,1,0,967,1610612737,1610612757,0,1,0,0,0,2,2
21301080,0,0,2,0,0,0,588,1610612741,1610612757,0,1,0,1,0,1,0
21301099,0,0,5,2,0,0,527,1610612763,1610612757,1,0,0,0,0,0,4
21301113,0,0,7,4,0,0,676,1610612747,1610612757,2,1,0,0,2,1,8
21301140,1,0,2,1,0,0,536,1610612756,1610612757,0,0,0,0,0,1,2
21301157,0,0,1,0,0,0,315,1610612740,1610612757,0,0,0,0,0,0,0
21301172,1,0,6,2,2,1,793,1610612758,1610612757,0,0,0,1,1,1,5
21301187,0,0,4,3,2,2,644,1610612762,1610612757,0,1,1,1,0,0,8
21301228,7,3,20,7,8,6,2124,1610612746,1610612757,2,2,1,0,2,2,23
21400015,0,0,0,0,0,0,140,1610612760,1610612757,0,0,0,0,0,0,0
21400042,1,0,5,2,0,0,939,1610612744,1610612757,0,2,1,0,0,2,4
21400055,1,0,5,1,2,0,709,1610612739,1610612757,0,1,1,0,0,0,2
21400070,1,0,3,0,0,0,687,1610612742,1610612757,0,3,0,0,2,0,0
21400082,0,0,3,0,0,0,570,1610612746,1610612757,0,1,0,0,0,1,0
21400096,1,1,3,1,0,0,290,1610612743,1610612757,0,0,0,0,0,2,3
21400115,1,0,5,2,3,2,952,1610612743,1610612757,0,1,1,0,2,4,6
21400138,0,0,7,4,0,0,915,1610612751,1610612757,0,0,0,0,1,0,8
21400153,0,0,2,0,0,0,355,1610612740,1610612757,0,0,0,0,0,1,0
21400183,0,0,1,1,0,0,895,1610612741,1610612757,0,1,1,0,3,1,2
21400200,1,1,2,2,0,0,374,1610612755,1610612757,0,0,1,1,1,1,5
21400233,1,0,4,3,0,0,294,1610612763,1610612757,0,0,0,0,0,1,6
21400361,1,1,3,1,0,0,486,1610612759,1610612757,0,2,0,0,1,1,3
21400394,2,0,6,2,1,1,720,1610612740,1610612757,0,1,0,0,0,0,5
21400411,0,0,6,2,0,0,720,1610612745,1610612757,0,2,3,0,0,0,4
21400441,1,0,3,2,0,0,278,1610612755,1610612757,0,0,1,0,0,0,4
21400456,0,0,2,1,2,2,837,1610612752,1610612757,0,3,0,0,1,0,4
21400537,0,0,1,0,0,0,280,1610612748,1610612757,1,1,0,0,0,0,0
21400557,0,0,1,1,0,0,550,1610612753,1610612757,0,1,0,0,1,1,2
21400595,0,0,2,1,0,0,328,1610612759,1610612757,0,1,1,0,0,0,2
21400621,0,0,7,3,1,0,928,1610612758,1610612757,1,1,1,1,0,1,6
21400634,1,0,3,1,4,3,831,1610612756,1610612757,0,0,1,0,0,0,5
21400639,0,0,2,0,2,2,488,1610612738,1610612757,0,1,0,0,1,1,2
21400656,1,0,6,2,0,0,1349,1610612764,1610612757,0,2,0,1,1,0,4
21400681,1,0,4,2,0,0,928,1610612739,1610612757,0,0,1,0,2,1,4
21400697,0,0,4,1,0,0,754,1610612737,1610612757,1,0,0,0,0,0,2
21400712,1,0,4,1,0,0,610,1610612749,1610612757,0,1,0,0,0,1,2
21400745,1,1,1,1,0,0,115,1610612756,1610612757,0,1,0,0,1,0,3
21400771,1,0,4,1,0,0,490,1610612745,1610612757,0,1,0,1,0,1,2
21400798,1,0,1,0,0,0,212,1610612747,1610612757,0,0,1,0,0,0,0
21400826,4,2,10,3,0,0,1504,1610612760,1610612743,0,3,2,1,1,1,8
21400834,3,1,11,5,4,4,1288,1610612751,1610612743,2,1,0,0,1,0,15
21400866,3,1,15,8,6,5,1842,1610612762,1610612743,1,2,0,0,2,2,22
21400884,2,0,14,7,3,2,1632,1610612740,1610612743,3,0,2,0,0,3,16
21400902,4,2,11,6,4,3,1825,1610612750,1610612743,1,2,2,0,0,3,17
21400921,2,0,8,3,0,0,1697,1610612759,1610612743,0,2,1,1,2,4,6
21400930,2,0,8,4,3,2,1197,1610612745,1610612743,0,0,1,2,2,2,10
21400943,3,0,13,6,5,5,1627,1610612752,1610612743,0,3,1,0,1,1,17
21400958,4,1,14,5,6,5,1964,1610612737,1610612743,1,5,1,2,4,2,16
21400973,0,0,4,2,4,2,1184,1610612744,1610612743,0,1,0,0,2,0,6
21400984,6,3,16,10,2,2,2819,1610612740,1610612743,0,3,3,1,1,3,25
21401017,1,0,6,1,2,1,1134,1610612745,1610612743,2,0,1,0,2,2,3
21400850,5,3,9,6,8,7,2062,1610612756,1610612743,2,3,0,1,2,2,22
21400993,2,1,5,1,2,2,1389,1610612763,1610612743,0,4,1,1,2,1,5
21401024,1,1,5,2,2,2,1042,1610612748,1610612743,1,1,2,1,3,2,7
21401044,2,0,10,3,6,5,1508,1610612753,1610612743,3,3,2,0,2,1,11
21401069,1,0,6,2,2,2,1320,1610612755,1610612743,2,0,0,1,1,0,6
21401085,2,2,9,5,0,0,1194,1610612762,1610612743,2,2,0,0,1,4,12
21401091,1,0,8,6,0,0,1494,1610612757,1610612743,0,3,1,1,1,3,12
21401121,2,1,12,6,0,0,1401,1610612762,1610612743,1,2,2,0,1,0,13
21401134,3,0,9,2,0,0,1561,1610612759,1610612743,0,1,2,0,3,1,4
