@relation Willie_Cauley-Stein
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,2,1,0,0,471,1610612746,1610612758,1,0,0,0,0,0,2
0,0,8,7,5,3,1811,1610612747,1610612758,3,1,1,3,2,5,17
0,0,5,3,4,2,1368,1610612746,1610612758,5,0,3,1,2,5,8
0,0,4,3,6,3,2042,1610612763,1610612758,3,1,1,1,1,3,9
0,0,0,0,0,0,979,1610612756,1610612758,0,0,0,1,0,1,0
0,0,5,3,2,1,1322,1610612745,1610612758,4,1,2,2,0,4,7
0,0,4,3,0,0,1186,1610612744,1610612758,1,1,1,0,1,2,6
0,0,3,2,0,0,965,1610612765,1610612758,3,0,1,1,1,2,4
0,0,0,0,2,1,1084,1610612751,1610612758,0,0,1,1,1,0,1
0,0,0,0,0,0,501,1610612761,1610612758,1,0,0,1,1,1,0
0,0,2,0,0,0,849,1610612737,1610612758,1,0,0,0,0,2,0
0,0,7,5,2,1,1348,1610612748,1610612758,2,0,0,2,3,6,11
0,0,5,1,0,0,1036,1610612753,1610612758,3,0,0,2,0,3,2
0,0,0,0,0,0,501,1610612766,1610612758,0,1,0,0,0,0,0
0,0,4,3,2,1,1403,1610612749,1610612758,1,0,0,3,0,2,7
0,0,5,3,2,0,1487,1610612750,1610612758,1,0,0,1,0,0,6
0,0,5,1,2,1,1205,1610612744,1610612758,2,1,1,2,0,5,3
